state,county,stname,ctyname,year,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age2544_tot,age2544_male,age2544_fem,age4564_tot,age4564_male,age4564_fem,age65plus_tot,age65plus_male,age65plus_fem,median_age_tot,median_age_male,median_age_fem
16,1,Idaho,Ada County,2010c,392365,196501,195864,28357,14450,13907,53137,26989,26148,22212,11607,10605,35776,18087,17689,113438,58303,55135,98397,48979,49418,41048,18086,22962,34.799999,34.099998,35.599998
16,1,Idaho,Ada County,2010b,392372,196504,195868,28357,14450,13907,53141,26991,26150,22214,11608,10606,35776,18087,17689,113438,58303,55135,98398,48979,49419,41048,18086,22962,34.799999,34.099998,35.599998
16,1,Idaho,Ada County,2010,393354,196966,196388,28193,14389,13804,53226,27031,26195,22282,11608,10674,35679,18041,17638,113492,58333,55159,98945,49236,49709,41537,18328,23209,34.900002,34.200001,35.700001
16,1,Idaho,Ada County,2011,401262,200983,200279,27765,14175,13590,54234,27626,26608,22576,11628,10948,36171,18325,17846,115483,59427,56056,101577,50456,51121,43456,19346,24110,35.200001,34.400002,36
16,1,Idaho,Ada County,2012,408862,204716,204146,27242,13883,13359,55107,28044,27063,22985,11779,11206,36658,18645,18013,117440,60399,57041,102793,50990,51803,46637,20976,25661,35.400002,34.700001,36.200001
16,1,Idaho,Ada County,2013,415951,208286,207665,26724,13593,13131,55484,28304,27180,23505,12044,11461,36873,18845,18028,119017,61109,57908,104422,51702,52720,49926,22689,27237,35.799999,35,36.599998
16,1,Idaho,Ada County,2014,425471,213158,212313,26446,13470,12976,56103,28596,27507,24346,12444,11902,37311,19353,17958,121398,62324,59074,106788,52768,54020,53079,24203,28876,36,35.200001,36.900002
16,1,Idaho,Ada County,2015,432862,216722,216140,26137,13327,12810,56306,28632,27674,25238,12972,12266,37200,19416,17784,122962,62890,60072,108998,53868,55130,56021,25617,30404,36.400002,35.599998,37.200001
16,1,Idaho,Ada County,2016,444486,222437,222049,26539,13499,13040,56536,28749,27787,25694,13114,12580,38478,20086,18392,125864,64332,61532,111732,55349,56383,59643,27308,32335,36.599998,35.900002,37.400002
16,1,Idaho,Ada County,2017,456548,228516,228032,27001,13765,13236,56837,28887,27950,26098,13303,12795,39388,20657,18731,129442,66051,63391,114300,56791,57509,63482,29062,34420,37,36.200001,37.799999
16,1,Idaho,Ada County,2018,468764,234701,234063,27071,13809,13262,57169,29031,28138,26622,13561,13061,40414,21187,19227,133476,68196,65280,116399,57878,58521,67613,31039,36574,37.299999,36.5,38.099998
16,1,Idaho,Ada County,2019,481587,241132,240455,27131,13816,13315,57510,29348,28162,27089,13837,13252,41208,21615,19593,137454,70118,67336,119237,59302,59935,71958,33096,38862,37.700001,36.799999,38.5
16,3,Idaho,Adams County,2010c,3976,2041,1935,189,90,99,368,181,187,206,104,102,206,111,95,707,356,351,1472,749,723,828,450,378,50,51.099998,49.299999
16,3,Idaho,Adams County,2010b,3978,2042,1936,189,90,99,368,181,187,206,104,102,206,111,95,707,356,351,1474,750,724,828,450,378,50,51.200001,49.400002
16,3,Idaho,Adams County,2010,3962,2034,1928,187,91,96,366,176,190,197,100,97,210,114,96,697,352,345,1468,745,723,837,456,381,50.299999,51.400002,49.599998
16,3,Idaho,Adams County,2011,3981,2046,1935,183,97,86,377,175,202,186,99,87,239,126,113,690,347,343,1440,723,717,866,479,387,50.799999,51.799999,50.099998
16,3,Idaho,Adams County,2012,3908,2006,1902,171,88,83,343,162,181,183,96,87,220,117,103,686,349,337,1388,692,696,917,502,415,52,53.099998,51.299999
16,3,Idaho,Adams County,2013,3863,1975,1888,169,92,77,330,154,176,170,91,79,218,120,98,659,328,331,1359,670,689,958,520,438,53,54,52.400002
16,3,Idaho,Adams County,2014,3883,2005,1878,160,94,66,332,157,175,159,79,80,217,117,100,659,329,330,1359,679,680,997,550,447,53.799999,54.599998,53.299999
16,3,Idaho,Adams County,2015,3891,2007,1884,169,98,71,360,173,187,137,64,73,205,118,87,668,335,333,1300,641,659,1052,578,474,54.299999,54.900002,53.799999
16,3,Idaho,Adams County,2016,3941,2037,1904,163,88,75,360,184,176,143,64,79,196,103,93,677,342,335,1305,648,657,1097,608,489,54.799999,55.200001,54.299999
16,3,Idaho,Adams County,2017,4127,2125,2002,179,90,89,397,205,192,174,83,91,197,109,88,707,352,355,1327,661,666,1146,625,521,54.400002,54.799999,54.099998
16,3,Idaho,Adams County,2018,4234,2201,2033,169,84,85,407,236,171,180,93,87,194,101,93,742,383,359,1331,654,677,1211,650,561,54.799999,54.5,55.200001
16,3,Idaho,Adams County,2019,4294,2207,2087,169,78,91,382,216,166,194,99,95,187,96,91,745,382,363,1333,650,683,1284,686,598,55.5,55.299999,55.900002
16,5,Idaho,Bannock County,2010c,82839,41298,41541,6971,3620,3351,11274,5839,5435,4469,2266,2203,10085,5032,5053,21814,11022,10792,18983,9347,9636,9243,4172,5071,31.4,30.6,32.200001
16,5,Idaho,Bannock County,2010b,82842,41300,41542,6971,3620,3351,11275,5840,5435,4469,2266,2203,10085,5032,5053,21815,11022,10793,18984,9348,9636,9243,4172,5071,31.4,30.6,32.200001
16,5,Idaho,Bannock County,2010,83020,41401,41619,6939,3610,3329,11314,5846,5468,4506,2296,2210,9958,4962,4996,21944,11103,10841,19061,9376,9685,9298,4208,5090,31.5,30.700001,32.400002
16,5,Idaho,Bannock County,2011,83641,41618,42023,6764,3459,3305,11528,5930,5598,4641,2401,2240,9675,4763,4912,22319,11332,10987,19255,9426,9829,9459,4307,5152,31.799999,31.1,32.599998
16,5,Idaho,Bannock County,2012,83755,41754,42001,6581,3373,3208,11525,5939,5586,4674,2405,2269,9584,4721,4863,22459,11464,10995,19103,9357,9746,9829,4495,5334,32.099998,31.299999,32.900002
16,5,Idaho,Bannock County,2013,83455,41571,41884,6390,3256,3134,11410,5872,5538,4729,2441,2288,9187,4542,4645,22582,11492,11090,18947,9301,9646,10210,4667,5543,32.599998,31.799999,33.400002
16,5,Idaho,Bannock County,2014,83536,41611,41925,6345,3190,3155,11326,5843,5483,4813,2523,2290,8949,4497,4452,22795,11529,11266,18732,9166,9566,10576,4863,5713,32.799999,32,33.799999
16,5,Idaho,Bannock County,2015,84184,41946,42238,6399,3254,3145,11258,5771,5487,4914,2525,2389,8793,4540,4253,23137,11653,11484,18740,9137,9603,10943,5066,5877,33.099998,32.099998,34.099998
16,5,Idaho,Bannock County,2016,84676,42136,42540,6201,3157,3044,11326,5765,5561,4980,2536,2444,8638,4505,4133,23316,11728,11588,18846,9180,9666,11369,5265,6104,33.599998,32.599998,34.5
16,5,Idaho,Bannock County,2017,85482,42531,42951,6188,3094,3094,11329,5775,5554,5045,2582,2463,8586,4468,4118,23670,11939,11731,18819,9151,9668,11845,5522,6323,33.900002,33,34.799999
16,5,Idaho,Bannock County,2018,86674,43034,43640,6131,3045,3086,11403,5821,5582,5087,2588,2499,8888,4625,4263,23995,12050,11945,18849,9141,9708,12321,5764,6557,34.099998,33.400002,35
16,5,Idaho,Bannock County,2019,87808,43650,44158,6102,3069,3033,11431,5838,5593,5171,2633,2538,9034,4686,4348,24312,12207,12105,18864,9155,9709,12894,6062,6832,34.5,33.700001,35.400002
16,7,Idaho,Bear Lake County,2010c,5986,2972,3014,410,203,207,857,427,430,369,181,188,377,181,196,1237,633,604,1632,822,810,1104,525,579,40.5,40,41
16,7,Idaho,Bear Lake County,2010b,5986,2972,3014,410,203,207,857,427,430,369,181,188,377,181,196,1237,633,604,1632,822,810,1104,525,579,40.5,40,41
16,7,Idaho,Bear Lake County,2010,5969,2963,3006,421,212,209,851,427,424,372,180,192,376,181,195,1232,630,602,1617,809,808,1100,524,576,40.299999,39.799999,41
16,7,Idaho,Bear Lake County,2011,5956,2960,2996,407,206,201,839,432,407,399,193,206,389,185,204,1229,629,600,1593,791,802,1100,524,576,40.200001,39.299999,41
16,7,Idaho,Bear Lake County,2012,5892,2928,2964,399,209,190,826,411,415,393,195,198,407,202,205,1221,625,596,1508,744,764,1138,542,596,39.900002,39.099998,40.799999
16,7,Idaho,Bear Lake County,2013,5948,2956,2992,426,213,213,826,414,412,404,193,211,420,217,203,1239,633,606,1492,737,755,1141,549,592,39,38.599998,39.5
16,7,Idaho,Bear Lake County,2014,5926,2941,2985,430,217,213,813,395,418,394,196,198,430,225,205,1255,630,625,1455,723,732,1149,555,594,39.099998,38.700001,39.400002
16,7,Idaho,Bear Lake County,2015,5879,2906,2973,412,203,209,814,404,410,380,183,197,423,220,203,1244,622,622,1434,707,727,1172,567,605,39.400002,38.700001,40
16,7,Idaho,Bear Lake County,2016,5927,2944,2983,411,218,193,810,385,425,378,190,188,435,223,212,1298,660,638,1388,686,702,1207,582,625,39.099998,38.200001,40
16,7,Idaho,Bear Lake County,2017,6023,2986,3037,419,219,200,816,398,418,401,210,191,422,207,215,1343,679,664,1387,683,704,1235,590,645,39.299999,38.299999,40.200001
