state,county,stname,ctyname,year,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem,median_age_tot,median_age_male,median_age_fem
16,1,Idaho,Ada County,2010c,392365,196501,195864,28357,14450,13907,299576,149192,150384,288659,143455,145204,41048,18086,22962,5845,1997,3848,34.799999,34.099998,35.599998
16,1,Idaho,Ada County,2010b,392372,196504,195868,28357,14450,13907,299578,149192,150386,288660,143455,145205,41048,18086,22962,5845,1997,3848,34.799999,34.099998,35.599998
16,1,Idaho,Ada County,2010,393354,196966,196388,28193,14389,13804,300609,149678,150931,289653,143938,145715,41537,18328,23209,5906,2016,3890,34.900002,34.200001,35.700001
16,1,Idaho,Ada County,2011,401262,200983,200279,27765,14175,13590,307821,153334,154487,296687,147554,149133,43456,19346,24110,6066,2104,3962,35.200001,34.400002,36
16,1,Idaho,Ada County,2012,408862,204716,204146,27242,13883,13359,314897,156885,158012,303528,151010,152518,46637,20976,25661,6183,2187,3996,35.400002,34.700001,36.200001
16,1,Idaho,Ada County,2013,415951,208286,207665,26724,13593,13131,321760,160243,161517,310238,154345,155893,49926,22689,27237,6334,2297,4037,35.799999,35,36.599998
16,1,Idaho,Ada County,2014,425471,213158,212313,26446,13470,12976,330379,164680,165699,318576,158648,159928,53079,24203,28876,6550,2384,4166,36,35.200001,36.900002
16,1,Idaho,Ada County,2015,432862,216722,216140,26137,13327,12810,337543,168196,169347,325181,161791,163390,56021,25617,30404,6745,2471,4274,36.400002,35.599998,37.200001
16,1,Idaho,Ada County,2016,444486,222437,222049,26539,13499,13040,348654,173742,174912,335717,167075,168642,59643,27308,32335,6894,2569,4325,36.599998,35.900002,37.400002
16,1,Idaho,Ada County,2017,456548,228516,228032,27001,13765,13236,359731,179237,180494,346612,172561,174051,63482,29062,34420,6950,2573,4377,37,36.200001,37.799999
16,1,Idaho,Ada County,2018,468764,234701,234063,27071,13809,13262,370944,184898,186046,357902,178300,179602,67613,31039,36574,7095,2666,4429,37.299999,36.5,38.099998
16,1,Idaho,Ada County,2019,481587,241132,240455,27131,13816,13315,383101,190900,192201,369857,184131,185726,71958,33096,38862,7310,2768,4542,37.700001,36.799999,38.5
16,3,Idaho,Adams County,2010c,3976,2041,1935,189,90,99,3326,1723,1603,3213,1666,1547,828,450,378,70,24,46,50,51.099998,49.299999
16,3,Idaho,Adams County,2010b,3978,2042,1936,189,90,99,3328,1724,1604,3215,1667,1548,828,450,378,70,24,46,50,51.200001,49.400002
16,3,Idaho,Adams County,2010,3962,2034,1928,187,91,96,3316,1719,1597,3212,1667,1545,837,456,381,69,24,45,50.299999,51.400002,49.599998
16,3,Idaho,Adams County,2011,3981,2046,1935,183,97,86,3327,1721,1606,3235,1675,1560,866,479,387,62,29,33,50.799999,51.799999,50.099998
16,3,Idaho,Adams County,2012,3908,2006,1902,171,88,83,3305,1710,1595,3211,1660,1551,917,502,415,68,29,39,52,53.099998,51.299999
16,3,Idaho,Adams County,2013,3863,1975,1888,169,92,77,3275,1684,1591,3194,1638,1556,958,520,438,72,33,39,53,54,52.400002
16,3,Idaho,Adams County,2014,3883,2005,1878,160,94,66,3319,1719,1600,3232,1675,1557,997,550,447,73,34,39,53.799999,54.599998,53.299999
16,3,Idaho,Adams County,2015,3891,2007,1884,169,98,71,3301,1705,1596,3225,1672,1553,1052,578,474,86,39,47,54.299999,54.900002,53.799999
16,3,Idaho,Adams County,2016,3941,2037,1904,163,88,75,3339,1731,1608,3275,1701,1574,1097,608,489,96,45,51,54.799999,55.200001,54.299999
16,3,Idaho,Adams County,2017,4127,2125,2002,179,90,89,3455,1782,1673,3377,1747,1630,1146,625,521,101,48,53,54.400002,54.799999,54.099998
16,3,Idaho,Adams County,2018,4234,2201,2033,169,84,85,3566,1834,1732,3478,1788,1690,1211,650,561,103,45,58,54.799999,54.5,55.200001
16,3,Idaho,Adams County,2019,4294,2207,2087,169,78,91,3644,1860,1784,3549,1814,1735,1284,686,598,105,42,63,55.5,55.299999,55.900002
16,5,Idaho,Bannock County,2010c,82839,41298,41541,6971,3620,3351,62306,30672,31634,60125,29573,30552,9243,4172,5071,1238,451,787,31.4,30.6,32.200001
16,5,Idaho,Bannock County,2010b,82842,41300,41542,6971,3620,3351,62308,30673,31635,60127,29574,30553,9243,4172,5071,1238,451,787,31.4,30.6,32.200001
16,5,Idaho,Bannock County,2010,83020,41401,41619,6939,3610,3329,62458,30764,31694,60261,29649,30612,9298,4208,5090,1261,467,794,31.5,30.700001,32.400002
16,5,Idaho,Bannock County,2011,83641,41618,42023,6764,3459,3305,62987,30991,31996,60708,29828,30880,9459,4307,5152,1265,468,797,31.799999,31.1,32.599998
16,5,Idaho,Bannock County,2012,83755,41754,42001,6581,3373,3208,63290,31221,32069,60975,30037,30938,9829,4495,5334,1252,449,803,32.099998,31.299999,32.900002
16,5,Idaho,Bannock County,2013,83455,41571,41884,6390,3256,3134,63280,31230,32050,60926,30002,30924,10210,4667,5543,1249,447,802,32.599998,31.799999,33.400002
16,5,Idaho,Bannock County,2014,83536,41611,41925,6345,3190,3155,63463,31322,32141,61052,30055,30997,10576,4863,5713,1242,449,793,32.799999,32,33.799999
16,5,Idaho,Bannock County,2015,84184,41946,42238,6399,3254,3145,64064,31662,32402,61613,30396,31217,10943,5066,5877,1241,463,778,33.099998,32.099998,34.099998
16,5,Idaho,Bannock County,2016,84676,42136,42540,6201,3157,3044,64681,31979,32702,62169,30678,31491,11369,5265,6104,1266,484,782,33.599998,32.599998,34.5
16,5,Idaho,Bannock County,2017,85482,42531,42951,6188,3094,3094,65465,32381,33084,62920,31080,31840,11845,5522,6323,1309,509,800,33.900002,33,34.799999
