age_group,censuspop_1980,gender
Under 5 years,48073,mpop
5 to 9 years,42392,mpop
10 to 14 years,40501,mpop
15 to 19 years,44000,mpop
20 to 24 years,43487,mpop
25 to 29 years,41803,mpop
30 to 34 years,37079,mpop
35 to 39 years,29156,mpop
40 to 44 years,23720,mpop
45 to 49 years,20467,mpop
50 to 54 years,20061,mpop
55 to 59 years,19934,mpop
60 to 64 years,18444,mpop
65 to 69 years,16118,mpop
70 to 74 years,11819,mpop
75 to 79 years,7271,mpop
80 to 84 years,3930,mpop
85 years,2900,mpop
Under 5 years,45458,fpop
5 to 9 years,40342,fpop
10 to 14 years,38717,fpop
15 to 19 years,43982,fpop
20 to 24 years,42747,fpop
25 to 29 years,40658,fpop
30 to 34 years,35862,fpop
35 to 39 years,28488,fpop
40 to 44 years,22962,fpop
45 to 49 years,20506,fpop
50 to 54 years,20415,fpop
55 to 59 years,21248,fpop
60 to 64 years,19753,fpop
65 to 69 years,16922,fpop
70 to 74 years,13433,fpop
75 to 79 years,9393,fpop
80 to 84 years,6318,fpop
85 years,5576,fpop
