county,year,female_1544,popestimate,total_births,br_crude,br
Ada County,2014,85797,425471,5128,12.052526,59.76899
Adams County,2014,491,3883,31,7.9835181,63.136456
Bannock County,2014,17436,83536,1324,15.849454,75.934845
Bear Lake County,2014,985,5926,90,15.18731,91.37056
Benewah County,2014,1321,9032,107,11.846767,80.999245
Bingham County,2014,8377,45214,687,15.194408,82.010269
Blaine County,2014,3591,21455,222,10.347239,61.82122
Boise County,2014,900,6779,39,5.7530608,43.333332
Bonner County,2014,6324,41289,431,10.438616,68.153069
Bonneville County,2014,21211,108236,1875,17.323257,88.39753
Boundary County,2014,1690,10956,132,12.048193,78.106506
Butte County,2014,394,2658,26,9.7817907,65.989845
Camas County,2014,169,1054,5,4.7438331,29.585798
Canyon County,2014,41228,202440,3227,15.940526,78.272049
Caribou County,2014,1098,6794,83,12.216661,75.591988
Cassia County,2014,4243,23503,374,15.912862,88.14518
Clark County,2014,152,889,10,11.248594,65.789474
Clearwater County,2014,995,8561,58,6.7749095,58.291458
Custer County,2014,588,4132,42,10.164569,71.428574
Elmore County,2014,5215,26226,495,18.874399,94.918503
Franklin County,2014,2366,12910,176,13.632843,74.387154
Fremont County,2014,2202,12803,198,15.465125,89.918259
Gem County,2014,2599,16646,192,11.534303,73.874565
Gooding County,2014,2611,15086,202,13.389898,77.364998
Idaho County,2014,2109,16275,158,9.7081413,74.917023
Jefferson County,2014,5083,26944,445,16.515736,87.546722
Jerome County,2014,4257,22926,384,16.749542,90.204369
Kootenai County,2014,26705,146529,1795,12.250134,67.215874
Latah County,2014,9459,38517,448,11.631227,47.362301
Lemhi County,2014,992,7724,65,8.415329,65.524193
Lewis County,2014,508,3813,35,9.1791239,68.897636
Lincoln County,2014,992,5331,62,11.630088,62.5
Madison County,2014,10968,37900,1197,31.583113,109.13567
Minidoka County,2014,3557,20339,326,16.02832,91.650269
Nez Perce County,2014,7216,39841,481,12.07299,66.657425
Oneida County,2014,646,4178,44,10.531355,68.111458
Owyhee County,2014,1938,11288,142,12.579731,73.271416
Payette County,2014,3990,22754,310,13.623979,77.694237
