year,female_1544,popestimate,state,total_births,br_crude,br
2014,314320,1631112,IDAHO,22888,14.032145,72.817513
2015,317219,1651059,IDAHO,22832,13.8287,71.97551
2016,323517,1682380,IDAHO,22462,13.351324,69.430664
2017,330498,1717715,IDAHO,22159,12.900277,67.047302
2018,337290,1750536,IDAHO,21406,12.228254,63.464676
2019,344821,1787065,IDAHO,22066,12.34762,63.992622
2020,363828,1849339,IDAHO,21540,11.647405,59.2038
2021,376730,1904537,IDAHO,22427,11.775565,59.530697
2022,383772,1938996,IDAHO,22380,11.542056,58.315876
2023,389151,1964726,IDAHO,22411,11.406679,57.58947
