year,deaths,population,cruderate,ageadjustedrate,ageadjustedratelower95conf,ageadjustedrateupper95conf,ageadjustedratestandarderror
2021,3464231,331893745,10.438,8.797000000000001,8.788,8.807,.005
2022,3279857,333287557,9.840999999999999,7.995,7.987,8.004,.004
2023,3090964,333287557,9.273999999999999,7.531,7.522,7.539,.004
1999,2391399,279040168,8.57,8.763999999999999,8.753,8.775,.006
2000,2403351,281421906,8.539999999999999,8.696999999999999,8.686,8.708,.006
2001,2416425,284968955,8.48,8.587999999999999,8.577,8.599,.006
2002,2443387,287625193,8.494999999999999,8.558999999999999,8.548,8.569000000000001,.005
2003,2448288,290107933,8.439,8.439,8.428000000000001,8.449999999999999,.005
2004,2397615,292805298,8.188000000000001,8.131,8.121,8.141999999999999,.005
2005,2448017,295516599,8.284000000000001,8.148999999999999,8.138,8.159000000000001,.005
2006,2426264,298379912,8.131,7.926,7.916,7.936,.005
2007,2423712,301231207,8.045999999999999,7.778,7.768,7.788,.005
2008,2471984,304093966,8.129,7.748,7.738,7.758,.005
2009,2437163,306771529,7.945,7.492,7.483,7.502,.005
2010,2468435,308745538,7.995,7.47,7.461,7.479,.005
2011,2515458,311591917,8.073,7.406,7.397,7.415,.005
2012,2543279,313914040,8.102,7.335,7.326,7.345,.005
2013,2596993,316128839,8.215,7.317,7.308,7.326,.005
2014,2626418,318857056,8.237,7.251,7.242,7.26,.005
2015,2712630,321418820,8.44,7.329,7.32,7.338,.005
2016,2744248,323127513,8.493,7.277,7.268,7.286,.004
2017,2813503,325719178,8.638,7.31,7.301,7.318,.004
2018,2839205,327167434,8.678000000000001,7.231,7.222,7.239,.004
2019,2854838,328239523,8.696999999999999,7.14,7.132,7.149,.004
2020,3383729,329484123,10.27,8.340999999999999,8.332000000000001,8.35,.005
