county,year,death_num,death_rate
Ada County,2014,2736,6.4
Ada County,2015,2892,6.7
Ada County,2016,2987,6.727
Ada County,2017,3229,7.068
Ada County,2018,3136,6.672999999999999
Ada County,2019,3276,6.803
Ada County,2020,3801,7.688
Ada County,2021,4141,8.089
Ada County,2022,3919,7.55241305282064
Ada County,2023,3843,7.324562155857077
Adams County,2014,37,9.6
Adams County,2015,34,8.800000000000001
Adams County,2016,40,10.256
Adams County,2017,52,12.539
Adams County,2018,44,10.353
Adams County,2019,40,9.315
Adams County,2020,45,10.119
Adams County,2021,55,11.892
Adams County,2022,59,12.24828731575669
Adams County,2023,53,10.80970834183153
Bannock County,2014,707,8.5
Bannock County,2015,676,8.1
Bannock County,2016,716,8.486000000000001
Bannock County,2017,742,8.702
Bannock County,2018,798,9.157999999999999
Bannock County,2019,730,8.314
Bannock County,2020,855,9.629
Bannock County,2021,936,10.605
Bannock County,2022,885,9.886390294580917
Bannock County,2023,820,9.070796460176991
Bear Lake County,2014,74,12.4
Bear Lake County,2015,46,7.8
Bear Lake County,2016,58,9.756
Bear Lake County,2017,73,12.11
Bear Lake County,2018,66,10.909
Bear Lake County,2019,55,8.98
Bear Lake County,2020,80,13.023
Bear Lake County,2021,80,12.223
Bear Lake County,2022,61,9.074680154715859
Bear Lake County,2023,76,11.2326337570204
Benewah County,2014,130,14.3
Benewah County,2015,141,15.6
Benewah County,2016,132,14.518
Benewah County,2017,131,14.264
Benewah County,2018,108,11.706
Benewah County,2019,136,14.627
Benewah County,2020,121,12.831
Benewah County,2021,159,16.01
Benewah County,2022,143,13.78977820636451
Benewah County,2023,135,13.01957758703829
Bingham County,2014,345,7.6
Bingham County,2015,369,8.199999999999999
Bingham County,2016,396,8.761000000000001
Bingham County,2017,391,8.513999999999999
Bingham County,2018,418,9.041
Bingham County,2019,380,8.118
Bingham County,2020,472,10
Bingham County,2021,504,10.312
Bingham County,2022,464,9.294313242393287
Bingham County,2023,416,8.254787181267982
Blaine County,2014,120,5.6
Blaine County,2015,112,5.2
Blaine County,2016,109,5.002
Blaine County,2017,116,5.267
Blaine County,2018,101,4.468999999999999
Blaine County,2019,135,5.864
Blaine County,2020,140,5.976
Blaine County,2021,156,6.298999999999999
Blaine County,2022,144,5.791039974262045
Blaine County,2023,155,6.189848648216924
Boise County,2014,45,6.6
Boise County,2015,51,7.2
Boise County,2016,54,7.58
Boise County,2017,53,7.27
Boise County,2018,57,7.467000000000001
Boise County,2019,64,8.173
Boise County,2020,74,9.175000000000001
Boise County,2021,94,11.614
Boise County,2022,73,8.76035041401656
Boise County,2023,73,8.571093107901843
Bonner County,2014,418,10.1
Bonner County,2015,442,10.6
Bonner County,2016,445,10.462
Bonner County,2017,463,10.629
Bonner County,2018,440,9.837
Bonner County,2019,482,10.538
Bonner County,2020,478,10.21
Bonner County,2021,620,12.528
Bonner County,2022,557,10.83362508266231
Bonner County,2023,539,10.25748377642872
Bonneville County,2014,792,7.3
Bonneville County,2015,817,7.4
Bonneville County,2016,875,7.796
Bonneville County,2017,914,7.976
Bonneville County,2018,949,8.121
Bonneville County,2019,948,7.962000000000001
Bonneville County,2020,1103,9.031000000000001
Bonneville County,2021,1102,8.613999999999999
Bonneville County,2022,999,7.714524000741335
Bonneville County,2023,1012,7.703667615669199
Boundary County,2014,121,11
Boundary County,2015,101,8.9
Boundary County,2016,113,9.673999999999999
Boundary County,2017,121,10.149
Boundary County,2018,119,9.960000000000001
Boundary County,2019,113,9.228
Boundary County,2020,137,10.825
Boundary County,2021,179,14.25
Boundary County,2022,144,10.79055826152117
Boundary County,2023,159,11.72825846426201
Butte County,2014,31,11.8
Butte County,2015,25,10
Butte County,2016,25,9.996
Butte County,2017,31,11.914
Butte County,2018,38,14.554
Butte County,2019,31,11.937
Butte County,2020,36,13.605
Butte County,2021,47,17.709
Butte County,2022,36,13.41281669150522
Butte County,2023,36,13.05293691080493
Camas County,2014,5,4.8
Camas County,2015,4,3.8
Camas County,2016,7,6.53
Camas County,2017,14,12.704
Camas County,2018,13,11.535
Camas County,2019,14,12.658
Camas County,2020,13,11.504
Camas County,2021,6,5.268
Camas County,2022,5,4.336513443191674
Camas County,2023,5,4.058441558441558
Canyon County,2014,1325,6.5
Canyon County,2015,1477,7.1
Canyon County,2016,1498,7.076000000000001
Canyon County,2017,1575,7.268
Canyon County,2018,1649,7.377999999999999
Canyon County,2019,1618,7.039
Canyon County,2020,1922,8.107999999999999
Canyon County,2021,2132,8.77
Canyon County,2022,2086,8.30860534124629
Canyon County,2023,1971,7.649200152130211
