county,year,m_num,f_num
Ada County,2014,1359,1377
Ada County,2015,1469,1423
Ada County,2016,1475,1512
Ada County,2017,1620,1609
Ada County,2018,1640,1496
Ada County,2019,1659,1617
Ada County,2020,1942,1859
Ada County,2021,2150,1991
Ada County,2022,2050,1869
Ada County,2023,1977,1866
Adams County,2014,24,13
Adams County,2015,16,18
Adams County,2016,24,16
Adams County,2017,33,19
Adams County,2018,29,15
Adams County,2019,22,18
Adams County,2020,28,17
Adams County,2021,29,26
Adams County,2022,36,23
Adams County,2023,36,17
Bannock County,2014,363,344
Bannock County,2015,335,341
Bannock County,2016,394,322
Bannock County,2017,388,354
Bannock County,2018,411,387
Bannock County,2019,371,359
Bannock County,2020,453,402
Bannock County,2021,499,437
Bannock County,2022,466,419
Bannock County,2023,431,389
Bear Lake County,2014,46,28
Bear Lake County,2015,18,28
Bear Lake County,2016,37,21
Bear Lake County,2017,35,38
Bear Lake County,2018,35,31
Bear Lake County,2019,30,25
Bear Lake County,2020,39,41
Bear Lake County,2021,52,28
Bear Lake County,2022,26,35
Bear Lake County,2023,35,41
Benewah County,2014,66,64
Benewah County,2015,83,58
Benewah County,2016,73,59
Benewah County,2017,66,65
Benewah County,2018,51,57
Benewah County,2019,83,53
Benewah County,2020,62,59
Benewah County,2021,89,70
Benewah County,2022,85,58
Benewah County,2023,74,61
Bingham County,2014,164,181
Bingham County,2015,216,153
Bingham County,2016,209,187
Bingham County,2017,205,186
Bingham County,2018,218,200
Bingham County,2019,208,172
Bingham County,2020,260,212
Bingham County,2021,277,227
Bingham County,2022,245,219
Bingham County,2023,244,172
Blaine County,2014,70,50
Blaine County,2015,70,42
Blaine County,2016,61,48
Blaine County,2017,73,43
Blaine County,2018,63,38
Blaine County,2019,71,64
Blaine County,2020,83,57
Blaine County,2021,89,67
Blaine County,2022,88,56
Blaine County,2023,85,70
Boise County,2014,24,21
Boise County,2015,35,16
Boise County,2016,28,26
Boise County,2017,37,16
Boise County,2018,29,28
Boise County,2019,36,28
Boise County,2020,51,23
Boise County,2021,61,33
Boise County,2022,53,20
Boise County,2023,52,21
Bonner County,2014,210,208
Bonner County,2015,233,209
Bonner County,2016,230,215
Bonner County,2017,246,217
Bonner County,2018,236,204
Bonner County,2019,264,218
Bonner County,2020,266,212
Bonner County,2021,365,255
Bonner County,2022,294,263
Bonner County,2023,309,230
Bonneville County,2014,382,410
Bonneville County,2015,421,396
Bonneville County,2016,423,452
Bonneville County,2017,482,432
Bonneville County,2018,491,458
Bonneville County,2019,473,475
Bonneville County,2020,581,522
Bonneville County,2021,579,523
Bonneville County,2022,496,503
Bonneville County,2023,529,483
Boundary County,2014,68,53
Boundary County,2015,56,45
Boundary County,2016,63,50
Boundary County,2017,64,57
Boundary County,2018,67,52
Boundary County,2019,66,47
Boundary County,2020,82,55
Boundary County,2021,91,88
Boundary County,2022,72,72
Boundary County,2023,91,68
Butte County,2014,14,17
Butte County,2015,17,8
Butte County,2016,12,13
Butte County,2017,19,12
Butte County,2018,23,15
Butte County,2019,24,7
Butte County,2020,22,14
Butte County,2021,26,21
Butte County,2022,20,16
Butte County,2023,18,18
Camas County,2014,2,3
Camas County,2015,3,1
Camas County,2016,5,2
Camas County,2017,9,5
Camas County,2018,8,5
Camas County,2019,12,2
Camas County,2020,6,7
Camas County,2021,5,1
Camas County,2022,3,2
Camas County,2023,4,1
Canyon County,2014,690,635
Canyon County,2015,773,704
Canyon County,2016,764,734
Canyon County,2017,823,752
Canyon County,2018,874,775
Canyon County,2019,859,759
Canyon County,2020,1038,884
Canyon County,2021,1158,974
Canyon County,2022,1078,1008
Canyon County,2023,1022,949
Caribou County,2014,28,29
Caribou County,2015,32,27
Caribou County,2016,35,27
Caribou County,2017,44,43
Caribou County,2018,35,25
Caribou County,2019,32,36
Caribou County,2020,37,51
Caribou County,2021,49,29
Caribou County,2022,31,40
Caribou County,2023,56,36
Cassia County,2014,108,83
Cassia County,2015,108,106
Cassia County,2016,107,78
Cassia County,2017,99,106
Cassia County,2018,101,113
Cassia County,2019,101,113
Cassia County,2020,136,93
Cassia County,2021,130,104
Cassia County,2022,114,122
Cassia County,2023,112,118
Clark County,2014,6,4
Clark County,2015,3,4
Clark County,2016,4,2
Clark County,2017,5,2
Clark County,2018,3,2
Clark County,2019,4,2
Clark County,2020,2,2
Clark County,2021,1,9
