county,year,units
Ada County,2020,198608
Ada County,2021,204507
Ada County,2022,211856
Ada County,2023,218279
Adams County,2020,2643
Adams County,2021,2655
Adams County,2022,2668
Adams County,2023,2704
Bannock County,2020,34977
Bannock County,2021,35726
Bannock County,2022,36216
Bannock County,2023,36739
Bear Lake County,2020,3861
Bear Lake County,2021,3922
Bear Lake County,2022,4010
Bear Lake County,2023,4097
Benewah County,2020,4638
Benewah County,2021,4689
Benewah County,2022,4764
Benewah County,2023,4826
Bingham County,2020,16964
Bingham County,2021,17269
Bingham County,2022,17528
Bingham County,2023,17808
Blaine County,2020,15461
Blaine County,2021,15673
Blaine County,2022,15955
Blaine County,2023,16344
Boise County,2020,5463
Boise County,2021,5585
Boise County,2022,5693
Boise County,2023,5822
Bonner County,2020,26345
Bonner County,2021,26554
Bonner County,2022,26891
Bonner County,2023,27226
Bonneville County,2020,45413
Bonneville County,2021,46269
Bonneville County,2022,47350
Bonneville County,2023,48472
Boundary County,2020,5418
Boundary County,2021,5493
Boundary County,2022,5612
Boundary County,2023,5754
Butte County,2020,1290
Butte County,2021,1293
Butte County,2022,1295
Butte County,2023,1307
Camas County,2020,693
Camas County,2021,700
Camas County,2022,710
Camas County,2023,731
Canyon County,2020,81822
Canyon County,2021,85153
Canyon County,2022,89364
Canyon County,2023,92923
Caribou County,2020,3111
Caribou County,2021,3131
Caribou County,2022,3148
Caribou County,2023,3180
Cassia County,2020,8871
Cassia County,2021,8979
Cassia County,2022,9118
Cassia County,2023,9196
Clark County,2020,484
Clark County,2021,485
Clark County,2022,486
Clark County,2023,490
Clearwater County,2020,4558
Clearwater County,2021,4598
Clearwater County,2022,4629
Clearwater County,2023,4671
Custer County,2020,3027
Custer County,2021,3077
Custer County,2022,3133
Custer County,2023,3169
Elmore County,2020,12068
Elmore County,2021,12157
Elmore County,2022,12268
Elmore County,2023,12332
Franklin County,2020,5005
Franklin County,2021,5095
Franklin County,2022,5265
Franklin County,2023,5328
Fremont County,2020,8484
Fremont County,2021,8621
Fremont County,2022,8804
Fremont County,2023,8984
Gem County,2020,7597
Gem County,2021,7745
Gem County,2022,7997
Gem County,2023,8170
Gooding County,2020,6041
Gooding County,2021,6079
Gooding County,2022,6144
Gooding County,2023,6195
Idaho County,2020,8874
Idaho County,2021,8888
Idaho County,2022,8904
Idaho County,2023,8918
Jefferson County,2020,10199
Jefferson County,2021,10486
Jefferson County,2022,10860
Jefferson County,2023,11087
Jerome County,2020,8590
Jerome County,2021,8685
Jerome County,2022,8855
Jerome County,2023,8944
Kootenai County,2020,75352
Kootenai County,2021,78229
Kootenai County,2022,80641
Kootenai County,2023,82669
Latah County,2020,17287
Latah County,2021,17411
Latah County,2022,17598
Latah County,2023,17727
Lemhi County,2020,4580
Lemhi County,2021,4620
Lemhi County,2022,4673
Lemhi County,2023,4731
Lewis County,2020,1810
Lewis County,2021,1821
Lewis County,2022,1827
Lewis County,2023,1843
Lincoln County,2020,1951
Lincoln County,2021,1968
Lincoln County,2022,1992
Lincoln County,2023,2021
Madison County,2020,14210
Madison County,2021,14843
Madison County,2022,15181
Madison County,2023,15531
Minidoka County,2020,8220
Minidoka County,2021,8392
Minidoka County,2022,8696
Minidoka County,2023,8899
Nez Perce County,2020,18388
Nez Perce County,2021,18492
Nez Perce County,2022,18596
Nez Perce County,2023,18686
Oneida County,2020,2013
Oneida County,2021,2034
Oneida County,2022,2118
Oneida County,2023,2158
Owyhee County,2020,4730
Owyhee County,2021,4771
Owyhee County,2022,4873
Owyhee County,2023,4933
Payette County,2020,9701
Payette County,2021,9950
Payette County,2022,10181
Payette County,2023,10321
Power County,2020,2940
Power County,2021,2953
Power County,2022,2980
Power County,2023,3000
Shoshone County,2020,6998
Shoshone County,2021,7028
Shoshone County,2022,7066
Shoshone County,2023,7096
Teton County,2020,5853
Teton County,2021,6096
Teton County,2022,6481
Teton County,2023,6855
Twin Falls County,2020,34875
Twin Falls County,2021,35815
Twin Falls County,2022,36707
Twin Falls County,2023,37222
Valley County,2020,12237
Valley County,2021,12519
Valley County,2022,12892
Valley County,2023,13215
Washington County,2020,4524
Washington County,2021,4568
Washington County,2022,4631
Washington County,2023,4690
Ada County,2010,159814
Ada County,2011,161029
Ada County,2012,162418
Ada County,2013,164959
Ada County,2014,168134
Ada County,2015,171965
Ada County,2016,176053
Ada County,2017,180607
Ada County,2018,186400
Ada County,2019,192630
Adams County,2010,2641
Adams County,2011,2653
Adams County,2012,2660
Adams County,2013,2666
Adams County,2014,2666
Adams County,2015,2670
Adams County,2016,2674
Adams County,2017,2683
Adams County,2018,2693
Adams County,2019,2705
Bannock County,2010,33228
Bannock County,2011,33358
Bannock County,2012,33426
Bannock County,2013,33552
Bannock County,2014,33706
Bannock County,2015,33858
Bannock County,2016,34041
Bannock County,2017,34234
Bannock County,2018,34453
Bannock County,2019,34852
Bear Lake County,2010,3918
Bear Lake County,2011,3943
Bear Lake County,2012,3968
Bear Lake County,2013,3994
Bear Lake County,2014,4020
Bear Lake County,2015,4053
Bear Lake County,2016,4077
Bear Lake County,2017,4110
Bear Lake County,2018,4157
Bear Lake County,2019,4204
Benewah County,2010,4635
Benewah County,2011,4653
Benewah County,2012,4663
Benewah County,2013,4671
Benewah County,2014,4683
Benewah County,2015,4697
Benewah County,2016,4713
Benewah County,2017,4728
Benewah County,2018,4754
Benewah County,2019,4790
Bingham County,2010,16164
Bingham County,2011,16223
Bingham County,2012,16286
Bingham County,2013,16350
Bingham County,2014,16428
Bingham County,2015,16514
Bingham County,2016,16613
Bingham County,2017,16742
Bingham County,2018,16857
Bingham County,2019,17003
Blaine County,2010,15056
Blaine County,2011,15077
Blaine County,2012,15125
Blaine County,2013,15152
Blaine County,2014,15210
Blaine County,2015,15295
Blaine County,2016,15353
Blaine County,2017,15433
Blaine County,2018,15499
Blaine County,2019,15600
Boise County,2010,5300
Boise County,2011,5323
Boise County,2012,5350
Boise County,2013,5374
Boise County,2014,5394
Boise County,2015,5425
Boise County,2016,5476
