origin_destination,age_group,number_of_people,year,direction
Alabama,20,26,2023,out
Alabama,21_30,93,2023,out
Alabama,31_40,41,2023,out
Alabama,41_50,35,2023,out
Alabama,51_60,16,2023,out
Alabama,61_70,12,2023,out
Alabama,71_80,11,2023,out
Alabama,81_90,2,2023,out
Alabama,91,0,2023,out
Alaska,20,61,2023,out
Alaska,21_30,133,2023,out
Alaska,31_40,96,2023,out
Alaska,41_50,45,2023,out
Alaska,51_60,42,2023,out
Alaska,61_70,14,2023,out
Alaska,71_80,9,2023,out
Alaska,81_90,0,2023,out
Alaska,91,0,2023,out
Alberta,20,0,2023,out
Alberta,21_30,0,2023,out
Alberta,31_40,0,2023,out
Alberta,41_50,0,2023,out
Alberta,51_60,0,2023,out
Alberta,61_70,0,2023,out
Alberta,71_80,0,2023,out
Alberta,81_90,0,2023,out
Alberta,91,0,2023,out
American Samoa,20,0,2023,out
American Samoa,21_30,0,2023,out
American Samoa,31_40,0,2023,out
American Samoa,41_50,0,2023,out
American Samoa,51_60,0,2023,out
American Samoa,61_70,0,2023,out
American Samoa,71_80,0,2023,out
American Samoa,81_90,0,2023,out
American Samoa,91,0,2023,out
Arizona,20,211,2023,out
Arizona,21_30,573,2023,out
Arizona,31_40,260,2023,out
Arizona,41_50,220,2023,out
Arizona,51_60,283,2023,out
Arizona,61_70,272,2023,out
Arizona,71_80,181,2023,out
Arizona,81_90,28,2023,out
Arizona,91,0,2023,out
Arkansas,20,40,2023,out
Arkansas,21_30,105,2023,out
Arkansas,31_40,68,2023,out
Arkansas,41_50,57,2023,out
Arkansas,51_60,37,2023,out
Arkansas,61_70,38,2023,out
Arkansas,71_80,15,2023,out
Arkansas,81_90,2,2023,out
Arkansas,91,0,2023,out
British Columbia,20,1,2023,out
British Columbia,21_30,0,2023,out
British Columbia,31_40,0,2023,out
British Columbia,41_50,0,2023,out
British Columbia,51_60,0,2023,out
British Columbia,61_70,0,2023,out
British Columbia,71_80,0,2023,out
British Columbia,81_90,0,2023,out
British Columbia,91,0,2023,out
California,20,68,2023,out
California,21_30,100,2023,out
California,31_40,48,2023,out
California,41_50,41,2023,out
California,51_60,41,2023,out
California,61_70,20,2023,out
California,71_80,6,2023,out
California,81_90,1,2023,out
California,91,0,2023,out
Canada,20,1,2023,out
Canada,21_30,0,2023,out
Canada,31_40,0,2023,out
Canada,41_50,0,2023,out
Canada,51_60,0,2023,out
Canada,61_70,0,2023,out
Canada,71_80,0,2023,out
Canada,81_90,0,2023,out
Canada,91,0,2023,out
Colorado,20,145,2023,out
Colorado,21_30,530,2023,out
Colorado,31_40,187,2023,out
Colorado,41_50,159,2023,out
Colorado,51_60,122,2023,out
Colorado,61_70,84,2023,out
Colorado,71_80,40,2023,out
Colorado,81_90,16,2023,out
Colorado,91,0,2023,out
Connecticut,20,0,2023,out
Connecticut,21_30,0,2023,out
Connecticut,31_40,0,2023,out
Connecticut,41_50,0,2023,out
Connecticut,51_60,2,2023,out
Connecticut,61_70,0,2023,out
Connecticut,71_80,1,2023,out
Connecticut,81_90,0,2023,out
Connecticut,91,0,2023,out
Delaware,20,5,2023,out
Delaware,21_30,10,2023,out
Delaware,31_40,10,2023,out
Delaware,41_50,2,2023,out
Delaware,51_60,2,2023,out
Delaware,61_70,2,2023,out
Delaware,71_80,2,2023,out
Delaware,81_90,0,2023,out
Delaware,91,0,2023,out
District Of Columbia,20,0,2023,out
District Of Columbia,21_30,0,2023,out
District Of Columbia,31_40,0,2023,out
District Of Columbia,41_50,0,2023,out
District Of Columbia,51_60,0,2023,out
District Of Columbia,61_70,0,2023,out
District Of Columbia,71_80,0,2023,out
District Of Columbia,81_90,0,2023,out
District Of Columbia,91,0,2023,out
Federated States Of Micronesia,20,0,2023,out
Federated States Of Micronesia,21_30,0,2023,out
Federated States Of Micronesia,31_40,0,2023,out
Federated States Of Micronesia,41_50,0,2023,out
Federated States Of Micronesia,51_60,0,2023,out
Federated States Of Micronesia,61_70,0,2023,out
Federated States Of Micronesia,71_80,0,2023,out
Federated States Of Micronesia,81_90,0,2023,out
Federated States Of Micronesia,91,0,2023,out
Florida,20,171,2023,out
Florida,21_30,570,2023,out
Florida,31_40,384,2023,out
Florida,41_50,236,2023,out
Florida,51_60,239,2023,out
Florida,61_70,191,2023,out
Florida,71_80,83,2023,out
Florida,81_90,22,2023,out
Florida,91,1,2023,out
General Service Administration,20,1,2023,out
General Service Administration,21_30,0,2023,out
General Service Administration,31_40,0,2023,out
General Service Administration,41_50,0,2023,out
General Service Administration,51_60,0,2023,out
General Service Administration,61_70,0,2023,out
General Service Administration,71_80,0,2023,out
General Service Administration,81_90,0,2023,out
General Service Administration,91,0,2023,out
Georgia,20,48,2023,out
Georgia,21_30,180,2023,out
Georgia,31_40,95,2023,out
Georgia,41_50,54,2023,out
Georgia,51_60,50,2023,out
Georgia,61_70,35,2023,out
Georgia,71_80,18,2023,out
Georgia,81_90,2,2023,out
Georgia,91,1,2023,out
Germany,20,0,2023,out
Germany,21_30,0,2023,out
Germany,31_40,0,2023,out
Germany,41_50,0,2023,out
Germany,51_60,0,2023,out
Germany,61_70,0,2023,out
Germany,71_80,0,2023,out
Germany,81_90,0,2023,out
Germany,91,0,2023,out
Guam,20,0,2023,out
Guam,21_30,0,2023,out
Guam,31_40,0,2023,out
Guam,41_50,0,2023,out
Guam,51_60,0,2023,out
Guam,61_70,0,2023,out
Guam,71_80,0,2023,out
Guam,81_90,0,2023,out
Guam,91,0,2023,out
Hawaii,20,78,2023,out
Hawaii,21_30,182,2023,out
