sfips,returns_out,indiv_out,agi_out,year,returns_in,indiv_in,agi_in
1,47342,98079,2166615,2014,44507,94198,2134148
1,35681,69378,1597829,2015,33716,67747,1515297
1,44461,89926,2507957,2016,44067,92183,2349190
1,55668,113649,3058064,2017,59325,125513,3547783
1,45226,89318,2474087,2018,47578,97703,2754842
1,43888,85235,2598706,2019,46548,94055,2851457
1,45058,89699,2821594,2020,52265,107231,3341679
1,46312,85886,2885943,2021,54852,107418,3629049
1,47665,85968,3223014,2022,56212,108674,4021978
2,19096,39165,1026257,2014,15807,31390,769463
2,13405,25022,701834,2015,12294,22884,601986
2,17583,35476,1059270,2016,15019,30063,780577
2,24554,52364,1538666,2017,17878,36790,931766
2,17978,35890,1063918,2018,13916,26983,742553
2,16890,33857,1076307,2019,13780,26353,786200
2,17087,35388,1139389,2020,14339,28523,856856
2,16506,32245,1117585,2021,14852,28185,895915
2,16834,32471,1281505,2022,14745,27607,973284
4,85908,168291,4614097,2014,98161,191416,5788883
4,63693,120204,3405754,2015,73817,137346,4593065
4,82422,158093,4906305,2016,106659,205034,6870173
4,108811,209214,6537050,2017,147846,284642,10294836
4,85671,159284,5335361,2018,120488,225293,8857079
4,84814,154498,5694993,2019,120611,221212,9375905
4,91259,169436,6713691,2020,134047,250088,11525589
4,102848,183341,7713826,2021,135629,240595,12161508
4,109094,189691,9075107,2022,131212,226615,12760040
5,31587,65291,1407612,2014,29055,60802,1334920
5,23374,46025,1066224,2015,22230,44480,984892
5,29791,60253,1538258,2016,29427,61281,1498746
5,37833,77410,2065427,2017,39714,82520,2140953
5,30046,59827,1631119,2018,30908,62258,1613152
5,29625,57866,1705934,2019,29926,60119,1662067
5,30282,60482,1794194,2020,34274,70245,2044056
5,30637,57065,1691879,2021,37281,72775,2230975
5,31700,58148,2021359,2022,37910,72789,2489086
6,268472,512732,21211090,2014,252717,453621,17029143
6,212337,388394,15681638,2015,200999,344232,13587730
6,288918,546608,21980767,2016,260471,453736,19792771
6,392786,750592,31378061,2017,327447,571204,24450725
6,322169,592703,27715920,2018,261617,441167,19745147
6,323953,585372,29917098,2019,253419,417809,21125304
6,370083,684935,38712357,2020,253707,423662,20911731
6,403041,724689,50347830,2021,245685,394176,21253432
6,402652,711148,52537453,2022,259058,405166,28736150
8,78247,150099,4771198,2014,97185,179708,5741633
8,56653,102784,3618217,2015,76123,131276,4507290
8,84897,160182,5268770,2016,109474,194813,7098303
8,122925,235614,7836769,2017,148470,268043,10268699
8,95270,174110,6455968,2018,115696,200950,8564886
8,95375,170814,6805635,2019,112036,189676,8807949
8,106003,194607,7722911,2020,119237,205768,10063169
8,114450,201247,8838704,2021,120659,197690,10976227
8,118703,203450,10920500,2022,126097,200376,12421781
9,46692,81456,4353517,2014,36030,63798,3326564
9,36505,60493,3705476,2015,27588,47645,2418486
9,48944,84560,6038547,2016,36244,64381,3358996
9,63034,110337,6786676,2017,50378,90481,4663269
9,50824,85836,5491136,2018,40858,71387,4357915
9,48716,80485,5371385,2019,39884,68525,3818125
9,51277,87076,6006161,2020,48247,83893,5724414
9,51591,85886,6862485,2021,51161,86413,6907405
9,56400,89213,7877796,2022,49306,82597,6846872
10,14595,27294,913744,2014,15655,28928,976974
10,11203,19811,660586,2015,12050,22041,806699
10,14707,26900,1011952,2016,16443,29988,1141978
10,19653,36137,1327420,2017,23472,43270,1673187
10,15426,27298,1032254,2018,18728,34273,1362933
10,15296,26866,1032427,2019,18506,33244,1379060
10,15849,28230,1092785,2020,20927,38057,1844013
10,16519,28311,1432778,2021,22149,38963,1968414
10,17383,29327,1519026,2022,22356,38766,2133338
11,28166,42996,2249773,2014,27760,38641,1767296
11,21005,32189,1699650,2015,22712,31280,1584958
11,29824,45117,2632155,2016,29627,39830,2132434
11,40696,61020,3689751,2017,35591,48061,2795658
11,31587,46553,2891294,2018,29551,39783,2295423
11,30974,45411,2977608,2019,28978,38721,2361819
11,36267,53796,3772190,2020,28237,38423,2326600
11,36086,51822,4255679,2021,27732,36356,2643779
11,32930,47345,4265837,2022,30776,39130,3113953
12,239441,434785,11899134,2014,292837,550506,22610240
12,177001,309354,9616480,2015,236191,425387,21266473
12,219513,392747,12122975,2016,313343,583691,29545305
12,303825,555228,17656685,2017,395021,747566,33190827
12,255262,455874,15961587,2018,313390,577098,32133238
12,247776,436820,16388004,2019,310823,565034,33939473
12,260527,466040,17664216,2020,342653,635103,41403563
12,264061,451633,18970043,2021,392771,709120,58175465
12,277527,466210,26646421,2022,402830,712310,62697169
13,123110,250183,6206337,2014,129244,263939,6505633
13,92287,179426,4791846,2015,101627,199299,4889104
13,114434,228611,6917550,2016,132111,267247,7470819
13,148277,301116,9423765,2017,171389,347944,10404342
13,119085,230935,7356283,2018,136159,267673,8165712
13,115146,220399,7783932,2019,132161,256127,8210832
13,123358,239864,8453959,2020,140873,277629,9572367
13,124624,227888,9138668,2021,150482,282626,10423463
13,131351,233229,10908057,2022,155523,284718,11623089
15,27228,57999,1362154,2014,27046,53995,1453233
15,20966,40289,984662,2015,21959,41666,1179128
15,29054,61022,1568826,2016,26447,52005,1721929
15,39837,87729,2348644,2017,32888,67282,2077177
15,29633,61021,1731776,2018,26404,51895,1697411
15,28559,57742,1841858,2019,25273,48737,1662184
15,29094,61162,1879034,2020,26183,52357,1960322
15,29585,59927,2105287,2021,25761,49217,2218040
15,29518,57831,2278926,2022,26395,49595,2642960
16,22648,47207,1014590,2014,25028,53335,1282273
16,17022,33194,909093,2015,18284,36633,953883
16,21960,44831,1059312,2016,28594,60358,1746731
16,28848,59853,1404845,2017,42113,91749,2716573
16,23756,46929,1176478,2018,33561,69676,2289852
16,23524,45250,1312194,2019,33752,68353,2544444
16,25232,51021,1368063,2020,40529,87679,3423505
16,28149,54080,1654906,2021,42291,86079,3812348
16,30369,56538,2082612,2022,38927,76814,3780574
17,134606,252389,9828056,2014,94909,169508,5687865
17,99608,177453,7717664,2015,73426,126459,4246750
17,139302,256855,11383169,2016,96201,169018,6540992
17,190216,353675,15481925,2017,124277,219906,8680116
17,144280,259810,12265124,2018,100792,172137,6682811
17,140987,247351,12920481,2019,98335,165244,6983594
17,152379,274123,16092056,2020,101592,173265,7628117
17,156913,272385,18499218,2021,103011,167395,7611784
17,157022,264239,19433926,2022,111479,176953,9583962
18,61215,117624,3128768,2014,56206,111530,2734430
18,45788,83576,2323384,2015,41152,78653,1938746
18,62193,116111,3566881,2016,57008,111854,3016786
18,82625,155651,5010928,2017,80413,158862,4565997
18,64239,117657,3948752,2018,64308,124017,3572668
18,62559,112345,3966063,2019,61610,116550,3621382
18,65636,120337,4342115,2020,66953,128860,4128331
18,66558,116762,4464467,2021,69789,127791,4300273
18,69968,119054,5387757,2022,69545,125380,4836421
19,31423,58970,1584455,2014,28849,56312,1353778
19,22843,40708,1161428,2015,20961,39240,923049
19,32960,60856,1846401,2016,29537,57748,1587058
19,44068,82395,2555136,2017,39937,78071,2169394
19,33253,60379,2080587,2018,30616,57912,1624649
19,32931,59037,2158965,2019,29009,53682,1643145
19,34836,63565,2169313,2020,32261,60479,1885572
19,36426,62877,2178771,2021,35982,61754,1919949
19,37932,63234,2613308,2022,32991,57841,2098743
20,42343,86832,2139945,2014,37035,75755,1965765
20,30020,57342,1768748,2015,26943,52381,1276087
20,44302,89248,2473014,2016,36251,73832,2064386
20,57323,116697,3459989,2017,47834,97546,2799434
20,43246,83980,2626318,2018,37693,74131,2090868
20,41787,79871,2591083,2019,36049,69430,2201551
20,42835,83695,2731390,2020,39080,77474,2443007
20,42800,78916,2847990,2021,40110,75145,2620270
20,43740,78491,3323544,2022,39933,73639,2717282
21,44907,91819,2198827,2014,41691,84050,1899066
21,33426,64231,1583382,2015,31361,60365,1356766
21,43751,86762,2423573,2016,41887,82814,2183927
21,57596,114708,3324958,2017,56808,114897,3281108
21,44717,85337,2632240,2018,44226,85581,2329996
21,43987,82499,2528891,2019,42488,81439,2328958
21,45120,86740,3004550,2020,46985,92284,2732981
21,46417,84548,2944517,2021,48969,90972,2827235
21,46440,82156,3193824,2022,49395,90639,3237357
22,44002,88835,2256262,2014,40886,80828,1785806
22,33726,64912,1847289,2015,32073,61174,1536488
22,43508,86086,2294130,2016,38252,75348,2067671
22,57648,116730,3148055,2017,44109,88137,2426609
22,45333,89229,2492654,2018,35783,69460,1948619
22,43560,84709,2523172,2019,34219,65758,2025789
22,46303,91429,2697296,2020,36588,70802,2129448
22,49749,93697,2914338,2021,35728,65406,2057085
22,50564,92166,3249365,2022,36175,66002,2374538
23,14310,24140,833992,2014,14740,25568,872697
23,11142,17712,630194,2015,10176,16548,568172
23,14349,23688,833634,2016,15319,26552,978372
23,17632,29978,1029801,2017,22792,39777,1589981
23,14550,23871,937361,2018,17735,29831,1257908
23,14380,23229,929193,2019,17163,28644,1267948
23,14367,24011,947682,2020,20738,35363,1820727
23,14882,24371,1149427,2021,22276,36735,2073930
23,16415,25885,1431619,2022,21557,34893,2135969
24,85387,155632,5897505,2014,82263,152533,4664832
24,68384,120783,4381959,2015,60429,107742,3396285
24,91409,166151,6628779,2016,79113,145156,5049527
24,119421,221113,9124229,2017,105928,195055,7118060
24,92997,164713,7207641,2018,84387,149236,5494855
24,90695,157783,7457355,2019,81170,141867,5631177
24,95748,171381,8326190,2020,85860,151734,6483822
24,96772,165915,8715286,2021,83973,142471,6852224
24,99324,165821,10109194,2022,83502,139260,7396693
25,75295,123903,5445749,2014,64653,104425,4684977
25,56998,89799,4409835,2015,49424,76243,3561556
25,81828,133884,6844341,2016,66581,105995,5425339
25,108721,178094,9090923,2017,88611,142093,7193129
25,86746,137891,7584423,2018,71861,111355,6082734
25,85889,134296,7738005,2019,70985,108210,6287624
25,94318,150084,9519489,2020,73879,112980,6964488
25,98989,154393,11581383,2021,73812,110117,7284191
25,104472,159200,13202799,2022,78146,113586,9331863
26,76962,140941,4245297,2014,61548,116354,3519164
