stname,county,year,popestimate,popest_male,popest_fem
Idaho,Ada County,2010,393354,196966,196388
Idaho,Ada County,2011,401262,200983,200279
Idaho,Ada County,2012,408862,204716,204146
Idaho,Ada County,2013,415951,208286,207665
Idaho,Ada County,2014,425471,213158,212313
Idaho,Ada County,2015,432862,216722,216140
Idaho,Ada County,2016,444486,222437,222049
Idaho,Ada County,2017,456548,228516,228032
Idaho,Ada County,2018,468764,234701,234063
Idaho,Ada County,2019,481587,241132,240455
Idaho,Adams County,2010,3962,2034,1928
Idaho,Adams County,2011,3981,2046,1935
Idaho,Adams County,2012,3908,2006,1902
Idaho,Adams County,2013,3863,1975,1888
Idaho,Adams County,2014,3883,2005,1878
Idaho,Adams County,2015,3891,2007,1884
Idaho,Adams County,2016,3941,2037,1904
Idaho,Adams County,2017,4127,2125,2002
Idaho,Adams County,2018,4234,2201,2033
Idaho,Adams County,2019,4294,2207,2087
Idaho,Bannock County,2010,83020,41401,41619
Idaho,Bannock County,2011,83641,41618,42023
Idaho,Bannock County,2012,83755,41754,42001
Idaho,Bannock County,2013,83455,41571,41884
Idaho,Bannock County,2014,83536,41611,41925
Idaho,Bannock County,2015,84184,41946,42238
Idaho,Bannock County,2016,84676,42136,42540
Idaho,Bannock County,2017,85482,42531,42951
Idaho,Bannock County,2018,86674,43034,43640
Idaho,Bannock County,2019,87808,43650,44158
Idaho,Bear Lake County,2010,5969,2963,3006
Idaho,Bear Lake County,2011,5956,2960,2996
Idaho,Bear Lake County,2012,5892,2928,2964
Idaho,Bear Lake County,2013,5948,2956,2992
Idaho,Bear Lake County,2014,5926,2941,2985
Idaho,Bear Lake County,2015,5879,2906,2973
Idaho,Bear Lake County,2016,5927,2944,2983
Idaho,Bear Lake County,2017,6023,2986,3037
Idaho,Bear Lake County,2018,6044,3009,3035
Idaho,Bear Lake County,2019,6125,3069,3056
Idaho,Benewah County,2010,9290,4727,4563
Idaho,Benewah County,2011,9173,4660,4513
Idaho,Benewah County,2012,9126,4622,4504
Idaho,Benewah County,2013,9030,4560,4470
Idaho,Benewah County,2014,9032,4589,4443
Idaho,Benewah County,2015,8996,4573,4423
Idaho,Benewah County,2016,9021,4565,4456
Idaho,Benewah County,2017,9157,4668,4489
Idaho,Benewah County,2018,9218,4722,4496
Idaho,Benewah County,2019,9298,4775,4523
Idaho,Bingham County,2010,45765,22978,22787
Idaho,Bingham County,2011,45893,23032,22861
Idaho,Bingham County,2012,45510,22837,22673
Idaho,Bingham County,2013,45423,22813,22610
Idaho,Bingham County,2014,45214,22706,22508
Idaho,Bingham County,2015,45057,22591,22466
Idaho,Bingham County,2016,45315,22674,22641
Idaho,Bingham County,2017,45884,22908,22976
Idaho,Bingham County,2018,46129,23017,23112
Idaho,Bingham County,2019,46811,23314,23497
Idaho,Blaine County,2010,21295,10833,10462
Idaho,Blaine County,2011,21083,10731,10352
Idaho,Blaine County,2012,21127,10753,10374
Idaho,Blaine County,2013,21325,10863,10462
Idaho,Blaine County,2014,21455,10871,10584
Idaho,Blaine County,2015,21636,10979,10657
Idaho,Blaine County,2016,22062,11145,10917
Idaho,Blaine County,2017,22373,11285,11088
Idaho,Blaine County,2018,22771,11445,11326
Idaho,Blaine County,2019,23021,11566,11455
Idaho,Boise County,2010,7005,3655,3350
Idaho,Boise County,2011,6986,3611,3375
Idaho,Boise County,2012,6790,3501,3289
Idaho,Boise County,2013,6720,3456,3264
Idaho,Boise County,2014,6779,3507,3272
Idaho,Boise County,2015,6963,3587,3376
Idaho,Boise County,2016,7095,3691,3404
Idaho,Boise County,2017,7347,3807,3540
Idaho,Boise County,2018,7655,3979,3676
Idaho,Boise County,2019,7831,4076,3755
Idaho,Bonner County,2010,40902,20597,20305
Idaho,Bonner County,2011,40782,20479,20303
Idaho,Bonner County,2012,40347,20243,20104
Idaho,Bonner County,2013,40525,20255,20270
Idaho,Bonner County,2014,41289,20635,20654
Idaho,Bonner County,2015,41600,20779,20821
Idaho,Bonner County,2016,42357,21098,21259
Idaho,Bonner County,2017,43654,21756,21898
Idaho,Bonner County,2018,44705,22260,22445
Idaho,Bonner County,2019,45739,22846,22893
Idaho,Bonneville County,2010,104675,52230,52445
Idaho,Bonneville County,2011,105813,52703,53110
Idaho,Bonneville County,2012,106764,53107,53657
Idaho,Bonneville County,2013,107369,53324,54045
Idaho,Bonneville County,2014,108236,53745,54491
Idaho,Bonneville County,2015,109849,54620,55229
Idaho,Bonneville County,2016,112118,55827,56291
Idaho,Bonneville County,2017,114488,57061,57427
Idaho,Bonneville County,2018,116444,58165,58279
Idaho,Bonneville County,2019,119062,59452,59610
Idaho,Boundary County,2010,10999,5563,5436
Idaho,Boundary County,2011,10823,5476,5347
Idaho,Boundary County,2012,10817,5470,5347
Idaho,Boundary County,2013,10853,5502,5351
Idaho,Boundary County,2014,10956,5529,5427
Idaho,Boundary County,2015,11299,5700,5599
Idaho,Boundary County,2016,11701,5874,5827
Idaho,Boundary County,2017,11965,5997,5968
Idaho,Boundary County,2018,12016,6040,5976
Idaho,Boundary County,2019,12245,6146,6099
Idaho,Butte County,2010,2915,1496,1419
Idaho,Butte County,2011,2833,1448,1385
Idaho,Butte County,2012,2760,1406,1354
Idaho,Butte County,2013,2667,1372,1295
Idaho,Butte County,2014,2658,1351,1307
Idaho,Butte County,2015,2566,1302,1264
Idaho,Butte County,2016,2572,1314,1258
Idaho,Butte County,2017,2585,1321,1264
Idaho,Butte County,2018,2587,1303,1284
Idaho,Butte County,2019,2597,1324,1273
Idaho,Camas County,2010,1116,581,535
Idaho,Camas County,2011,1115,579,536
Idaho,Camas County,2012,1085,559,526
Idaho,Camas County,2013,1043,537,506
Idaho,Camas County,2014,1054,542,512
Idaho,Camas County,2015,1070,548,522
Idaho,Camas County,2016,1082,562,520
Idaho,Camas County,2017,1096,557,539
Idaho,Camas County,2018,1121,571,550
Idaho,Camas County,2019,1106,565,541
Idaho,Canyon County,2010,189347,93695,95652
Idaho,Canyon County,2011,191354,94604,96750
Idaho,Canyon County,2012,193734,95691,98043
Idaho,Canyon County,2013,198590,98295,100295
Idaho,Canyon County,2014,202440,100095,102345
Idaho,Canyon County,2015,206842,102290,104552
Idaho,Canyon County,2016,211381,104666,106715
Idaho,Canyon County,2017,216858,107423,109435
Idaho,Canyon County,2018,223236,110665,112571
Idaho,Canyon County,2019,229849,114075,115774
Idaho,Caribou County,2010,6974,3514,3460
Idaho,Caribou County,2011,6844,3443,3401
Idaho,Caribou County,2012,6771,3423,3348
Idaho,Caribou County,2013,6787,3435,3352
Idaho,Caribou County,2014,6794,3443,3351
Idaho,Caribou County,2015,6733,3416,3317
Idaho,Caribou County,2016,6867,3489,3378
Idaho,Caribou County,2017,6973,3557,3416
Idaho,Caribou County,2018,7037,3601,3436
Idaho,Caribou County,2019,7155,3651,3504
Idaho,Cassia County,2010,23080,11656,11424
Idaho,Cassia County,2011,23106,11691,11415
Idaho,Cassia County,2012,23263,11822,11441
Idaho,Cassia County,2013,23344,11851,11493
Idaho,Cassia County,2014,23503,11977,11526
Idaho,Cassia County,2015,23499,12022,11477
Idaho,Cassia County,2016,23479,11985,11494
Idaho,Cassia County,2017,23650,12087,11563
Idaho,Cassia County,2018,23791,12113,11678
Idaho,Cassia County,2019,24030,12219,11811
Idaho,Clark County,2010,980,541,439
Idaho,Clark County,2011,954,527,427
Idaho,Clark County,2012,884,470,414
Idaho,Clark County,2013,879,461,418
Idaho,Clark County,2014,889,471,418
Idaho,Clark County,2015,886,473,413
Idaho,Clark County,2016,870,462,408
Idaho,Clark County,2017,879,453,426
Idaho,Clark County,2018,851,435,416
Idaho,Clark County,2019,845,432,413
Idaho,Clearwater County,2010,8727,4726,4001
Idaho,Clearwater County,2011,8609,4660,3949
Idaho,Clearwater County,2012,8579,4637,3942
Idaho,Clearwater County,2013,8568,4675,3893
Idaho,Clearwater County,2014,8561,4710,3851
Idaho,Clearwater County,2015,8554,4709,3845
Idaho,Clearwater County,2016,8651,4793,3858
Idaho,Clearwater County,2017,8646,4771,3875
Idaho,Clearwater County,2018,8758,4824,3934
Idaho,Clearwater County,2019,8756,4836,3920
Idaho,Custer County,2010,4357,2312,2045
Idaho,Custer County,2011,4325,2288,2037
Idaho,Custer County,2012,4327,2283,2044
Idaho,Custer County,2013,4225,2192,2033
Idaho,Custer County,2014,4132,2116,2016
Idaho,Custer County,2015,4059,2080,1979
Idaho,Custer County,2016,4084,2095,1989
Idaho,Custer County,2017,4135,2126,2009
Idaho,Custer County,2018,4250,2189,2061
Idaho,Custer County,2019,4315,2205,2110
Idaho,Elmore County,2010,27121,14015,13106
Idaho,Elmore County,2011,26221,13571,12650
Idaho,Elmore County,2012,26287,13681,12606
Idaho,Elmore County,2013,26267,13724,12543
Idaho,Elmore County,2014,26226,13692,12534
Idaho,Elmore County,2015,25826,13506,12320
Idaho,Elmore County,2016,26137,13666,12471
Idaho,Elmore County,2017,26881,14041,12840
Idaho,Elmore County,2018,27362,14352,13010
Idaho,Elmore County,2019,27511,14415,13096
Idaho,Franklin County,2010,12781,6485,6296
Idaho,Franklin County,2011,12810,6463,6347
Idaho,Franklin County,2012,12798,6477,6321
Idaho,Franklin County,2013,12802,6471,6331
Idaho,Franklin County,2014,12910,6543,6367
Idaho,Franklin County,2015,12955,6602,6353
Idaho,Franklin County,2016,13320,6803,6517
Idaho,Franklin County,2017,13467,6885,6582
Idaho,Franklin County,2018,13704,7009,6695
Idaho,Franklin County,2019,13876,7121,6755
Idaho,Fremont County,2010,13225,6951,6274
Idaho,Fremont County,2011,13109,6853,6256
Idaho,Fremont County,2012,12966,6780,6186
Idaho,Fremont County,2013,12872,6735,6137
Idaho,Fremont County,2014,12803,6684,6119
Idaho,Fremont County,2015,12812,6655,6157
Idaho,Fremont County,2016,12914,6717,6197
Idaho,Fremont County,2017,13122,6834,6288
Idaho,Fremont County,2018,13155,6877,6278
Idaho,Fremont County,2019,13099,6858,6241
Idaho,Gem County,2010,16687,8263,8424
Idaho,Gem County,2011,16692,8267,8425
Idaho,Gem County,2012,16630,8213,8417
Idaho,Gem County,2013,16569,8228,8341
Idaho,Gem County,2014,16646,8297,8349
Idaho,Gem County,2015,16685,8313,8372
Idaho,Gem County,2016,16959,8458,8501
Idaho,Gem County,2017,17311,8647,8664
Idaho,Gem County,2018,17587,8814,8773
Idaho,Gem County,2019,18112,9106,9006
Idaho,Gooding County,2010,15471,7983,7488
Idaho,Gooding County,2011,15355,7904,7451
Idaho,Gooding County,2012,15250,7834,7416
Idaho,Gooding County,2013,15169,7771,7398
Idaho,Gooding County,2014,15086,7710,7376
Idaho,Gooding County,2015,15188,7751,7437
Idaho,Gooding County,2016,15135,7744,7391
Idaho,Gooding County,2017,15121,7726,7395
Idaho,Gooding County,2018,15116,7679,7437
Idaho,Gooding County,2019,15179,7728,7451
Idaho,Idaho County,2010,16310,8507,7803
Idaho,Idaho County,2011,16462,8587,7875
Idaho,Idaho County,2012,16444,8577,7867
Idaho,Idaho County,2013,16249,8471,7778
Idaho,Idaho County,2014,16275,8535,7740
Idaho,Idaho County,2015,16301,8533,7768
Idaho,Idaho County,2016,16236,8516,7720
Idaho,Idaho County,2017,16373,8598,7775
Idaho,Idaho County,2018,16476,8632,7844
Idaho,Idaho County,2019,16667,8726,7941
Idaho,Jefferson County,2010,26223,13162,13061
Idaho,Jefferson County,2011,26313,13219,13094
Idaho,Jefferson County,2012,26641,13377,13264
Idaho,Jefferson County,2013,26804,13459,13345
Idaho,Jefferson County,2014,26944,13563,13381
Idaho,Jefferson County,2015,27127,13723,13404
Idaho,Jefferson County,2016,27830,14125,13705
Idaho,Jefferson County,2017,28439,14442,13997
Idaho,Jefferson County,2018,29405,14951,14454
Idaho,Jefferson County,2019,29871,15276,14595
Idaho,Jerome County,2010,22442,11448,10994
Idaho,Jerome County,2011,22520,11481,11039
Idaho,Jerome County,2012,22578,11440,11138
Idaho,Jerome County,2013,22768,11560,11208
Idaho,Jerome County,2014,22926,11601,11325
Idaho,Jerome County,2015,22971,11686,11285
Idaho,Jerome County,2016,23433,11959,11474
Idaho,Jerome County,2017,23768,12125,11643
Idaho,Jerome County,2018,24066,12324,11742
Idaho,Jerome County,2019,24412,12518,11894
Idaho,Kootenai County,2010,138848,68429,70419
Idaho,Kootenai County,2011,140932,69493,71439
Idaho,Kootenai County,2012,142084,70075,72009
Idaho,Kootenai County,2013,143897,70998,72899
Idaho,Kootenai County,2014,146529,72309,74220
Idaho,Kootenai County,2015,149367,73708,75659
Idaho,Kootenai County,2016,153019,75453,77566
Idaho,Kootenai County,2017,157320,77650,79670
Idaho,Kootenai County,2018,161209,79658,81551
Idaho,Kootenai County,2019,165697,81998,83699
Idaho,Latah County,2010,37255,19186,18069
Idaho,Latah County,2011,37855,19466,18389
Idaho,Latah County,2012,38094,19628,18466
Idaho,Latah County,2013,38220,19659,18561
Idaho,Latah County,2014,38517,19801,18716
Idaho,Latah County,2015,38796,19868,18928
Idaho,Latah County,2016,39050,20011,19039
Idaho,Latah County,2017,39741,20300,19441
Idaho,Latah County,2018,39829,20268,19561
Idaho,Latah County,2019,40108,20365,19743
Idaho,Lemhi County,2010,7953,4058,3895
Idaho,Lemhi County,2011,7986,4081,3905
Idaho,Lemhi County,2012,7768,3963,3805
Idaho,Lemhi County,2013,7716,3923,3793
Idaho,Lemhi County,2014,7724,3950,3774
Idaho,Lemhi County,2015,7737,3921,3816
Idaho,Lemhi County,2016,7709,3916,3793
Idaho,Lemhi County,2017,7829,3961,3868
Idaho,Lemhi County,2018,7932,4019,3913
Idaho,Lemhi County,2019,8027,4056,3971
Idaho,Lewis County,2010,3820,1917,1903
Idaho,Lewis County,2011,3806,1905,1901
Idaho,Lewis County,2012,3820,1919,1901
Idaho,Lewis County,2013,3805,1907,1898
Idaho,Lewis County,2014,3813,1897,1916
Idaho,Lewis County,2015,3791,1887,1904
Idaho,Lewis County,2016,3846,1927,1919
Idaho,Lewis County,2017,3884,1951,1933
Idaho,Lewis County,2018,3832,1948,1884
Idaho,Lewis County,2019,3838,1954,1884
Idaho,Lincoln County,2010,5206,2686,2520
Idaho,Lincoln County,2011,5132,2683,2449
Idaho,Lincoln County,2012,5262,2744,2518
Idaho,Lincoln County,2013,5329,2780,2549
Idaho,Lincoln County,2014,5331,2791,2540
Idaho,Lincoln County,2015,5307,2746,2561
Idaho,Lincoln County,2016,5303,2762,2541
Idaho,Lincoln County,2017,5376,2774,2602
Idaho,Lincoln County,2018,5398,2800,2598
Idaho,Lincoln County,2019,5366,2779,2587
Idaho,Madison County,2010,37592,18246,19346
Idaho,Madison County,2011,37908,18588,19320
Idaho,Madison County,2012,37662,18606,19056
Idaho,Madison County,2013,37527,18676,18851
Idaho,Madison County,2014,37900,18962,18938
Idaho,Madison County,2015,37989,19109,18880
Idaho,Madison County,2016,38972,19585,19387
Idaho,Madison County,2017,39370,19939,19431
Idaho,Madison County,2018,39261,19912,19349
Idaho,Madison County,2019,39907,20227,19680
Idaho,Minidoka County,2010,20083,10159,9924
Idaho,Minidoka County,2011,20207,10214,9993
Idaho,Minidoka County,2012,20152,10150,10002
Idaho,Minidoka County,2013,20400,10310,10090
Idaho,Minidoka County,2014,20339,10290,10049
Idaho,Minidoka County,2015,20430,10291,10139
Idaho,Minidoka County,2016,20613,10365,10248
Idaho,Minidoka County,2017,20722,10356,10366
Idaho,Minidoka County,2018,20719,10363,10356
Idaho,Minidoka County,2019,21039,10512,10527
Idaho,Nez Perce County,2010,39315,19481,19834
Idaho,Nez Perce County,2011,39438,19525,19913
Idaho,Nez Perce County,2012,39504,19572,19932
Idaho,Nez Perce County,2013,39798,19716,20082
Idaho,Nez Perce County,2014,39841,19734,20107
Idaho,Nez Perce County,2015,39995,19796,20199
Idaho,Nez Perce County,2016,40136,19863,20273
Idaho,Nez Perce County,2017,40289,19934,20355
Idaho,Nez Perce County,2018,40256,19867,20389
Idaho,Nez Perce County,2019,40408,19933,20475
Idaho,Oneida County,2010,4290,2187,2103
Idaho,Oneida County,2011,4233,2140,2093
Idaho,Oneida County,2012,4225,2142,2083
Idaho,Oneida County,2013,4257,2142,2115
Idaho,Oneida County,2014,4178,2095,2083
Idaho,Oneida County,2015,4248,2130,2118
Idaho,Oneida County,2016,4296,2137,2159
Idaho,Oneida County,2017,4389,2202,2187
Idaho,Oneida County,2018,4462,2239,2223
Idaho,Oneida County,2019,4531,2272,2259
Idaho,Owyhee County,2010,11473,5861,5612
Idaho,Owyhee County,2011,11376,5810,5566
Idaho,Owyhee County,2012,11409,5856,5553
Idaho,Owyhee County,2013,11394,5830,5564
Idaho,Owyhee County,2014,11288,5801,5487
Idaho,Owyhee County,2015,11288,5787,5501
Idaho,Owyhee County,2016,11364,5781,5583
Idaho,Owyhee County,2017,11618,5908,5710
Idaho,Owyhee County,2018,11669,5963,5706
Idaho,Owyhee County,2019,11823,6046,5777
Idaho,Payette County,2010,22637,11206,11431
Idaho,Payette County,2011,22547,11158,11389
Idaho,Payette County,2012,22675,11260,11415
Idaho,Payette County,2013,22550,11197,11353
Idaho,Payette County,2014,22754,11296,11458
Idaho,Payette County,2015,22790,11343,11447
Idaho,Payette County,2016,22888,11454,11434
Idaho,Payette County,2017,23163,11524,11639
Idaho,Payette County,2018,23507,11736,11771
Idaho,Payette County,2019,23951,11981,11970
Idaho,Power County,2010,7872,4053,3819
Idaho,Power County,2011,7780,4014,3766
Idaho,Power County,2012,7830,4002,3828
Idaho,Power County,2013,7791,3975,3816
Idaho,Power County,2014,7729,3958,3771
Idaho,Power County,2015,7687,3911,3776
Idaho,Power County,2016,7681,3895,3786
Idaho,Power County,2017,7606,3858,3748
Idaho,Power County,2018,7700,3903,3797
Idaho,Power County,2019,7681,3865,3816
Idaho,Shoshone County,2010,12749,6404,6345
Idaho,Shoshone County,2011,12662,6338,6324
Idaho,Shoshone County,2012,12703,6356,6347
Idaho,Shoshone County,2013,12673,6328,6345
Idaho,Shoshone County,2014,12375,6187,6188
Idaho,Shoshone County,2015,12440,6261,6179
Idaho,Shoshone County,2016,12416,6253,6163
Idaho,Shoshone County,2017,12519,6320,6199
Idaho,Shoshone County,2018,12790,6438,6352
Idaho,Shoshone County,2019,12882,6474,6408
Idaho,Teton County,2010,10151,5291,4860
Idaho,Teton County,2011,10161,5298,4863
Idaho,Teton County,2012,10125,5265,4860
Idaho,Teton County,2013,10399,5418,4981
Idaho,Teton County,2014,10436,5465,4971
Idaho,Teton County,2015,10725,5597,5128
Idaho,Teton County,2016,11165,5859,5306
Idaho,Teton County,2017,11445,5993,5452
Idaho,Teton County,2018,11651,6116,5535
Idaho,Teton County,2019,12142,6372,5770
Idaho,Twin Falls County,2010,77545,38269,39276
Idaho,Twin Falls County,2011,78100,38553,39547
Idaho,Twin Falls County,2012,78550,38758,39792
Idaho,Twin Falls County,2013,79894,39402,40492
Idaho,Twin Falls County,2014,80986,39960,41026
Idaho,Twin Falls County,2015,82245,40560,41685
Idaho,Twin Falls County,2016,83819,41255,42564
Idaho,Twin Falls County,2017,85374,42040,43334
Idaho,Twin Falls County,2018,86029,42449,43580
Idaho,Twin Falls County,2019,86878,42819,44059
Idaho,Valley County,2010,9788,5071,4717
Idaho,Valley County,2011,9636,4976,4660
Idaho,Valley County,2012,9536,4924,4612
Idaho,Valley County,2013,9575,4971,4604
Idaho,Valley County,2014,9793,5116,4677
Idaho,Valley County,2015,10043,5223,4820
Idaho,Valley County,2016,10422,5406,5016
Idaho,Valley County,2017,10667,5513,5154
Idaho,Valley County,2018,11021,5708,5313
Idaho,Valley County,2019,11392,5912,5480
Idaho,Washington County,2010,10177,5013,5164
Idaho,Washington County,2011,10136,5005,5131
Idaho,Washington County,2012,10030,4974,5056
Idaho,Washington County,2013,9916,4944,4972
Idaho,Washington County,2014,9955,4956,4999
Idaho,Washington County,2015,9891,4948,4943
Idaho,Washington County,2016,10032,4992,5040
Idaho,Washington County,2017,10051,4986,5065
Idaho,Washington County,2018,10115,5032,5083
Idaho,Washington County,2019,10194,5075,5119
Idaho,Ada County,2020,498278,250846,247432
Idaho,Ada County,2021,513025,258368,254657
Idaho,Ada County,2022,519004,261750,257254
Idaho,Ada County,2023,524673,264517,260156
Idaho,Adams County,2020,4428,2328,2100
Idaho,Adams County,2021,4623,2430,2193
Idaho,Adams County,2022,4791,2506,2285
Idaho,Adams County,2023,4903,2566,2337
Idaho,Bannock County,2020,87276,43723,43553
Idaho,Bannock County,2021,88515,44309,44206
Idaho,Bannock County,2022,89625,44857,44768
Idaho,Bannock County,2023,90400,45232,45168
Idaho,Bear Lake County,2020,6367,3193,3174
Idaho,Bear Lake County,2021,6567,3277,3290
Idaho,Bear Lake County,2022,6730,3356,3374
Idaho,Bear Lake County,2023,6766,3382,3384
Idaho,Benewah County,2020,9576,4929,4647
Idaho,Benewah County,2021,9895,5100,4795
Idaho,Benewah County,2022,10291,5306,4985
Idaho,Benewah County,2023,10369,5343,5026
Idaho,Bingham County,2020,48097,24218,23879
Idaho,Bingham County,2021,48929,24644,24285
Idaho,Bingham County,2022,49973,25157,24816
