year,cfips,returns_in,indiv_in,agi_in,indiv_out,agi_out,returns_stay,indiv_stay,agi_stay,county_name
2012,1,10868,21861,514013,18885,397765,141249,319850,9151904,Ada County
2013,1,11633,23732,611946,19302,426865,143577,323938,10065741,Ada County
2014,1,11527,23380,607161,19509,460899,146981,329728,10441192,Ada County
2015,1,8339,15526,426094,13782,350336,152697,338554,11334191,Ada County
2016,1,13067,26066,830197,19725,540078,154007,339066,11766707,Ada County
2017,1,19115,39750,1307897,27814,746205,155170,339382,12578684,Ada County
2018,1,15509,30853,1084691,21864,617980,165117,359219,13939220,Ada County
2019,1,14944,28880,1093603,20581,645214,171807,369858,15692275,Ada County
2020,1,17111,34459,1406331,23758,739316,176697,388358,16624997,Ada County
2021,1,17412,32664,1472004,26671,950001,181761,376829,18940183,Ada County
2022,1,16339,29624,1531200,26317,1087677,192639,394506,23070598,Ada County
2012,3,108,208,5957,281,4808,1310,2760,49980,Adams County
2013,3,124,236,5907,252,5041,1276,2652,52392,Adams County
2014,3,121,226,4376,221,4663,1273,2630,54806,Adams County
2015,3,96,222,5120,178,3181,1308,2686,58139,Adams County
2016,3,130,239,8263,187,3908,1304,2644,59592,Adams County
2017,3,199,405,11926,222,4773,1317,2682,63503,Adams County
2018,3,194,388,10724,254,6432,1405,2849,69954,Adams County
2019,3,178,349,10079,280,6406,1439,2909,78796,Adams County
2020,3,186,389,13758,249,6258,1459,3027,90740,Adams County
2021,3,193,355,19197,225,5364,1485,2964,84201,Adams County
2022,3,205,398,17804,245,7239,1571,3156,109015,Adams County
2012,5,1892,3894,66940,4767,78213,26279,61822,1305629,Bannock County
2013,5,1801,3966,64078,4743,82913,26112,61043,1351464,Bannock County
2014,5,1676,3585,61826,4218,72596,26210,60960,1349850,Bannock County
2015,5,1323,2685,52366,2785,54285,26628,61735,1427518,Bannock County
2016,5,1806,3831,75210,4173,82857,26506,61131,1458803,Bannock County
2017,5,2476,5349,110016,5438,113689,26191,59933,1472957,Bannock County
2018,5,2029,4355,90515,3821,82793,27100,61884,1618652,Bannock County
2019,5,1973,4098,94300,4024,91305,27600,62843,1686023,Bannock County
2020,5,2208,4754,111413,4461,93812,28054,66636,1760989,Bannock County
2021,5,2363,4770,118045,4096,103439,29037,63438,1833951,Bannock County
2022,5,2267,4399,123370,3907,108977,30531,66216,2115708,Bannock County
