vintage,year,popestimate,npopchg,births,deaths,naturalchg,internationalmig,domesticmig,netmig,residual,base
2019,2010,1570746,3089,5971,2582,3389,114,-378,-264,-36,
2019,2011,1583910,13164,22952,11881,11071,1541,528,2069,24,1570746
2019,2012,1595324,11414,22365,11893,10472,1524,-718,806,136,1583910
2019,2013,1611206,15882,22699,12295,10404,1782,3543,5325,153,1595324
2019,2014,1631112,19906,22422,12533,9889,1322,8482,9804,213,1611206
2019,2015,1651059,19947,23030,12888,10142,2998,6763,9761,44,1631112
2019,2016,1682380,31321,22642,13278,9364,3369,18541,21910,47,1651059
2019,2017,1717715,35335,22430,13687,8743,1518,25007,26525,67,1682380
2019,2018,1750536,32821,22054,13451,8603,122,24020,24142,76,1717715
2019,2019,1787065,36529,22220,13308,8912,167,27360,27527,90,1750536
2023,2020,1849339,10222,5467,3629,1838,58,8814,8872,-488,1787065
2023,2021,1904537,55198,21850,17141,4709,698,51524,52222,-1733,1849339
2023,2022,1938996,34459,22418,18938,3480,1779,28586,30365,614,1904537
2023,2023,1964726,25730,22456,16817,5639,4664,15389,20053,38,1938996
