county,cfips,year,popestimate,npopchg,births,deaths,naturalchg,internationalmig,domesticmig,netmig,residual,vintage,base,components_unknown
Ada County,1,2010,393354,982,0,0,0,60,137,0,0,2019,,0
Ada County,1,2011,401262,7908,5150,2506,2644,822,4420,5242,22,2019,393354,0
Ada County,1,2012,408862,7600,5032,2553,2479,514,4526,5040,81,2019,401262,0
Ada County,1,2013,415951,7089,5043,2575,2468,651,3943,4594,27,2019,408862,0
Ada County,1,2014,425471,9520,4986,2659,2327,755,6311,7066,127,2019,415951,0
Ada County,1,2015,432862,7391,5186,2855,2331,1227,3825,5052,8,2019,425471,0
Ada County,1,2016,444486,11624,5074,2978,2096,1178,8307,9485,43,2019,432862,0
Ada County,1,2017,456548,12062,4937,3053,1884,624,9512,10136,42,2019,444486,0
Ada County,1,2018,468764,12216,4946,3129,1817,26,10332,10358,41,2019,456548,0
Ada County,1,2019,481587,12823,4980,3055,1925,26,10815,10841,57,2019,468764,0
Ada County,1,2020,498278,3317,0,0,0,16,3144,0,0,2023,481587,16691
Ada County,1,2021,513025,14747,4983,3962,1021,176,14005,14181,-455,2023,498278,0
Ada County,1,2022,519004,5979,5039,4331,708,391,4890,5281,-10,2023,513025,0
Ada County,1,2023,524673,5669,5080,3781,1299,1435,2916,4351,19,2023,519004,0
Adams County,3,2010,3962,-16,0,0,0,0,-22,0,0,2019,,0
Adams County,3,2011,3981,19,18,38,-20,0,40,40,-1,2019,3962,0
Adams County,3,2012,3908,-73,33,28,5,0,-80,-80,2,2019,3981,0
Adams County,3,2013,3863,-45,32,36,-4,0,-41,-41,0,2019,3908,0
Adams County,3,2014,3883,20,25,34,-9,1,27,28,1,2019,3863,0
Adams County,3,2015,3891,8,28,38,-10,1,17,18,0,2019,3883,0
Adams County,3,2016,3941,50,31,39,-8,1,57,58,0,2019,3891,0
Adams County,3,2017,4127,186,39,46,-7,1,192,193,0,2019,3941,0
Adams County,3,2018,4234,107,29,36,-7,1,112,113,1,2019,4127,0
Adams County,3,2019,4294,60,31,27,4,1,56,57,-1,2019,4234,0
Adams County,3,2020,4428,46,0,0,0,0,53,0,0,2023,4294,134
Adams County,3,2021,4623,195,31,48,-17,2,224,226,-14,2023,4428,0
Adams County,3,2022,4791,168,30,58,-28,3,183,186,10,2023,4623,0
Adams County,3,2023,4903,112,28,53,-25,1,136,137,0,2023,4791,0
Bannock County,5,2010,83020,178,0,0,0,6,-58,0,0,2019,,0
Bannock County,5,2011,83641,621,1424,655,769,88,-233,-145,-3,2019,83020,0
Bannock County,5,2012,83755,114,1286,656,630,97,-610,-513,-3,2019,83641,0
Bannock County,5,2013,83455,-300,1329,669,660,164,-1141,-977,17,2019,83755,0
Bannock County,5,2014,83536,81,1268,719,549,196,-668,-472,4,2019,83455,0
Bannock County,5,2015,84184,648,1297,691,606,393,-345,48,-6,2019,83536,0
Bannock County,5,2016,84676,492,1229,703,526,367,-398,-31,-3,2019,84184,0
Bannock County,5,2017,85482,806,1220,720,500,231,80,311,-5,2019,84676,0
Bannock County,5,2018,86674,1192,1140,750,390,62,740,802,0,2019,85482,0
Bannock County,5,2019,87808,1134,1170,709,461,66,606,672,1,2019,86674,0
Bannock County,5,2020,87276,257,0,0,0,1,148,0,0,2023,87808,-532
Bannock County,5,2021,88515,1239,1077,888,189,31,1008,1039,11,2023,87276,0
Bannock County,5,2022,89625,1110,1065,975,90,72,952,1024,-4,2023,88515,0
Bannock County,5,2023,90400,775,1059,871,188,223,361,584,3,2023,89625,0
Bear Lake County,7,2010,5969,-17,0,0,0,0,-23,0,0,2019,,0
Bear Lake County,7,2011,5956,-13,65,62,3,0,-16,-16,0,2019,5969,0
Bear Lake County,7,2012,5892,-64,75,66,9,1,-77,-76,3,2019,5956,0
Bear Lake County,7,2013,5948,56,100,76,24,3,30,33,-1,2019,5892,0
Bear Lake County,7,2014,5926,-22,70,55,15,0,-38,-38,1,2019,5948,0
Bear Lake County,7,2015,5879,-47,83,66,17,1,-65,-64,0,2019,5926,0
Bear Lake County,7,2016,5927,48,79,54,25,4,19,23,0,2019,5879,0
Bear Lake County,7,2017,6023,96,89,57,32,1,63,64,0,2019,5927,0
Bear Lake County,7,2018,6044,21,81,60,21,2,-1,1,-1,2019,6023,0
Bear Lake County,7,2019,6125,81,77,63,14,2,65,67,0,2019,6044,0
Bear Lake County,7,2020,6367,-3,0,0,0,0,0,0,0,2023,6125,242
Bear Lake County,7,2021,6567,200,85,70,15,2,191,193,-8,2023,6367,0
Bear Lake County,7,2022,6730,163,79,77,2,7,148,155,6,2023,6567,0
Bear Lake County,7,2023,6766,36,77,68,9,17,10,27,0,2023,6730,0
Benewah County,9,2010,9290,7,0,0,0,0,-12,0,0,2019,,0
Benewah County,9,2011,9173,-117,103,118,-15,2,-104,-102,0,2019,9290,0
Benewah County,9,2012,9126,-47,107,107,0,1,-47,-46,-1,2019,9173,0
Benewah County,9,2013,9030,-96,122,109,13,2,-112,-110,1,2019,9126,0
Benewah County,9,2014,9032,2,106,131,-25,1,27,28,-1,2019,9030,0
Benewah County,9,2015,8996,-36,111,139,-28,7,-14,-7,-1,2019,9032,0
Benewah County,9,2016,9021,25,107,135,-28,2,52,54,-1,2019,8996,0
Benewah County,9,2017,9157,136,101,134,-33,1,168,169,0,2019,9021,0
Benewah County,9,2018,9218,61,94,104,-10,1,69,70,1,2019,9157,0
Benewah County,9,2019,9298,80,96,99,-3,1,81,82,1,2019,9218,0
Benewah County,9,2020,9576,45,0,0,0,0,47,0,0,2023,9298,278
Benewah County,9,2021,9895,319,86,151,-65,0,400,400,-16,2023,9576,0
Benewah County,9,2022,10291,396,95,159,-64,0,442,442,18,2023,9895,0
Benewah County,9,2023,10369,78,104,150,-46,1,124,125,-1,2023,10291,0
Bingham County,11,2010,45765,160,0,0,0,-3,1,0,0,2019,,0
Bingham County,11,2011,45893,128,742,323,419,-39,-250,-289,-2,2019,45765,0
Bingham County,11,2012,45510,-383,745,337,408,-24,-787,-811,20,2019,45893,0
Bingham County,11,2013,45423,-87,771,307,464,9,-568,-559,8,2019,45510,0
Bingham County,11,2014,45214,-209,700,352,348,23,-594,-571,14,2019,45423,0
