"","long","lat","group","order","region","subregion","county"
"1",-116.505241394043,43.2984199523926,1,1,"idaho","ada","Ada County"
"2",-116.510963439941,43.4473915100098,1,2,"idaho","ada","Ada County"
"3",-116.470855712891,43.4531211853027,1,3,"idaho","ada","Ada County"
"4",-116.470855712891,43.6307373046875,1,4,"idaho","ada","Ada County"
"5",-116.505241394043,43.6364669799805,1,5,"idaho","ada","Ada County"
"6",-116.505241394043,43.8026237487793,1,6,"idaho","ada","Ada County"
"7",-116.287506103516,43.8026237487793,1,7,"idaho","ada","Ada County"
"8",-115.966651916504,43.5848999023438,1,8,"idaho","ada","Ada County"
"9",-115.966651916504,43.4359283447266,1,9,"idaho","ada","Ada County"
"10",-115.966651916504,43.2640419006348,1,10,"idaho","ada","Ada County"
"11",-115.97811126709,43.1952857971191,1,11,"idaho","ada","Ada County"
"12",-115.98957824707,43.1895561218262,1,12,"idaho","ada","Ada County"
"13",-115.983848571777,43.1093444824219,1,13,"idaho","ada","Ada County"
"14",-116.167190551758,43.1093444824219,1,14,"idaho","ada","Ada County"
"15",-116.213035583496,43.0978851318359,1,15,"idaho","ada","Ada County"
"16",-116.253135681152,43.0978851318359,1,16,"idaho","ada","Ada County"
"17",-116.270324707031,43.1093444824219,1,17,"idaho","ada","Ada County"
"18",-116.304710388184,43.1265296936035,1,18,"idaho","ada","Ada County"
"19",-116.350540161133,43.1666412353516,1,19,"idaho","ada","Ada County"
"20",-116.384918212891,43.1895561218262,1,20,"idaho","ada","Ada County"
"21",-116.367721557617,43.2353935241699,1,21,"idaho","ada","Ada County"
"22",-116.407829284668,43.2812309265137,1,22,"idaho","ada","Ada County"
"23",-116.436485290527,43.2926902770996,1,23,"idaho","ada","Ada County"
"24",-116.48804473877,43.2812309265137,1,24,"idaho","ada","Ada County"
"25",-116.505241394043,43.2984199523926,1,25,"idaho","ada","Ada County"
"26",-116.88338470459,44.8396759033203,2,27,"idaho","adams","Adams County"
"27",-116.85474395752,44.8855133056641,2,28,"idaho","adams","Adams County"
"28",-116.831817626953,44.9485397338867,2,29,"idaho","adams","Adams County"
"29",-116.820358276367,44.9886474609375,2,30,"idaho","adams","Adams County"
"30",-116.849021911621,44.9943771362305,2,31,"idaho","adams","Adams County"
"31",-116.843284606934,45.023021697998,2,32,"idaho","adams","Adams County"
"32",-116.791709899902,45.0688591003418,2,33,"idaho","adams","Adams County"
"33",-116.774528503418,45.0860481262207,2,34,"idaho","adams","Adams County"
"34",-116.745880126953,45.1146965026855,2,35,"idaho","adams","Adams County"
"35",-116.717239379883,45.1719932556152,2,36,"idaho","adams","Adams County"
"36",-116.68285369873,45.2350196838379,2,37,"idaho","adams","Adams County"
"37",-116.671394348145,45.2693939208984,2,38,"idaho","adams","Adams County"
"38",-116.333351135254,45.2636680603027,2,39,"idaho","adams","Adams County"
"39",-116.304710388184,45.217830657959,2,40,"idaho","adams","Adams County"
"40",-116.270324707031,45.1433448791504,2,41,"idaho","adams","Adams County"
"41",-116.276062011719,45.1146965026855,2,42,"idaho","adams","Adams County"
"42",-116.127082824707,45.1146965026855,2,43,"idaho","adams","Adams County"
"43",-116.127082824707,45.0917778015137,2,44,"idaho","adams","Adams County"
"44",-116.109893798828,45.0688591003418,2,45,"idaho","adams","Adams County"
"45",-116.07551574707,45.0631294250488,2,46,"idaho","adams","Adams County"
"46",-116.109893798828,45.0115661621094,2,47,"idaho","adams","Adams County"
"47",-116.121360778809,44.9943771362305,2,48,"idaho","adams","Adams County"
"48",-116.10417175293,44.9657287597656,2,49,"idaho","adams","Adams County"
"49",-116.14427947998,44.9370803833008,2,50,"idaho","adams","Adams County"
"50",-116.184387207031,44.8625946044922,2,51,"idaho","adams","Adams County"
"51",-116.195846557617,44.7766494750977,2,52,"idaho","adams","Adams County"
"52",-116.150001525879,44.7136268615723,2,53,"idaho","adams","Adams County"
"53",-116.167190551758,44.6506004333496,2,54,"idaho","adams","Adams County"
"54",-116.155723571777,44.6104927062988,2,55,"idaho","adams","Adams County"
"55",-116.172927856445,44.5933036804199,2,56,"idaho","adams","Adams County"
"56",-116.150001525879,44.5474662780762,2,57,"idaho","adams","Adams County"
"57",-116.161460876465,44.4959030151367,2,58,"idaho","adams","Adams County"
"58",-116.184387207031,44.5130920410156,2,59,"idaho","adams","Adams County"
"59",-116.224494934082,44.4959030151367,2,60,"idaho","adams","Adams County"
"60",-116.235954284668,44.4901733398438,2,61,"idaho","adams","Adams County"
"61",-116.264602661133,44.4615249633789,2,62,"idaho","adams","Adams County"
"62",-116.293243408203,44.450065612793,2,63,"idaho","adams","Adams County"
"63",-116.40210723877,44.450065612793,2,64,"idaho","adams","Adams County"
"64",-116.516700744629,44.4959030151367,2,65,"idaho","adams","Adams County"
"65",-116.516700744629,44.6104927062988,2,66,"idaho","adams","Adams County"
"66",-116.585456848145,44.6219520568848,2,67,"idaho","adams","Adams County"
"67",-116.591178894043,44.6448707580566,2,68,"idaho","adams","Adams County"
"68",-116.614097595215,44.6506004333496,2,69,"idaho","adams","Adams County"
"69",-116.614097595215,44.8396759033203,2,70,"idaho","adams","Adams County"
"70",-116.88338470459,44.8396759033203,2,71,"idaho","adams","Adams County"
"71",-112.110649108887,42.2842826843262,3,73,"idaho","bannock","Bannock County"
"72",-112.15648651123,42.3129348754883,3,74,"idaho","bannock","Bannock County"
"73",-112.202323913574,42.3530387878418,3,75,"idaho","bannock","Bannock County"
"74",-112.242431640625,42.3530387878418,3,76,"idaho","bannock","Bannock County"
"75",-112.311187744141,42.3301200866699,3,77,"idaho","bannock","Bannock County"
"76",-112.32837677002,42.3473091125488,3,78,"idaho","bannock","Bannock County"
"77",-112.305458068848,42.3816909790039,3,79,"idaho","bannock","Bannock County"
"78",-112.288269042969,42.4160652160645,3,80,"idaho","bannock","Bannock County"
"79",-112.299728393555,42.4676284790039,3,81,"idaho","bannock","Bannock County"
"80",-112.322647094727,42.4561729431152,3,82,"idaho","bannock","Bannock County"
"81",-112.379943847656,42.496280670166,3,83,"idaho","bannock","Bannock County"
"82",-112.420051574707,42.507740020752,3,84,"idaho","bannock","Bannock County"
"83",-112.420051574707,42.5535736083984,3,85,"idaho","bannock","Bannock County"
"84",-112.36848449707,42.5707626342773,3,86,"idaho","bannock","Bannock County"
