sfips,returns_in,indiv_in,agi_in,year
1,44507,94198,2134148,2014
2,15807,31390,769463,2014
4,98161,191416,5788883,2014
5,29055,60802,1334920,2014
6,252717,453621,17029143,2014
8,97185,179708,5741633,2014
9,36030,63798,3326564,2014
10,15655,28928,976974,2014
11,27760,38641,1767296,2014
12,292837,550506,22610240,2014
13,129244,263939,6505633,2014
15,27046,53995,1453233,2014
16,25028,53335,1282273,2014
17,94909,169508,5687865,2014
18,56206,111530,2734430,2014
19,28849,56312,1353778,2014
20,37035,75755,1965765,2014
21,41691,84050,1899066,2014
22,40886,80828,1785806,2014
23,14740,25568,872697,2014
24,82263,152533,4664832,2014
25,64653,104425,4684977,2014
26,61548,116354,3519164,2014
27,44661,81160,2545602,2014
28,28048,58923,1164497,2014
29,60301,117185,3055038,2014
30,16450,31188,851717,2014
31,19702,39580,924075,2014
32,57846,109575,3432679,2014
33,21331,36456,1527838,2014
34,81033,146439,5992121,2014
35,27447,54759,1373650,2014
36,150351,243434,10642278,2014
37,129519,258281,7387982,2014
38,17766,33569,856442,2014
39,79729,152071,4281647,2014
40,40794,85980,1931730,2014
41,57751,104220,3074675,2014
42,96817,176413,5922541,2014
44,13158,22556,768515,2014
45,70671,141698,4406095,2014
46,12525,23833,662391,2014
47,81530,163902,4469073,2014
48,308792,643075,17255260,2014
49,31181,69959,1844850,2014
50,8996,14667,480779,2014
51,118828,232128,7418424,2014
53,101663,194560,5927334,2014
54,17208,33216,776639,2014
55,43497,80756,2338486,2014
56,12911,25533,768673,2014
1,33716,67747,1515297,2015
2,12294,22884,601986,2015
4,73817,137346,4593065,2015
5,22230,44480,984892,2015
6,200999,344232,13587730,2015
8,76123,131276,4507290,2015
9,27588,47645,2418486,2015
10,12050,22041,806699,2015
11,22712,31280,1584958,2015
12,236191,425387,21266473,2015
13,101627,199299,4889104,2015
15,21959,41666,1179128,2015
16,18284,36633,953883,2015
17,73426,126459,4246750,2015
18,41152,78653,1938746,2015
19,20961,39240,923049,2015
20,26943,52381,1276087,2015
21,31361,60365,1356766,2015
22,32073,61174,1536488,2015
23,10176,16548,568172,2015
24,60429,107742,3396285,2015
25,49424,76243,3561556,2015
26,44561,81229,2389588,2015
27,32980,57322,1942918,2015
28,22310,45508,903605,2015
29,44101,81283,2215637,2015
30,12052,21139,673524,2015
31,14468,27629,642369,2015
32,46715,86378,3357675,2015
33,15851,25717,1119097,2015
34,64439,114639,4904929,2015
35,21097,41410,1028528,2015
36,123949,194081,9280577,2015
37,96732,183169,5477905,2015
38,15060,27024,738567,2015
39,57867,105210,2865701,2015
40,30730,62297,1410301,2015
41,44650,76830,2289346,2015
42,73249,128417,4490608,2015
44,9970,16670,768514,2015
45,52710,99919,3106093,2015
46,9358,16940,518713,2015
47,62130,118230,3220955,2015
48,224302,446245,14003750,2015
49,24263,49892,1325354,2015
50,6813,10396,410220,2015
51,90039,166760,5391196,2015
53,78809,143550,4731451,2015
54,12771,23705,535482,2015
55,31000,54911,1626394,2015
56,9585,18277,774037,2015
1,44067,92183,2349190,2016
2,15019,30063,780577,2016
4,106659,205034,6870173,2016
5,29427,61281,1498746,2016
6,260471,453736,19792771,2016
8,109474,194813,7098303,2016
9,36244,64381,3358996,2016
