returns_out,indiv_out,agi_out,year,returns_in,indiv_in,agi_in,returns_stay,indiv_stay,agi_stay
23936,50517,1091700,2012,24256,50955,1088334,517231,1236568,27123376
23602,49380,1012769,2013,26268,56120,1582801,520985,1241679,29593948
22648,47207,1014590,2014,25028,53335,1282273,529688,1254566,30161059
17022,33194,909093,2015,18284,36633,953883,546985,1283315,32767635
21960,44831,1059312,2016,28594,60358,1746731,547833,1276657,33956812
28848,59853,1404845,2017,42113,91749,2716573,546694,1264586,35047753
23756,46929,1176478,2018,33561,69676,2289852,576277,1325045,38718655
23524,45250,1312194,2019,33752,68353,2544444,595101,1352020,43020893
25232,51021,1368063,2020,40529,87679,3423505,607251,1434583,45153796
28149,54080,1654906,2021,42291,86079,3812348,628287,1374275,50009113
30369,56538,2082612,2022,38927,76814,3780574,668593,1446676,63581717
