year,deaths,population,cruderate
1999,9579,1275674,750.9
2000,9563,1293953,739.1
2001,9753,1319962,738.9
2002,9923,1340372,740.3
2003,10380,1363380,761.3
2004,10028,1391802,720.5
2005,10556,1428241,739.1
2006,10613,1468669,722.6
2007,10822,1505105,719
2008,10962,1534320,714.5
2009,11098,1554439,714
2010,11429,1567582,729.1
2011,12027,1584985,758.8
2012,11998,1595728,751.9
2013,12434,1612136,771.3
2014,12613,1634464,771.7
2015,13026,1654930,787.1
2016,13366,1683140,794.1
2017,14011,1716943,816
2018,14261,1754208,813
2019,14430,1787065,807.5
2020,16402,1826913,897.8
2021,18346,1900923,965.1
2022,17162,1939033,885.1
2023,16474,1939033,849.6
2024,10956,1939033,565
