"Label (Grouping)","Idaho!!Total!!Estimate","Idaho!!Total!!Margin of Error","Idaho!!Male!!Estimate","Idaho!!Male!!Margin of Error","Idaho!!Female!!Estimate","Idaho!!Female!!Margin of Error"
"Total population","1,526,797","*****","764,429","±734","762,368","±734"
"AGE","","","","","",""
"    Under 5 years","7.8%","±0.1","8.0%","±0.1","7.6%","±0.1"
"    5 to 9 years","7.6%","±0.1","7.6%","±0.1","7.6%","±0.1"
"    10 to 14 years","7.5%","±0.1","7.9%","±0.1","7.2%","±0.1"
"    15 to 19 years","7.6%","±0.1","7.7%","±0.1","7.4%","±0.1"
"    20 to 24 years","7.1%","±0.1","7.3%","±0.1","7.0%","±0.1"
"    25 to 29 years","6.8%","±0.1","7.0%","±0.1","6.7%","±0.1"
"    30 to 34 years","6.3%","±0.1","6.5%","±0.1","6.2%","±0.1"
"    35 to 39 years","6.3%","±0.1","6.4%","±0.2","6.2%","±0.1"
"    40 to 44 years","6.4%","±0.1","6.4%","±0.1","6.3%","±0.2"
"    45 to 49 years","6.9%","±0.1","6.8%","±0.1","6.9%","±0.1"
"    50 to 54 years","6.7%","±0.1","6.6%","±0.1","6.8%","±0.1"
"    55 to 59 years","6.0%","±0.1","5.9%","±0.1","6.1%","±0.1"
"    60 to 64 years","5.0%","±0.1","5.0%","±0.1","5.0%","±0.1"
"    65 to 69 years","3.8%","±0.1","3.7%","±0.1","3.9%","±0.1"
"    70 to 74 years","2.8%","±0.1","2.8%","±0.1","2.9%","±0.1"
"    75 to 79 years","2.2%","±0.1","1.9%","±0.1","2.4%","±0.1"
"    80 to 84 years","1.7%","±0.1","1.5%","±0.1","1.9%","±0.1"
"    85 years and over","1.5%","±0.1","1.1%","±0.1","2.0%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.1%","±0.1","15.4%","±0.1","14.7%","±0.1"
"    15 to 17 years","4.6%","±0.1","4.7%","±0.1","4.4%","±0.1"
"    18 to 24 years","10.1%","±0.1","10.3%","±0.1","10.0%","±0.1"
"    15 to 44 years","40.5%","±0.1","41.2%","±0.1","39.8%","±0.1"
"    16 years and over","75.6%","±0.1","75.0%","±0.1","76.1%","±0.1"
"    18 years and over","72.5%","±0.1","71.8%","±0.1","73.2%","±0.1"
"    60 years and over","17.0%","±0.1","16.0%","±0.1","18.0%","±0.1"
"    62 years and over","14.7%","±0.1","13.7%","±0.1","15.7%","±0.1"
"    65 years and over","12.0%","±0.1","11.0%","±0.1","13.0%","±0.1"
"    75 years and over","5.4%","±0.1","4.5%","±0.1","6.3%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","34.4","±0.1","33.5","±0.2","35.3","±0.1"
"    Sex ratio (males per 100 females)","100.3","±0.2","(X)","(X)","(X)","(X)"
"    Age dependency ratio","65.1","±0.1","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","19.8","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","45.3","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.7%","(X)","(X)","(X)","(X)","(X)"
