"Label (Grouping)","Idaho!!Total!!Estimate","Idaho!!Total!!Margin of Error","Idaho!!Percent!!Estimate","Idaho!!Percent!!Margin of Error","Idaho!!Male!!Estimate","Idaho!!Male!!Margin of Error","Idaho!!Percent Male!!Estimate","Idaho!!Percent Male!!Margin of Error","Idaho!!Female!!Estimate","Idaho!!Female!!Margin of Error","Idaho!!Percent Female!!Estimate","Idaho!!Percent Female!!Margin of Error"
"Total population","1,939,033","*****","(X)","(X)","976,925","±2,900","(X)","(X)","962,108","±2,900","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","111,816","±1,274","5.8%","±0.1","57,072","±1,358","5.8%","±0.1","54,744","±1,385","5.7%","±0.1"
"        5 to 9 years","127,781","±4,429","6.6%","±0.2","63,418","±2,773","6.5%","±0.3","64,363","±2,993","6.7%","±0.3"
"        10 to 14 years","139,762","±4,051","7.2%","±0.2","71,966","±2,620","7.4%","±0.3","67,796","±3,156","7.0%","±0.3"
"        15 to 19 years","138,308","±4,019","7.1%","±0.2","72,544","±2,757","7.4%","±0.3","65,764","±2,846","6.8%","±0.3"
"        20 to 24 years","141,188","±3,869","7.3%","±0.2","72,973","±2,468","7.5%","±0.3","68,215","±2,574","7.1%","±0.3"
"        25 to 29 years","122,506","±2,652","6.3%","±0.1","62,973","±1,802","6.4%","±0.2","59,533","±1,823","6.2%","±0.2"
"        30 to 34 years","127,837","±2,297","6.6%","±0.1","63,770","±1,479","6.5%","±0.2","64,067","±1,702","6.7%","±0.2"
"        35 to 39 years","120,792","±4,693","6.2%","±0.2","62,901","±3,176","6.4%","±0.3","57,891","±3,025","6.0%","±0.3"
"        40 to 44 years","135,311","±4,364","7.0%","±0.2","69,115","±3,219","7.1%","±0.3","66,196","±2,718","6.9%","±0.3"
"        45 to 49 years","108,891","±1,783","5.6%","±0.1","55,702","±1,347","5.7%","±0.1","53,189","±1,248","5.5%","±0.1"
"        50 to 54 years","110,767","±1,810","5.7%","±0.1","57,190","±1,500","5.9%","±0.2","53,577","±1,365","5.6%","±0.1"
"        55 to 59 years","108,296","±4,584","5.6%","±0.2","55,121","±3,061","5.6%","±0.3","53,175","±3,036","5.5%","±0.3"
"        60 to 64 years","116,248","±4,668","6.0%","±0.2","56,698","±2,910","5.8%","±0.3","59,550","±3,171","6.2%","±0.3"
"        65 to 69 years","109,205","±3,830","5.6%","±0.2","52,324","±2,445","5.4%","±0.2","56,881","±2,294","5.9%","±0.2"
"        70 to 74 years","90,999","±3,701","4.7%","±0.2","44,968","±2,318","4.6%","±0.2","46,031","±2,420","4.8%","±0.3"
"        75 to 79 years","62,124","±2,743","3.2%","±0.1","28,432","±1,626","2.9%","±0.2","33,692","±2,213","3.5%","±0.2"
"        80 to 84 years","36,762","±2,352","1.9%","±0.1","17,735","±1,568","1.8%","±0.2","19,027","±1,621","2.0%","±0.2"
"        85 years and over","30,440","±2,213","1.6%","±0.1","12,023","±1,315","1.2%","±0.1","18,417","±1,812","1.9%","±0.2"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","267,543","±2,283","13.8%","±0.1","135,384","±1,644","13.9%","±0.2","132,159","±2,007","13.7%","±0.2"
"        15 to 17 years","85,261","±1,493","4.4%","±0.1","45,726","±1,658","4.7%","±0.2","39,535","±1,167","4.1%","±0.1"
"        Under 18 years","464,620","±1,963","24.0%","±0.1","238,182","±2,807","24.4%","±0.2","226,438","±2,406","23.5%","±0.2"
"        18 to 24 years","194,235","±3,586","10.0%","±0.2","99,791","±2,049","10.2%","±0.2","94,444","±2,422","9.8%","±0.3"
"        15 to 44 years","785,942","±3,409","40.5%","±0.2","404,276","±2,623","41.4%","±0.3","381,666","±2,366","39.7%","±0.2"
"        16 years and over","1,530,729","±3,002","78.9%","±0.2","770,505","±2,709","78.9%","±0.3","760,224","±2,489","79.0%","±0.2"
"        18 years and over","1,474,413","±1,963","76.0%","±0.1","738,743","±1,943","75.6%","±0.2","735,670","±1,712","76.5%","±0.2"
"        21 years and over","1,393,829","±4,627","71.9%","±0.2","697,000","±3,406","71.3%","±0.4","696,829","±3,364","72.4%","±0.4"
"        60 years and over","445,778","±4,786","23.0%","±0.2","212,180","±2,871","21.7%","±0.3","233,598","±3,187","24.3%","±0.3"
"        62 years and over","399,602","±4,515","20.6%","±0.2","187,921","±2,483","19.2%","±0.3","211,681","±3,065","22.0%","±0.3"
"        65 years and over","329,530","±1,671","17.0%","±0.1","155,482","±1,145","15.9%","±0.1","174,048","±1,172","18.1%","±0.1"
"        75 years and over","129,326","±1,094","6.7%","±0.1","58,190","±704","6.0%","±0.1","71,136","±816","7.4%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","37.5","±0.2","(X)","(X)","36.9","±0.3","(X)","(X)","38.1","±0.3","(X)","(X)"
"        Sex ratio (males per 100 females)","101.5","±0.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","69.4","±0.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","28.8","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","40.6","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
