"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	134	19493	687.4
	"< 1 year"	"1"	"2000"	"2000"	153	19700	776.6
	"< 1 year"	"1"	"2001"	"2001"	129	20753	621.6
	"< 1 year"	"1"	"2002"	"2002"	128	20815	614.9
	"< 1 year"	"1"	"2003"	"2003"	138	21164	652.1
	"< 1 year"	"1"	"2004"	"2004"	139	22278	623.9
	"< 1 year"	"1"	"2005"	"2005"	141	22898	615.8
	"< 1 year"	"1"	"2006"	"2006"	165	23746	694.9
	"< 1 year"	"1"	"2007"	"2007"	169	24821	680.9
	"< 1 year"	"1"	"2008"	"2008"	149	24737	602.3
	"< 1 year"	"1"	"2009"	"2009"	129	23793	542.2
	"< 1 year"	"1"	"2010"	"2010"	112	23610	474.4
	"< 1 year"	"1"	"2011"	"2011"	112	22761	492.1
	"< 1 year"	"1"	"2012"	"2012"	123	22190	554.3
	"< 1 year"	"1"	"2013"	"2013"	126	22089	570.4
	"< 1 year"	"1"	"2014"	"2014"	125	22805	548.1
	"< 1 year"	"1"	"2015"	"2015"	106	22649	468.0
	"< 1 year"	"1"	"2016"	"2016"	137	22986	596.0
	"< 1 year"	"1"	"2017"	"2017"	102	22911	445.2
	"< 1 year"	"1"	"2018"	"2018"	109	22348	487.7
	"< 1 year"	"1"	"2019"	"2019"	97	22106	438.8
	"< 1 year"	"1"	"2020 "	"2020"	109	21547	505.9
	"1-4 years"	"1-4"	"1999"	"1999"	29	76693	37.8
	"1-4 years"	"1-4"	"2000"	"2000"	19	77943	Unreliable
	"1-4 years"	"1-4"	"2001"	"2001"	27	79129	34.1
	"1-4 years"	"1-4"	"2002"	"2002"	29	80939	35.8
	"1-4 years"	"1-4"	"2003"	"2003"	31	83144	37.3
	"1-4 years"	"1-4"	"2004"	"2004"	37	84961	43.5
	"1-4 years"	"1-4"	"2005"	"2005"	32	88138	36.3
	"1-4 years"	"1-4"	"2006"	"2006"	37	90953	40.7
	"1-4 years"	"1-4"	"2007"	"2007"	31	93947	33.0
	"1-4 years"	"1-4"	"2008"	"2008"	23	96835	23.8
	"1-4 years"	"1-4"	"2009"	"2009"	21	98036	21.4
	"1-4 years"	"1-4"	"2010"	"2010"	32	98162	32.6
	"1-4 years"	"1-4"	"2011"	"2011"	30	96575	31.1
	"1-4 years"	"1-4"	"2012"	"2012"	13	93782	Unreliable
	"1-4 years"	"1-4"	"2013"	"2013"	24	91398	26.3
	"1-4 years"	"1-4"	"2014"	"2014"	20	91027	22.0
	"1-4 years"	"1-4"	"2015"	"2015"	16	90274	Unreliable
	"1-4 years"	"1-4"	"2016"	"2016"	25	92303	27.1
	"1-4 years"	"1-4"	"2017"	"2017"	25	94126	26.6
	"1-4 years"	"1-4"	"2018"	"2018"	15	93991	Unreliable
	"1-4 years"	"1-4"	"2019"	"2019"	21	94094	22.3
	"1-4 years"	"1-4"	"2020 "	"2020"	19	92301	Unreliable
	"5-9 years"	"5-9"	"1999"	"1999"	24	99729	24.1
	"5-9 years"	"5-9"	"2000"	"2000"	22	100756	21.8
	"5-9 years"	"5-9"	"2001"	"2001"	15	100523	Unreliable
	"5-9 years"	"5-9"	"2002"	"2002"	15	100876	Unreliable
	"5-9 years"	"5-9"	"2003"	"2003"	14	101115	Unreliable
	"5-9 years"	"5-9"	"2004"	"2004"	15	102760	Unreliable
	"5-9 years"	"5-9"	"2005"	"2005"	15	106074	Unreliable
	"5-9 years"	"5-9"	"2006"	"2006"	18	109864	Unreliable
	"5-9 years"	"5-9"	"2007"	"2007"	11	113374	Unreliable
	"5-9 years"	"5-9"	"2008"	"2008"	16	117013	Unreliable
	"5-9 years"	"5-9"	"2009"	"2009"	15	119586	Unreliable
	"5-9 years"	"5-9"	"2010"	"2010"	14	121195	Unreliable
	"5-9 years"	"5-9"	"2011"	"2011"	14	121221	Unreliable
	"5-9 years"	"5-9"	"2012"	"2012"	14	122203	Unreliable
	"5-9 years"	"5-9"	"2013"	"2013"	16	123137	Unreliable
	"5-9 years"	"5-9"	"2014"	"2014"	19	123753	Unreliable
	"5-9 years"	"5-9"	"2016"	"2016"	19	122679	Unreliable
	"5-9 years"	"5-9"	"2017"	"2017"	14	122937	Unreliable
	"5-9 years"	"5-9"	"2018"	"2018"	11	122965	Unreliable
	"5-9 years"	"5-9"	"2019"	"2019"	33	123317	26.8
	"5-9 years"	"5-9"	"2020 "	"2020"	14	125055	Unreliable
	"10-14 years"	"10-14"	"1999"	"1999"	33	103979	31.7
	"10-14 years"	"10-14"	"2000"	"2000"	22	104608	21.0
	"10-14 years"	"10-14"	"2001"	"2001"	30	106539	28.2
	"10-14 years"	"10-14"	"2002"	"2002"	21	107847	19.5
	"10-14 years"	"10-14"	"2003"	"2003"	29	108782	26.7
	"10-14 years"	"10-14"	"2004"	"2004"	24	109000	22.0
	"10-14 years"	"10-14"	"2005"	"2005"	18	109718	Unreliable
	"10-14 years"	"10-14"	"2006"	"2006"	32	110946	28.8
	"10-14 years"	"10-14"	"2007"	"2007"	27	112826	23.9
	"10-14 years"	"10-14"	"2008"	"2008"	23	113774	20.2
	"10-14 years"	"10-14"	"2009"	"2009"	21	115442	18.2
	"10-14 years"	"10-14"	"2010"	"2010"	16	116955	Unreliable
	"10-14 years"	"10-14"	"2011"	"2011"	14	118489	Unreliable
	"10-14 years"	"10-14"	"2012"	"2012"	19	119227	Unreliable
	"10-14 years"	"10-14"	"2013"	"2013"	16	121179	Unreliable
	"10-14 years"	"10-14"	"2014"	"2014"	32	122486	26.1
	"10-14 years"	"10-14"	"2015"	"2015"	25	123763	20.2
	"10-14 years"	"10-14"	"2016"	"2016"	30	125126	24.0
	"10-14 years"	"10-14"	"2017"	"2017"	29	128315	22.6
	"10-14 years"	"10-14"	"2018"	"2018"	26	131036	19.8
	"10-14 years"	"10-14"	"2019"	"2019"	26	131471	19.8
	"10-14 years"	"10-14"	"2020 "	"2020"	22	132772	16.6
	"15-19 years"	"15-19"	"1999"	"1999"	96	111587	86.0
	"15-19 years"	"15-19"	"2000"	"2000"	70	110858	63.1
	"15-19 years"	"15-19"	"2001"	"2001"	97	112006	86.6
	"15-19 years"	"15-19"	"2002"	"2002"	81	111048	72.9
	"15-19 years"	"15-19"	"2003"	"2003"	78	110272	70.7
	"15-19 years"	"15-19"	"2004"	"2004"	74	110861	66.8
	"15-19 years"	"15-19"	"2005"	"2005"	61	112402	54.3
	"15-19 years"	"15-19"	"2006"	"2006"	74	113920	65.0
	"15-19 years"	"15-19"	"2007"	"2007"	85	115488	73.6
	"15-19 years"	"15-19"	"2008"	"2008"	78	116463	67.0
	"15-19 years"	"15-19"	"2009"	"2009"	57	115965	49.2
	"15-19 years"	"15-19"	"2010"	"2010"	65	115359	56.3
	"15-19 years"	"15-19"	"2011"	"2011"	87	116117	74.9
	"15-19 years"	"15-19"	"2012"	"2012"	69	113782	60.6
	"15-19 years"	"15-19"	"2013"	"2013"	53	113634	46.6
	"15-19 years"	"15-19"	"2014"	"2014"	52	114723	45.3
	"15-19 years"	"15-19"	"2015"	"2015"	64	117177	54.6
	"15-19 years"	"15-19"	"2016"	"2016"	63	118791	53.0
	"15-19 years"	"15-19"	"2017"	"2017"	70	121560	57.6
	"15-19 years"	"15-19"	"2018"	"2018"	87	124506	69.9
	"15-19 years"	"15-19"	"2019"	"2019"	58	125185	46.3
	"15-19 years"	"15-19"	"2020 "	"2020"	87	127139	68.4
	"20-24 years"	"20-24"	"1999"	"1999"	80	92437	86.5
	"20-24 years"	"20-24"	"2000"	"2000"	60	93994	63.8
	"20-24 years"	"20-24"	"2001"	"2001"	94	98407	95.5
	"20-24 years"	"20-24"	"2002"	"2002"	99	101176	97.8
	"20-24 years"	"20-24"	"2003"	"2003"	93	105120	88.5
	"20-24 years"	"20-24"	"2004"	"2004"	92	107204	85.8
	"20-24 years"	"20-24"	"2005"	"2005"	96	108543	88.4
	"20-24 years"	"20-24"	"2006"	"2006"	91	109168	83.4
	"20-24 years"	"20-24"	"2007"	"2007"	105	108915	96.4
	"20-24 years"	"20-24"	"2008"	"2008"	83	108852	76.3
	"20-24 years"	"20-24"	"2009"	"2009"	90	108429	83.0
	"20-24 years"	"20-24"	"2010"	"2010"	98	108209	90.6
	"20-24 years"	"20-24"	"2011"	"2011"	91	109830	82.9
	"20-24 years"	"20-24"	"2012"	"2012"	94	112316	83.7
	"20-24 years"	"20-24"	"2013"	"2013"	105	112021	93.7
	"20-24 years"	"20-24"	"2014"	"2014"	101	112325	89.9
	"20-24 years"	"20-24"	"2015"	"2015"	108	111353	97.0
	"20-24 years"	"20-24"	"2016"	"2016"	92	111851	82.3
