"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"2018"	"2018"	109	22348	487.7
	"< 1 year"	"1"	"2019"	"2019"	97	22106	438.8
	"< 1 year"	"1"	"2020"	"2020"	109	21547	505.9
	"< 1 year"	"1"	"2021"	"2021"	117	21203	551.8
	"< 1 year"	"1"	"2022"	"2022"	117	22368	523.1
	"< 1 year"	"1"	"2023 (provisional)"	"2023"	100	22368	447.1
	"< 1 year"	"1"	"2024 (provisional and partial)"	"2024"	78	22368	348.7
"Total"	"< 1 year"	"1"			727	154308	471.1
	"1-4 years"	"1-4"	"2018"	"2018"	15	93991	Unreliable
	"1-4 years"	"1-4"	"2019"	"2019"	21	94094	22.3
	"1-4 years"	"1-4"	"2020"	"2020"	19	92301	Unreliable
	"1-4 years"	"1-4"	"2021"	"2021"	28	93121	30.1
	"1-4 years"	"1-4"	"2022"	"2022"	16	90915	Unreliable
	"1-4 years"	"1-4"	"2023 (provisional)"	"2023"	25	90915	27.5
	"1-4 years"	"1-4"	"2024 (provisional and partial)"	"2024"	12	90915	Unreliable
"Total"	"1-4 years"	"1-4"			136	646252	21.0
	"5-9 years"	"5-9"	"2018"	"2018"	11	122965	Unreliable
	"5-9 years"	"5-9"	"2019"	"2019"	33	123317	26.8
	"5-9 years"	"5-9"	"2020"	"2020"	14	125055	Unreliable
	"5-9 years"	"5-9"	"2022"	"2022"	12	127992	Unreliable
	"5-9 years"	"5-9"	"2023 (provisional)"	"2023"	15	127992	Unreliable
"Total"	"5-9 years"	"5-9"			101	884742	11.4
	"10-14 years"	"10-14"	"2018"	"2018"	26	131036	19.8
	"10-14 years"	"10-14"	"2019"	"2019"	26	131471	19.8
	"10-14 years"	"10-14"	"2020"	"2020"	22	132772	16.6
	"10-14 years"	"10-14"	"2021"	"2021"	29	140519	20.6
	"10-14 years"	"10-14"	"2022"	"2022"	33	136743	24.1
	"10-14 years"	"10-14"	"2023 (provisional)"	"2023"	27	136743	19.7
	"10-14 years"	"10-14"	"2024 (provisional and partial)"	"2024"	23	136743	16.8
"Total"	"10-14 years"	"10-14"			186	946027	19.7
	"15-19 years"	"15-19"	"2018"	"2018"	87	124506	69.9
	"15-19 years"	"15-19"	"2019"	"2019"	58	125185	46.3
	"15-19 years"	"15-19"	"2020"	"2020"	87	127139	68.4
	"15-19 years"	"15-19"	"2021"	"2021"	83	134537	61.7
	"15-19 years"	"15-19"	"2022"	"2022"	71	146646	48.4
	"15-19 years"	"15-19"	"2023 (provisional)"	"2023"	89	146646	60.7
	"15-19 years"	"15-19"	"2024 (provisional and partial)"	"2024"	53	146646	36.1
"Total"	"15-19 years"	"15-19"			528	951305	55.5
	"20-24 years"	"20-24"	"2018"	"2018"	144	114894	125.3
	"20-24 years"	"20-24"	"2019"	"2019"	108	116434	92.8
	"20-24 years"	"20-24"	"2020"	"2020"	110	119974	91.7
	"20-24 years"	"20-24"	"2021"	"2021"	140	123806	113.1
	"20-24 years"	"20-24"	"2022"	"2022"	124	134671	92.1
	"20-24 years"	"20-24"	"2023 (provisional)"	"2023"	134	134671	99.5
	"20-24 years"	"20-24"	"2024 (provisional and partial)"	"2024"	91	134671	67.6
"Total"	"20-24 years"	"20-24"			851	879121	96.8
	"25-29 years"	"25-29"	"2018"	"2018"	122	119176	102.4
	"25-29 years"	"25-29"	"2019"	"2019"	109	121631	89.6
	"25-29 years"	"25-29"	"2020"	"2020"	127	122723	103.5
	"25-29 years"	"25-29"	"2021"	"2021"	175	123798	141.4
	"25-29 years"	"25-29"	"2022"	"2022"	159	124278	127.9
	"25-29 years"	"25-29"	"2023 (provisional)"	"2023"	137	124278	110.2
	"25-29 years"	"25-29"	"2024 (provisional and partial)"	"2024"	95	124278	76.4
"Total"	"25-29 years"	"25-29"			924	860162	107.4
	"30-34 years"	"30-34"	"2018"	"2018"	118	112206	105.2
	"30-34 years"	"30-34"	"2019"	"2019"	117	114859	101.9
	"30-34 years"	"30-34"	"2020"	"2020"	165	118855	138.8
	"30-34 years"	"30-34"	"2021"	"2021"	205	125066	163.9
	"30-34 years"	"30-34"	"2022"	"2022"	195	126925	153.6
	"30-34 years"	"30-34"	"2023 (provisional)"	"2023"	194	126925	152.8
	"30-34 years"	"30-34"	"2024 (provisional and partial)"	"2024"	119	126925	93.8
"Total"	"30-34 years"	"30-34"			1113	851761	130.7
	"35-39 years"	"35-39"	"2018"	"2018"	186	115383	161.2
	"35-39 years"	"35-39"	"2019"	"2019"	170	118233	143.8
	"35-39 years"	"35-39"	"2020"	"2020"	219	120252	182.1
	"35-39 years"	"35-39"	"2021"	"2021"	257	126336	203.4
	"35-39 years"	"35-39"	"2022"	"2022"	212	126290	167.9
	"35-39 years"	"35-39"	"2023 (provisional)"	"2023"	228	126290	180.5
	"35-39 years"	"35-39"	"2024 (provisional and partial)"	"2024"	148	126290	117.2
"Total"	"35-39 years"	"35-39"			1420	859074	165.3
	"40-44 years"	"40-44"	"2018"	"2018"	186	104646	177.7
	"40-44 years"	"40-44"	"2019"	"2019"	202	108939	185.4
	"40-44 years"	"40-44"	"2020"	"2020"	237	113978	207.9
	"40-44 years"	"40-44"	"2021"	"2021"	312	123050	253.6
	"40-44 years"	"40-44"	"2022"	"2022"	271	126074	215.0
	"40-44 years"	"40-44"	"2023 (provisional)"	"2023"	310	126074	245.9
	"40-44 years"	"40-44"	"2024 (provisional and partial)"	"2024"	201	126074	159.4
"Total"	"40-44 years"	"40-44"			1719	828835	207.4
	"45-49 years"	"45-49"	"2018"	"2018"	285	101672	280.3
	"45-49 years"	"45-49"	"2019"	"2019"	273	102792	265.6
	"45-49 years"	"45-49"	"2020"	"2020"	325	104222	311.8
	"45-49 years"	"45-49"	"2021"	"2021"	394	108152	364.3
	"45-49 years"	"45-49"	"2022"	"2022"	355	110271	321.9
	"45-49 years"	"45-49"	"2023 (provisional)"	"2023"	319	110271	289.3
	"45-49 years"	"45-49"	"2024 (provisional and partial)"	"2024"	205	110271	185.9
"Total"	"45-49 years"	"45-49"			2156	747651	288.4
	"50-54 years"	"50-54"	"2018"	"2018"	453	98253	461.1
	"50-54 years"	"50-54"	"2019"	"2019"	392	98974	396.1
	"50-54 years"	"50-54"	"2020"	"2020"	447	101277	441.4
	"50-54 years"	"50-54"	"2021"	"2021"	593	107832	549.9
	"50-54 years"	"50-54"	"2022"	"2022"	492	109309	450.1
	"50-54 years"	"50-54"	"2023 (provisional)"	"2023"	409	109309	374.2
	"50-54 years"	"50-54"	"2024 (provisional and partial)"	"2024"	317	109309	290.0
"Total"	"50-54 years"	"50-54"			3103	734263	422.6
	"55-59 years"	"55-59"	"2018"	"2018"	641	108608	590.2
	"55-59 years"	"55-59"	"2019"	"2019"	676	109541	617.1
	"55-59 years"	"55-59"	"2020"	"2020"	747	109050	685.0
	"55-59 years"	"55-59"	"2021"	"2021"	889	111302	798.7
	"55-59 years"	"55-59"	"2022"	"2022"	742	108700	682.6
	"55-59 years"	"55-59"	"2023 (provisional)"	"2023"	699	108700	643.1
	"55-59 years"	"55-59"	"2024 (provisional and partial)"	"2024"	450	108700	414.0
"Total"	"55-59 years"	"55-59"			4844	764601	633.5
	"60-64 years "	"60-64"	"2018"	"2018"	1026	106242	965.7
	"60-64 years "	"60-64"	"2019"	"2019"	972	108819	893.2
	"60-64 years "	"60-64"	"2020"	"2020"	1121	111774	1002.9
	"60-64 years "	"60-64"	"2021"	"2021"	1389	117316	1184.0
	"60-64 years "	"60-64"	"2022"	"2022"	1158	117399	986.4
	"60-64 years "	"60-64"	"2023 (provisional)"	"2023"	1022	117399	870.5
	"60-64 years "	"60-64"	"2024 (provisional and partial)"	"2024"	813	117399	692.5
"Total"	"60-64 years "	"60-64"			7501	796348	941.9
	"65-69 years"	"65-69"	"2018"	"2018"	1327	94545	1403.6
	"65-69 years"	"65-69"	"2019"	"2019"	1228	97884	1254.5
	"65-69 years"	"65-69"	"2020"	"2020"	1355	102392	1323.3
	"65-69 years"	"65-69"	"2021"	"2021"	1718	107836	1593.2
	"65-69 years"	"65-69"	"2022"	"2022"	1518	109829	1382.1
	"65-69 years"	"65-69"	"2023 (provisional)"	"2023"	1500	109829	1365.8
	"65-69 years"	"65-69"	"2024 (provisional and partial)"	"2024"	1045	109829	951.5
"Total"	"65-69 years"	"65-69"			9691	732144	1323.6
	"70-74 years"	"70-74"	"2018"	"2018"	1490	73696	2021.8
	"70-74 years"	"70-74"	"2019"	"2019"	1547	77982	1983.8
	"70-74 years"	"70-74"	"2020"	"2020"	1895	83550	2268.1
	"70-74 years"	"70-74"	"2021"	"2021"	2172	89510	2426.5
	"70-74 years"	"70-74"	"2022"	"2022"	1953	89656	2178.3
	"70-74 years"	"70-74"	"2023 (provisional)"	"2023"	1859	89656	2073.5
	"70-74 years"	"70-74"	"2024 (provisional and partial)"	"2024"	1396	89656	1557.1
"Total"	"70-74 years"	"70-74"			12312	593706	2073.8
	"75-79 years"	"75-79"	"2018"	"2018"	1705	50168	3398.6
	"75-79 years"	"75-79"	"2019"	"2019"	1881	52941	3553.0
	"75-79 years"	"75-79"	"2020"	"2020"	2110	55797	3781.6
	"75-79 years"	"75-79"	"2021"	"2021"	2303	56494	4076.5
	"75-79 years"	"75-79"	"2022"	"2022"	2346	62937	3727.5
	"75-79 years"	"75-79"	"2023 (provisional)"	"2023"	2221	62937	3528.9
	"75-79 years"	"75-79"	"2024 (provisional and partial)"	"2024"	1733	62937	2753.5
