SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,NPOPCHG_2000,NPOPCHG_2001,NPOPCHG_2002,NPOPCHG_2003,NPOPCHG_2004,NPOPCHG_2005,NPOPCHG_2006,NPOPCHG_2007,NPOPCHG_2008,NPOPCHG_2009,PPOPCHG_2000,PPOPCHG_2001,PPOPCHG_2002,PPOPCHG_2003,PPOPCHG_2004,PPOPCHG_2005,PPOPCHG_2006,PPOPCHG_2007,PPOPCHG_2008,PPOPCHG_2009,SRANK_ESTBASE2000,SRANK_POPEST2000,SRANK_POPEST2001,SRANK_POPEST2002,SRANK_POPEST2003,SRANK_POPEST2004,SRANK_POPEST2005,SRANK_POPEST2006,SRANK_POPEST2007,SRANK_POPEST2008,SRANK_POPEST2009,SRANK_NPCHG2000,SRANK_NPCHG2001,SRANK_NPCHG2002,SRANK_NPCHG2003,SRANK_NPCHG2004,SRANK_NPCHG2005,SRANK_NPCHG2006,SRANK_NPCHG2007,SRANK_NPCHG2008,SRANK_NPCHG2009,SRANK_PPCHG2000,SRANK_PPCHG2001,SRANK_PPCHG2002,SRANK_PPCHG2003,SRANK_PPCHG2004,SRANK_PPCHG2005,SRANK_PPCHG2006,SRANK_PPCHG2007,SRANK_PPCHG2008,SRANK_PPCHG2009
040,4,8,16,000,Idaho,Idaho,1293955,1299551,1321170,1342149,1364109,1391718,1425862,1464413,1499245,1527506,1545801,5596,21619,20979,21960,27609,34144,38551,34832,28261,18295,0.4324725358,1.6635745731,1.5879107155,1.6361819738,2.023958496,2.4533705823,2.7036978333,2.3785639707,1.8850154578,1.1977039697,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
050,4,8,16,001,Idaho,Ada County,300906,303174,313524,320917,326207,333270,346612,360869,372467,379350,384656,2268,10350,7393,5290,7063,13342,14257,11598,6883,5306,0.7537237543,3.4138811376,2.3580331968,1.6484013,2.1651895882,4.0033606385,4.1132447809,3.2139086483,1.8479489458,1.3987083169,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,5,4,6,13,10,7,4,5,13,11
050,4,8,16,003,Idaho,Adams County,3476,3458,3427,3438,3447,3461,3524,3445,3548,3562,3520,-18,-31,11,9,14,63,-79,103,14,-42,-0.517836594,-0.896471949,0.3209804494,0.2617801047,0.4061502756,1.8202831552,-2.241770715,2.9898403483,0.3945885006,-1.179112858,41,41,41,41,41,41,41,41,41,41,41,34,29,27,26,30,24,41,26,38,35,42,33,25,24,26,14,44,7,36,39
050,4,8,16,005,Idaho,Bannock County,75565,75671,76703,77213,77327,78184,78604,79524,80204,81267,82539,106,1032,510,114,857,420,920,680,1063,1272,0.1402765831,1.363798549,0.6649022854,0.1476435315,1.1082804195,0.5371943109,1.170423897,0.8550877722,1.3253703057,1.5652109712,5,5,5,5,5,5,5,5,5,5,5,7,4,8,20,7,9,7,8,8,5,21,10,18,25,20,27,22,27,20,8
050,4,8,16,007,Idaho,Bear Lake County,6411,6425,6365,6164,6133,6057,5936,5907,5856,5815,5774,14,-60,-201,-31,-76,-121,-29,-51,-41,-41,0.2183746685,-0.93385214,-3.157894737,-0.502920182,-1.239197782,-1.997688625,-0.488544474,-0.863382428,-0.700136612,-0.705073087,35,35,36,36,36,36,36,36,36,36,36,20,32,43,32,40,41,38,41,43,34,17,34,43,32,42,43,39,44,43,36
050,4,8,16,009,Idaho,Benewah County,9171,9193,8974,8922,8898,8907,9050,9254,9283,9383,9258,22,-219,-52,-24,9,143,204,29,100,-125,0.2398865991,-2.382247362,-0.579451749,-0.268997983,0.101146325,1.6054788369,2.2541436464,0.3133779987,1.0772379619,-1.332196526,28,28,28,28,28,28,28,28,28,28,29,18,40,35,31,31,21,20,32,24,41,16,39,34,30,31,16,12,34,23,40
050,4,8,16,011,Idaho,Bingham County,41735,41748,42033,42015,42403,42502,42909,43080,43459,44057,44668,13,285,-18,388,99,407,171,379,598,611,0.0311489158,0.6826674332,-0.042823496,0.9234797096,0.2334740466,0.9576019952,0.3985177935,0.8797585887,1.3760095722,1.3868397757,7,7,7,7,7,7,7,7,7,7,7,21,10,30,11,22,10,21,14,10,9,24,18,28,20,29,20,30,25,19,12
050,4,8,16,013,Idaho,Blaine County,18991,19123,19833,20338,20767,21097,21253,21515,21691,22086,22328,132,710,505,429,330,156,262,176,395,242,0.6950660839,3.712806568,2.5462612817,2.109351952,1.5890595657,0.7394416268,1.2327671388,0.8180339298,1.8210317643,1.0957167436,17,17,15,15,15,14,14,15,15,15,15,6,6,9,10,11,19,17,20,14,14,6,3,4,8,16,24,20,28,15,17
050,4,8,16,015,Idaho,Boise County,6668,6746,6821,6988,7159,7231,7249,7473,7605,7565,7445,78,75,167,171,72,18,224,132,-40,-120,1.1697660468,1.1117699377,2.4483213605,2.4470520893,1.0057270569,0.2489282257,3.0900813905,1.766358892,-0.525969757,-1.586252479,34,34,34,34,33,33,34,34,34,34,34,10,19,14,16,24,29,19,23,42,40,3,12,5,5,21,29,7,16,42,43
050,4,8,16,017,Idaho,Bonner County,36835,36999,37081,37784,38565,39070,39856,40472,41171,41486,41403,164,82,703,781,505,786,616,699,315,-83,0.4452287227,0.2216276116,1.8958496265,2.0670124921,1.3094775055,2.0117737394,1.5455640305,1.7271199842,0.7651016492,-0.200067493,9,9,8,8,8,8,8,8,8,8,8,5,17,7,7,9,7,9,7,15,38,8,24,10,9,18,13,18,17,27,32
050,4,8,16,019,Idaho,Bonneville County,82522,82867,83656,84643,86208,88696,90666,93497,96444,99254,101329,345,789,987,1565,2488,1970,2831,2947,2810,2075,0.4180703328,0.9521281089,1.1798316917,1.8489420271,2.8860430586,2.2210697213,3.1224494298,3.1519727906,2.9136078968,2.090595845,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,4,4,4,10,14,15,10,5,10,6,6,5,5
050,4,8,16,021,Idaho,Boundary County,9871,9908,9837,9876,10013,10230,10378,10617,10856,10937,10951,37,-71,39,137,217,148,239,239,81,14,0.3748353764,-0.716592652,0.3964623361,1.3872012961,2.1671826625,1.4467253177,2.302948545,2.2511067156,0.7461311717,0.1280058517,27,27,27,27,26,26,26,26,26,26,26,16,35,23,19,14,20,18,16,26,29,11,32,22,16,9,17,11,13,28,30
050,4,8,16,023,Idaho,Butte County,2899,2899,2848,2893,2816,2778,2781,2735,2780,2783,2764,0,-51,45,-77,-38,3,-46,45,3,-19,0,-1.75922732,1.5800561798,-2.661596958,-1.349431818,0.1079913607,-1.654081266,1.6453382084,0.1079136691,-0.682716493,42,42,42,42,42,42,42,42,42,42,42,25,31,21,39,38,30,40,30,39,33,25,37,13,43,43,30,43,18,39,35
050,4,8,16,025,Idaho,Camas County,991,978,1006,1027,1028,1017,1060,1061,1086,1106,1109,-13,28,21,1,-11,43,1,25,20,3,-1.311806256,2.8629856851,2.0874751491,0.0973709834,-1.070038911,4.2281219272,0.0943396226,2.356267672,1.8416206262,0.2712477396,44,44,43,43,43,43,43,43,43,43,43,31,25,26,28,35,27,36,33,37,30,44,5,7,27,40,5,35,11,14,28
050,4,8,16,027,Idaho,Canyon County,131443,133053,139042,144936,150979,156594,163234,171335,178795,184120,186615,1610,5989,5894,6043,5615,6640,8101,7460,5325,2495,1.2248655311,4.501213802,4.2390069188,4.1694265055,3.7190602667,4.2402646334,4.9628141196,4.3540432486,2.9782712045,1.3550945036,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,3,4,2,2,4,13
