SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,16,001,Idaho,Ada County,1,494961,249205,245756,26562,13541,13021,59339,30446,28893,28407,14556,13851,42871,22276,20595,394764,197927,196837,380653,190662,189991,204471,105017,99454,140321,71803,68518,122695,61906,60789,74766,34677,40089,26562,13541,13021,30741,15806,14935,35726,18258,17468,34304,17655,16649,29846,15559,14287,34067,17749,16318,35083,17703,17380,36754,18770,17984,34417,17581,16836,32464,16913,15551,30447,15673,14774,30574,15152,15422,29210,14168,15042,25809,12320,13489,20877,10057,10820,12952,6021,6931,7787,3467,4320,7341,2812,4529,37.9,37.2,38.6
050,16,001,Idaho,Ada County,2,498278,250846,247432,26521,13514,13007,59286,30419,28867,28600,14657,13943,43353,22512,20841,398077,199568,198509,383871,192256,191615,205939,105767,100172,141195,72270,68925,123427,62303,61124,75896,35171,40725,26521,13514,13007,30798,15829,14969,35697,18262,17435,34512,17747,16765,30232,15750,14482,34177,17834,16343,35307,17793,17514,36925,18878,18047,34786,17765,17021,32481,16903,15578,30807,15885,14922,30641,15194,15447,29498,14321,15177,26165,12468,13697,21221,10196,11025,13174,6133,7041,7920,3535,4385,7416,2839,4577,38.0,37.3,38.7
050,16,001,Idaho,Ada County,3,513025,258368,254657,26506,13506,13000,59554,30526,29028,29476,15106,14370,44986,23345,21641,412079,206718,205361,397489,199230,198259,212552,109208,103344,145606,74628,70978,126685,64094,62591,80212,37163,43049,26506,13506,13000,31335,16071,15264,35735,18326,17409,35398,18179,17219,31548,16401,15147,34911,18350,16561,36276,18280,17996,37723,19281,18442,36696,18717,17979,32735,16990,15745,32528,16842,15686,30784,15313,15471,30638,14949,15689,27327,12984,14343,22747,10862,11885,14140,6629,7511,8448,3779,4669,7550,2909,4641,38.3,37.6,39.0
050,16,001,Idaho,Ada County,4,519004,261750,257254,26136,13393,12743,58445,29920,28525,29546,15173,14373,45957,23958,21999,419512,210703,208809,404877,203264,201613,215046,110924,104122,146992,75671,71321,127901,64748,63153,84027,38887,45140,26136,13393,12743,31139,15944,15195,34755,17854,16901,35741,18418,17323,32313,16835,15478,35261,18633,16628,36350,18503,17847,37676,19212,18464,37705,19323,18382,33093,17085,16008,33157,17173,15984,30547,15244,15303,31104,15246,15858,28154,13397,14757,22904,10802,12102,16159,7643,8516,9078,4024,5054,7732,3021,4711,38.7,38.0,39.5
050,16,001,Idaho,Ada County,5,524673,264517,260156,25984,13366,12618,57237,29285,27952,29597,15217,14380,46930,24376,22554,426717,214233,212484,411855,206649,205206,217312,112255,105057,148064,76400,71664,128825,65163,63662,88036,40710,47326,25984,13366,12618,30819,15738,15081,33697,17285,16412,36018,18560,17458,33230,17295,15935,35866,19025,16841,36423,18710,17713,37302,18969,18333,38473,19696,18777,33931,17469,16462,33281,17113,16168,30413,15284,15129,31200,15297,15903,28784,13701,15083,23693,11085,12608,17470,8293,9177,10044,4441,5603,8045,3190,4855,39.1,38.3,39.9
050,16,003,Idaho,Adams County,1,4382,2305,2077,170,87,83,397,222,175,190,96,94,215,115,100,3720,1945,1775,3625,1900,1725,1148,617,531,785,427,358,1314,649,665,1311,709,602,170,87,83,204,119,85,235,124,111,207,106,101,156,84,72,185,98,87,192,109,83,195,100,95,213,120,93,212,111,101,229,110,119,361,173,188,512,255,257,501,266,235,362,206,156,228,130,98,131,69,62,89,38,51,54.9,54.3,55.4
050,16,003,Idaho,Adams County,2,4428,2328,2100,176,89,87,398,223,175,192,99,93,220,116,104,3758,1964,1794,3662,1917,1745,1169,630,539,802,438,364,1304,641,663,1336,722,614,176,89,87,202,115,87,241,131,110,208,107,101,159,85,74,190,104,86,195,110,85,196,100,96,221,124,97,215,112,103,224,106,118,357,171,186,508,252,256,515,274,241,372,211,161,228,130,98,130,67,63,91,40,51,54.7,54.1,55.3
050,16,003,Idaho,Adams County,3,4623,2430,2193,184,95,89,392,213,179,217,116,101,230,123,107,3937,2063,1874,3830,2006,1824,1232,671,561,846,464,382,1338,661,677,1416,758,658,184,95,89,197,103,94,256,142,114,227,119,108,159,88,71,201,110,91,200,107,93,208,115,93,237,132,105,243,128,115,246,119,127,357,176,181,492,238,254,532,281,251,427,242,185,229,125,104,122,58,64,106,52,54,54.0,53.0,54.9
050,16,003,Idaho,Adams County,4,4791,2506,2285,179,90,89,416,223,193,232,124,108,246,130,116,4076,2127,1949,3964,2069,1895,1325,717,608,905,496,409,1315,651,664,1498,792,706,179,90,89,215,112,103,259,144,115,252,129,123,168,92,76,196,105,91,220,120,100,228,121,107,261,150,111,242,121,121,276,141,135,320,164,156,477,225,252,561,294,267,438,244,194,264,140,124,120,55,65,115,59,56,53.4,52.6,54.2
050,16,003,Idaho,Adams County,5,4903,2566,2337,167,84,83,439,241,198,235,125,110,265,147,118,4182,2179,2003,4062,2116,1946,1378,739,639,933,497,436,1307,655,652,1557,817,740,167,84,83,215,106,109,279,165,114,264,140,124,181,102,79,182,93,89,237,129,108,242,129,113,272,146,126,250,131,119,278,145,133,333,168,165,446,211,235,564,291,273,461,255,206,280,147,133,137,64,73,115,60,55,53.2,52.2,54.1
