                 4/1/80   7/1/80   7/1/81   7/1/82   7/1/83   7/1/84   7/1/85   7/1/86   7/1/87   7/1/88   7/1/89   4/1/90
Total            943935   947983   962203   973729   981858   990841   994046   990226   985004   985669   994426  1006749
Under 5 years     93531    94146    96727    97546    97201    95330    92439    89102    85272    82328    81401    81549
5 to 9 years      82734    82993    83296    85894    88086    91217    93020    93787    92825    92064    90778    89829
10 to 14 years    79218    79631    81650    82522    82376    82395    82071    80662    81520    83532    87148    89873
15 to 19 years    87982    87631    84812    82075    79926    79051    78931    79553    79037    78902    79401    80735
20 to 24 years    86234    86285    86532    85653    84490    82748    79709    75002    70569    67375    65805    65807
25 to 29 years    82461    82742    83135    82883    82259    81588    80661    79515    77663    75531    73539    72072
30 to 34 years    72941    73687    77789    77988    79432    80790    81606    81362    80862    80325    80209    80874
35 to 39 years    57644    58049    59053    63727    65986    69092    72001    75371    75072    76348    77875    79513
40 to 44 years    46682    47050    48781    50591    53452    55805    57393    57702    61450    63279    66237    69379
45 to 49 years    40973    40989    41435    42220    43550    45067    46193    47097    48093    50422    52460    54010
50 to 54 years    40476    40620    41065    41085    40522    40621    40670    40484    40706    41822    43251    44343
55 to 59 years    41182    41119    40715    40382    40406    40365    40211    39968    39414    38702    38763    39206
60 to 64 years    38197    38451    39460    40171    40160    40467    40521    39477    38559    38432    38442    38658
65 to 69 years    33040    33217    33853    34664    35424    35798    36047    36582    37112    37215    37611    37905
70 to 74 years    25252    25555    26685    27612    28519    28962    29539    29897    30465    31139    31445    31689
75 to 79 years    16664    16870    17598    18395    19368    20192    20950    21680    22519    23328    24054    24530
80 to 84 years    10248    10369    10810    11257    11483    11858    12306    12860    13509    14324    15010    15513
85 years           8476     8579     8807     9064     9218     9495     9778    10125    10357    10601    10997    11264
Male             471155   473213   480283   485597   490006   494302   495680   493870   491019   490853   494966   500959
Under 5 years     48073    48381    49700    50093    49902    48927    47438    45706    43728    42199    41703    41777
5 to 9 years      42392    42537    42696    44059    45196    46811    47724    48131    47633    47259    46611    46134
10 to 14 years    40501    40712    41774    42244    42190    42230    42093    41365    41825    42862    44718    46104
15 to 19 years    44000    43841    42477    41138    40194    39804    39820    40230    40049    40025    40326    41051
20 to 24 years    43487    43551    43796    43342    43029    42268    40791    38584    36419    34801    34052    34126
25 to 29 years    41803    41953    42156    41966    41719    41346    40812    40243    39273    38093    37032    36227
30 to 34 years    37079    37457    39457    39448    40159    40777    41112    40954    40643    40266    40103    40340
35 to 39 years    29156    29354    29825    32141    33270    34771    36197    37900    37735    38324    39065    39861
40 to 44 years    23720    23910    24790    25696    27171    28359    29160    29345    31239    32163    33689    35323
45 to 49 years    20467    20487    20737    21159    21859    22632    23212    23688    24213    25404    26443    27238
50 to 54 years    20061    20145    20408    20458    20207    20290    20329    20269    20416    21006    21744    22302
55 to 59 years    19934    19895    19670    19501    19544    19566    19552    19469    19233    18900    18953    19172
60 to 64 years    18444    18570    19078    19436    19415    19553    19549    19008    18550    18507    18540    18682
65 to 69 years    16118    16191    16444    16684    17008    17120    17212    17455    17595    17544    17697    17802
70 to 74 years    11819    11967    12516    12934    13295    13463    13703    13860    14084    14323    14402    14468
75 to 79 years     7271     7362     7668     7981     8396     8729     9035     9422     9777    10138    10441    10631
80 to 84 years     3930     3979     4156     4328     4430     4618     4824     5035     5301     5670     5947     6146
85 years           2900     2921     2935     2989     3022     3038     3117     3206     3306     3369     3500     3575
Female           472780   474770   481920   488132   491852   496539   498366   496356   493985   494816   499460   505790
Under 5 years     45458    45765    47027    47453    47299    46403    45001    43396    41544    40129    39698    39772
5 to 9 years      40342    40456    40600    41835    42890    44406    45296    45656    45192    44805    44167    43695
10 to 14 years    38717    38919    39876    40278    40186    40165    39978    39297    39695    40670    42430    43769
15 to 19 years    43982    43790    42335    40937    39732    39247    39111    39323    38988    38877    39075    39684
20 to 24 years    42747    42734    42736    42311    41461    40480    38918    36418    34150    32574    31753    31681
25 to 29 years    40658    40789    40979    40917    40540    40242    39849    39272    38390    37438    36507    35845
30 to 34 years    35862    36230    38332    38540    39273    40013    40494    40408    40219    40059    40106    40534
35 to 39 years    28488    28695    29228    31586    32716    34321    35804    37471    37337    38024    38810    39652
40 to 44 years    22962    23140    23991    24895    26281    27446    28233    28357    30211    31116    32548    34056
45 to 49 years    20506    20502    20698    21061    21691    22435    22981    23409    23880    25018    26017    26772
50 to 54 years    20415    20475    20657    20627    20315    20331    20341    20215    20290    20816    21507    22041
55 to 59 years    21248    21224    21045    20881    20862    20799    20659    20499    20181    19802    19810    20034
60 to 64 years    19753    19881    20382    20735    20745    20914    20972    20469    20009    19925    19902    19976
65 to 69 years    16922    17026    17409    17980    18416    18678    18835    19127    19517    19671    19914    20103
70 to 74 years    13433    13588    14169    14678    15224    15499    15836    16037    16381    16816    17043    17221
75 to 79 years     9393     9508     9930    10414    10972    11463    11915    12258    12742    13190    13613    13899
80 to 84 years     6318     6390     6654     6929     7053     7240     7482     7825     8208     8654     9063     9367
85 years           5576     5658     5872     6075     6196     6457     6661     6919     7051     7232     7497     7689
