YEAR,MULTYEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STATEFIP,STRATA,GQ,PERNUM,PERWT,RELATE,RELATED,AGE,MIGRATE1,MIGRATE1D,MIGPLAC1
2021,,202101,419119,2.02101E+12,130,2.021E+12,16,80016,3,1,130,13,1301,50,2,24,16
2021,,202101,419121,2.02101E+12,85,2.021E+12,16,60016,3,1,85,13,1301,65,2,24,16
2021,,202101,419122,2.02101E+12,27,2.021E+12,16,30016,3,1,27,13,1301,21,2,23,16
2021,,202101,419124,2.02101E+12,65,2.021E+12,16,90016,4,1,65,12,1270,18,2,24,16
2021,,202101,419125,2.02101E+12,35,2.021E+12,16,30016,3,1,35,13,1301,21,2,24,16
2021,,202101,419131,2.02101E+12,6,2.021E+12,16,100016,3,1,6,13,1301,33,2,24,16
2021,,202101,419132,2.02101E+12,68,2.021E+12,16,130016,4,1,68,12,1270,18,2,24,16
2021,,202101,419134,2.02101E+12,81,2.021E+12,16,80016,3,1,81,13,1301,65,2,23,16
2021,,202101,419138,2.02101E+12,134,2.021E+12,16,90016,3,1,134,13,1301,44,2,23,16
2021,,202101,419140,2.02101E+12,124,2.021E+12,16,80016,4,1,124,12,1270,19,2,23,16
2021,,202101,419142,2.02101E+12,103,2.021E+12,16,130016,4,1,103,12,1270,22,2,23,16
2021,,202101,419151,2.02101E+12,93,2.021E+12,16,80016,3,1,93,13,1301,57,2,23,16
2021,,202101,419155,2.02101E+12,63,2.021E+12,16,80016,4,1,63,12,1270,18,2,23,16
2021,,202101,419160,2.02101E+12,116,2.021E+12,16,90016,4,1,116,12,1270,18,2,24,16
2021,,202101,419162,2.02101E+12,14,2.021E+12,16,40016,3,1,14,13,1301,88,2,23,16
2021,,202101,419165,2.02101E+12,88,2.021E+12,16,10016,4,1,88,12,1270,18,2,24,16
2021,,202101,419166,2.02101E+12,115,2.021E+12,16,80016,3,1,115,13,1301,28,2,24,16
2021,,202101,419169,2.02101E+12,21,2.021E+12,16,80016,4,1,21,12,1270,21,2,23,16
2021,,202101,419173,2.02101E+12,24,2.021E+12,16,80016,3,1,24,13,1301,55,2,23,16
2021,,202101,419174,2.02101E+12,35,2.021E+12,16,30016,3,1,35,13,1301,25,2,24,16
2021,,202101,419180,2.02101E+12,56,2.021E+12,16,130016,4,1,56,12,1270,18,2,23,16
2021,,202101,419182,2.02101E+12,75,2.021E+12,16,10016,3,1,75,13,1301,82,2,23,16
2021,,202101,419184,2.02101E+12,93,2.021E+12,16,20016,3,1,93,13,1301,48,2,23,16
2021,,202101,419186,2.02101E+12,97,2.021E+12,16,120016,3,1,97,13,1301,43,2,23,16
2021,,202101,419187,2.02101E+12,61,2.021E+12,16,130016,3,1,61,13,1301,78,2,24,16
2021,,202101,419191,2.02101E+12,22,2.021E+12,16,60016,4,1,22,12,1270,21,2,23,16
2021,,202101,419192,2.02101E+12,71,2.021E+12,16,80016,4,1,71,12,1270,19,2,23,16
2021,,202101,419195,2.02101E+12,6,2.021E+12,16,130016,3,1,6,13,1301,87,2,23,16
2021,,202101,419197,2.02101E+12,104,2.021E+12,16,30016,4,1,104,12,1270,21,2,24,16
2021,,202101,419198,2.02101E+12,101,2.021E+12,16,120016,3,1,101,13,1301,30,2,24,16
2021,,202101,419200,2.02101E+12,113,2.021E+12,16,10016,4,1,113,12,1270,18,2,24,16
2021,,202101,419202,2.02101E+12,113,2.021E+12,16,130016,3,1,113,13,1301,30,2,23,16
2021,,202101,419203,2.02101E+12,19,2.021E+12,16,60016,4,1,19,12,1270,21,2,23,16
2021,,202101,419206,2.02101E+12,5,2.021E+12,16,30016,4,1,5,12,1270,19,2,24,16
2021,,202101,419217,2.02101E+12,9,2.021E+12,16,30016,3,1,9,13,1301,93,2,23,16
2021,,202101,419222,2.02101E+12,105,2.021E+12,16,80016,3,1,105,13,1301,44,2,23,16
2021,,202101,419235,2.02101E+12,19,2.021E+12,16,80016,3,1,19,13,1301,64,2,24,16
2021,,202101,419236,2.02101E+12,152,2.021E+12,16,80016,3,1,152,13,1301,56,2,24,16
2021,,202101,419238,2.02101E+12,37,2.021E+12,16,50016,3,1,37,13,1301,65,2,24,16
