id,dest_year,dest_countyfips,origin_statefips,origin_countyfips,origin_state,origin_county,returns,exempt,agi
1,1996,0,96,0,ID,Total Mig - US & For,35042,77734,963504
2,1996,0,97,0,ID,Total Mig - US,34440,76554,951826
3,1996,0,97,1,ID,Total Mig - US Same St,13325,29821,317347
4,1996,0,97,3,ID,Total Mig - US Diff St,21115,46733,634478
5,1996,0,98,0,ID,Total Mig - Foreign,602,1180,11679
6,1996,1,96,0,ID,Ada County Tot Mig-US & For,8375,17222,267480
7,1996,1,97,0,ID,Ada County Tot Mig-US,8301,17076,264741
8,1996,1,97,1,ID,Ada County Tot Mig-Same St,2690,5126,67226
9,1996,1,97,3,ID,Ada County Tot Mig-Diff St,5611,11950,197514
10,1996,1,98,0,ID,Ada County Tot Mig-Foreign,74,146,2739
11,1996,1,16,1,ID,Ada County Non-Migrants,87739,201062,4058471
12,1996,1,16,27,ID,Canyon County,834,1610,21998
13,1996,1,16,39,ID,Elmore County,227,456,5861
14,1996,1,49,35,UT,Salt Lake County,208,512,7177
15,1996,1,53,33,WA,King County,202,372,7243
16,1996,1,16,83,ID,Twin Falls County,188,338,4376
17,1996,1,16,5,ID,Bannock County,170,355,4521
18,1996,1,6,37,CA,Los Angeles County,163,340,6095
19,1996,1,4,13,AZ,Maricopa County,158,363,6047
20,1996,1,16,19,ID,Bonneville County,147,300,4025
21,1996,1,16,45,ID,Gem County,115,208,2427
22,1996,1,16,57,ID,Latah County,109,176,1912
23,1996,1,6,59,CA,Orange County,93,204,3254
24,1996,1,41,51,OR,Multnomah County,93,190,2752
25,1996,1,53,63,WA,Spokane County,87,162,2451
26,1996,1,16,15,ID,Boise County,84,164,1867
27,1996,1,16,85,ID,Valley County,81,143,2801
28,1996,1,6,73,CA,San Diego County,80,176,2805
29,1996,1,6,85,CA,Santa Clara County,70,146,4063
30,1996,1,32,3,NV,Clark County,70,144,2314
31,1996,1,16,75,ID,Payette County,69,123,1971
32,1996,1,53,61,WA,Snohomish County,69,138,2001
33,1996,1,6,71,CA,San Bernardino Count,63,159,2677
34,1996,1,16,13,ID,Blaine County,63,107,1707
35,1996,1,16,55,ID,Kootenai County,62,110,1403
36,1996,1,41,45,OR,Malheur County,60,99,1171
37,1996,1,53,53,WA,Pierce County,60,140,2216
38,1996,1,41,67,OR,Washington County,55,128,2199
39,1996,1,49,49,UT,Utah County,55,156,1496
40,1996,1,6,1,CA,Alameda County,54,124,2262
41,1996,1,41,47,OR,Marion County,54,116,1596
42,1996,1,2,20,AK,Anchorage Borough,50,119,2227
43,1996,1,6,67,CA,Sacramento County,49,115,1800
44,1996,1,35,1,NM,Bernalillo County,49,108,2100
45,1996,1,53,11,WA,Clark County,49,107,1868
46,1996,1,16,31,ID,Cassia County,48,101,882
47,1996,1,16,69,ID,Nez Perce County,48,82,1329
48,1996,1,41,5,OR,Clackamas County,48,98,2206
49,1996,1,6,13,CA,Contra Costa County,47,86,1848
50,1996,1,32,7,NV,Elko County,47,80,1010
51,1996,1,16,73,ID,Owyhee County,46,89,1056
52,1996,1,57,5,FR,Foreign - APO/FPO ZIPs,46,94,1258
