id,year,countyfips,type,out_returns,out_exempt,out_agi,in_returns,in_exempt,in_agi
1,1996,1,same_state,2347,5040,65131,2690,5126,67226
2,1996,1,diff_state,3871,7645,134485,5611,11950,197514
3,1996,1,foreign,57,101,1591,74,146,2739
4,1996,3,same_state,76,168,1947,68,154,1835
5,1996,3,diff_state,40,90,1025,65,136,3978
6,1996,5,same_state,727,1706,17622,768,1573,17468
7,1996,5,diff_state,1084,2399,27975,999,2117,27567
8,1996,5,foreign,0,0,0,38,53,340
9,1996,7,same_state,38,108,998,27,65,505
10,1996,7,diff_state,103,229,2219,79,187,1647
11,1996,9,same_state,93,226,2197,99,221,2253
12,1996,9,diff_state,121,245,2147,169,348,4189
13,1996,11,same_state,566,1343,12612,422,1137,10499
14,1996,11,diff_state,416,1043,8993,363,975,8837
15,1996,13,same_state,213,436,5306,205,374,4762
16,1996,13,diff_state,428,691,14202,619,975,22336
17,1996,15,same_state,121,253,2703,138,322,3489
18,1996,15,diff_state,46,90,1196,69,155,2158
19,1996,17,same_state,246,489,6008,226,513,5327
20,1996,17,diff_state,491,986,10268,784,1647,27452
21,1996,17,foreign,10,16,203,0,0,0
22,1996,19,same_state,857,2000,22517,764,1856,16217
23,1996,19,diff_state,1306,3103,41305,946,2330,30200
24,1996,19,foreign,43,73,1221,13,27,313
25,1996,21,same_state,82,178,1700,69,157,1502
26,1996,21,diff_state,129,325,2657,169,413,4607
27,1996,23,same_state,52,127,1116,40,118,1004
28,1996,23,diff_state,34,83,730,37,92,1384
29,1996,25,same_state,12,28,164,24,65,599
30,1996,25,diff_state,10,30,299,16,29,313
31,1996,27,same_state,1333,2796,32869,1564,3572,43065
32,1996,27,diff_state,1076,2486,22737,1446,3434,35627
33,1996,27,foreign,15,35,346,21,51,374
34,1996,29,same_state,67,160,3141,47,115,1144
35,1996,29,diff_state,84,191,1927,95,246,2826
36,1996,31,same_state,378,982,7606,359,945,7919
37,1996,31,diff_state,239,619,5377,229,570,5459
38,1996,33,same_state,21,68,391,15,54,353
39,1996,33,diff_state,17,43,330,10,36,255
40,1996,35,same_state,117,231,3016,115,247,2896
41,1996,35,diff_state,108,216,2408,161,356,4379
42,1996,37,same_state,86,180,1931,96,224,2323
43,1996,37,diff_state,93,214,2878,98,225,2924
44,1996,39,same_state,368,778,8845,199,442,4020
45,1996,39,diff_state,719,1995,19661,913,2174,21320
46,1996,39,foreign,181,465,3927,184,485,4331
47,1996,41,same_state,42,122,1112,49,151,1443
48,1996,41,diff_state,182,413,3688,198,528,5042
49,1996,43,same_state,176,430,3317,130,340,3297
50,1996,43,diff_state,176,428,3384,145,349,3108
51,1996,45,same_state,215,451,4500,200,474,5531
52,1996,45,diff_state,138,301,2707,193,496,5069
53,1996,47,same_state,235,557,4712,234,635,5155
54,1996,47,diff_state,118,281,2108,185,461,2877
55,1996,49,same_state,203,413,4119,164,367,3634
56,1996,49,diff_state,183,380,3890,237,480,6472
57,1996,51,same_state,304,809,6408,266,764,6747
58,1996,51,diff_state,189,456,3211,148,416,4035
59,1996,53,same_state,370,925,7777,354,863,7993
60,1996,53,diff_state,135,327,2935,232,561,4726
61,1996,55,same_state,509,1055,10911,592,1272,15757
62,1996,55,diff_state,1739,3374,41757,2635,5681,86115
63,1996,55,foreign,24,46,364,25,37,491
64,1996,57,same_state,457,872,9763,502,964,9369
65,1996,57,diff_state,906,1676,20689,794,1539,21336
66,1996,57,foreign,27,53,515,77,88,428
67,1996,59,same_state,77,176,1374,73,154,1860
68,1996,59,diff_state,142,300,4010,171,357,5484
69,1996,61,same_state,82,171,1693,64,149,1418
70,1996,61,diff_state,60,126,1129,67,174,1682
71,1996,63,same_state,71,162,1620,69,193,1406
72,1996,63,diff_state,37,93,800,42,89,670
73,1996,65,same_state,250,704,5217,203,490,4257
74,1996,65,diff_state,415,856,6245,229,540,4420
75,1996,65,foreign,0,0,0,51,55,178
76,1996,67,same_state,384,977,8512,260,689,4799
77,1996,67,diff_state,172,450,3074,138,383,2889
78,1996,69,same_state,336,689,8172,360,683,7839
79,1996,69,diff_state,676,1345,15017,672,1336,16901
80,1996,69,foreign,0,0,0,12,17,66
81,1996,71,same_state,20,49,526,23,59,575
82,1996,71,diff_state,51,134,1141,64,165,1802
83,1996,73,same_state,259,606,4452,218,564,4826
84,1996,73,diff_state,110,268,1942,140,395,2907
85,1996,75,same_state,226,497,5109,232,525,5255
86,1996,75,diff_state,336,799,6439,387,953,9270
87,1996,77,same_state,93,226,1766,86,237,2418
88,1996,77,diff_state,63,179,1238,53,121,1013
89,1996,79,same_state,168,349,3886,147,317,3491
90,1996,79,diff_state,268,564,6186,246,557,5856
91,1996,81,same_state,49,115,1115,44,113,1178
92,1996,81,diff_state,106,206,2224,211,394,6334
93,1996,83,same_state,725,1573,16535,802,1836,17220
94,1996,83,diff_state,739,1648,17558,835,1882,23337
95,1996,83,foreign,12,18,203,18,34,378
96,1996,85,same_state,167,353,4824,177,366,4635
97,1996,85,diff_state,127,226,2763,158,299,6747
98,1996,87,same_state,107,243,2107,141,336,2836
99,1996,87,diff_state,145,334,2454,146,369,3458
100,1997,1,same_state,2459,5087,71371,2913,5406,77850
101,1997,1,diff_state,4148,8316,177268,5529,11520,220974
102,1997,1,foreign,69,112,2163,97,187,2276
103,1997,3,same_state,87,200,1626,55,110,1235
104,1997,3,diff_state,41,85,893,62,110,1701
105,1997,5,same_state,831,1884,20695,768,1547,15208
106,1997,5,diff_state,1066,2276,27744,1020,2227,29883
107,1997,5,foreign,17,33,253,26,33,265
108,1997,7,same_state,37,78,800,38,112,939
109,1997,7,diff_state,77,179,1729,78,169,1821
110,1997,9,same_state,104,223,2045,82,178,1255
111,1997,9,diff_state,125,270,2769,143,320,3493
112,1997,11,same_state,559,1332,12739,464,1194,11435
113,1997,11,diff_state,440,1003,9808,326,843,8414
114,1997,13,same_state,259,495,8442,196,378,4560
115,1997,13,diff_state,505,768,14518,589,894,27647
116,1997,15,same_state,117,253,2887,118,244,3730
117,1997,15,diff_state,41,90,646,69,158,2849
118,1997,17,same_state,269,514,5336,259,538,6114
119,1997,17,diff_state,589,1157,13501,796,1700,24211
120,1997,19,same_state,816,1867,20200,829,1909,20666
121,1997,19,diff_state,1138,2599,38282,961,2305,31525
122,1997,19,foreign,19,36,340,12,35,197
123,1997,21,same_state,94,201,1938,70,152,1762
124,1997,21,diff_state,151,359,4166,183,428,4734
125,1997,23,same_state,55,125,932,51,140,1115
126,1997,23,diff_state,42,104,1103,28,62,815
127,1997,25,same_state,27,58,1136,0,0,0
128,1997,25,diff_state,13,27,144,0,0,0
129,1997,27,same_state,1317,2700,34085,1728,3818,45556
130,1997,27,diff_state,1083,2405,24194,1459,3412,37081
131,1997,27,foreign,23,32,354,17,41,308
132,1997,29,same_state,81,213,2283,48,126,1091
133,1997,29,diff_state,82,203,3063,76,185,2483
134,1997,31,same_state,415,1020,8009,344,867,7926
135,1997,31,diff_state,273,630,6391,218,551,4957
136,1997,33,same_state,21,71,444,0,0,0
137,1997,33,diff_state,11,29,271,0,0,0
138,1997,35,same_state,125,261,2485,109,239,2664
139,1997,35,diff_state,132,243,3233,128,278,3644
140,1997,37,same_state,99,194,3560,67,139,1577
141,1997,37,diff_state,110,258,3346,81,174,2558
142,1997,39,same_state,406,889,9489,211,466,4342
143,1997,39,diff_state,794,1989,19978,1160,2740,26413
144,1997,39,foreign,189,483,4680,263,703,6320
145,1997,41,same_state,53,134,1253,49,137,1216
146,1997,41,diff_state,163,356,3334,186,509,5272
147,1997,43,same_state,180,439,3702,183,460,4411
148,1997,43,diff_state,154,321,3065,148,351,2846
149,1997,45,same_state,210,450,4780,261,603,7992
150,1997,45,diff_state,138,315,3089,185,427,4577
151,1997,47,same_state,278,624,5476,212,547,4958
152,1997,47,diff_state,116,257,2277,179,447,5010
153,1997,49,same_state,205,424,4584,167,384,3556
154,1997,49,diff_state,184,351,4117,238,546,6805
155,1997,51,same_state,315,833,7599,255,684,6410
156,1997,51,diff_state,180,430,3682,148,392,4337
157,1997,53,same_state,419,993,8936,366,921,7874
158,1997,53,diff_state,190,428,3790,194,495,4903
159,1997,55,same_state,549,1108,12497,714,1448,17418
160,1997,55,diff_state,1848,3456,52101,2498,5232,80511
161,1997,55,foreign,24,32,371,28,38,394
162,1997,57,same_state,512,972,10515,514,885,9893
163,1997,57,diff_state,1011,1823,22705,796,1449,20868
164,1997,57,foreign,18,24,205,87,114,877
165,1997,59,same_state,86,164,1895,56,140,1258
166,1997,59,diff_state,130,280,2944,138,278,3455
167,1997,61,same_state,77,169,1750,77,179,1716
168,1997,61,diff_state,56,115,6551,65,143,1269
169,1997,63,same_state,95,220,2307,95,245,1964
170,1997,63,diff_state,45,101,685,43,95,680
171,1997,65,same_state,261,660,5903,216,547,4330
172,1997,65,diff_state,396,847,6855,247,615,5438
173,1997,65,foreign,0,0,0,56,59,81
174,1997,67,same_state,333,801,8904,263,678,5663
175,1997,67,diff_state,170,384,3656,113,293,2320
176,1997,69,same_state,356,702,8585,376,730,8744
177,1997,69,diff_state,724,1378,17975,668,1331,17713
178,1997,69,foreign,0,0,0,123,128,337
179,1997,71,same_state,27,65,656,22,63,454
180,1997,71,diff_state,46,90,1247,69,171,1933
181,1997,73,same_state,240,568,4641,218,553,4903
182,1997,73,diff_state,91,205,1624,117,323,2760
183,1997,75,same_state,255,541,6016,223,495,5436
184,1997,75,diff_state,331,766,6732,395,930,10052
185,1997,77,same_state,114,267,2465,89,242,1960
186,1997,77,diff_state,67,146,1262,53,148,1225
187,1997,79,same_state,187,388,4354,141,306,2868
188,1997,79,diff_state,219,465,4487,250,548,5712
189,1997,81,same_state,49,115,946,45,122,936
