id,dest_year,income,income_id,age,age_id,type,type_id,returns,exempt,agi
1,2012,'$1 under $10000',1,'under 26',1,'total',0,12461,17734,77830
2,2012,'$10000 under $25000',2,'under 26',1,'total',0,31687,56991,540403
3,2012,'$25000 under $50000',3,'under 26',1,'total',0,16161,44309,536439
4,2012,'$50000 under $75000',4,'under 26',1,'total',0,2299,5749,135969
5,2012,'$75000 under $100000',5,'under 26',1,'total',0,448,983,38485
6,2012,'$100000 under $200000',6,'under 26',1,'total',0,202,402,25823
7,2012,'$200000 or more',7,'under 26',1,'total',0,34,59,13526
8,2012,'$1 under $10000',1,'26 under 35',2,'total',0,10298,18930,61157
9,2012,'$10000 under $25000',2,'26 under 35',2,'total',0,28828,63210,511002
10,2012,'$25000 under $50000',3,'26 under 35',2,'total',0,34382,91050,1231320
11,2012,'$50000 under $75000',4,'26 under 35',2,'total',0,15547,49962,947036
12,2012,'$75000 under $100000',5,'26 under 35',2,'total',0,6444,21550,549576
13,2012,'$100000 under $200000',6,'26 under 35',2,'total',0,3423,11469,430013
14,2012,'$200000 or more',7,'26 under 35',2,'total',0,398,1453,157241
15,2012,'$1 under $10000',1,'35 under 45',3,'total',0,5674,11893,33699
16,2012,'$10000 under $25000',2,'35 under 45',3,'total',0,18152,47643,324362
17,2012,'$25000 under $50000',3,'35 under 45',3,'total',0,28434,87768,1041988
18,2012,'$50000 under $75000',4,'35 under 45',3,'total',0,19405,71935,1196501
19,2012,'$75000 under $100000',5,'35 under 45',3,'total',0,11828,46728,1021772
20,2012,'$100000 under $200000',6,'35 under 45',3,'total',0,10852,44053,1403303
21,2012,'$200000 or more',7,'35 under 45',3,'total',0,2309,10183,997862
22,2012,'$1 under $10000',1,'45 under 55',4,'total',0,6080,10149,34259
23,2012,'$10000 under $25000',2,'45 under 55',4,'total',0,17331,35830,311875
24,2012,'$25000 under $50000',3,'45 under 55',4,'total',0,27917,65965,1028348
25,2012,'$50000 under $75000',4,'45 under 55',4,'total',0,19585,54252,1208833
26,2012,'$75000 under $100000',5,'45 under 55',4,'total',0,12835,39022,1110303
27,2012,'$100000 under $200000',6,'45 under 55',4,'total',0,13937,45348,1829579
28,2012,'$200000 or more',7,'45 under 55',4,'total',0,3614,12864,1712096
29,2012,'$1 under $10000',1,'55 under 65',5,'total',0,6982,10171,37812
30,2012,'$10000 under $25000',2,'55 under 65',5,'total',0,15861,26563,282691
31,2012,'$25000 under $50000',3,'55 under 65',5,'total',0,24904,45475,921104
32,2012,'$50000 under $75000',4,'55 under 65',5,'total',0,18688,38073,1153823
33,2012,'$75000 under $100000',5,'55 under 65',5,'total',0,12133,26318,1049034
34,2012,'$100000 under $200000',6,'55 under 65',5,'total',0,12761,29183,1677853
35,2012,'$200000 or more',7,'55 under 65',5,'total',0,3401,7992,1614509
36,2012,'$1 under $10000',1,'65 and over',6,'total',0,13545,19353,72705
37,2012,'$10000 under $25000',2,'65 and over',6,'total',0,24952,38410,422019
38,2012,'$25000 under $50000',3,'65 and over',6,'total',0,22091,37114,798601
39,2012,'$50000 under $75000',4,'65 and over',6,'total',0,14184,25033,873512
40,2012,'$75000 under $100000',5,'65 and over',6,'total',0,8526,16279,734616
41,2012,'$100000 under $200000',6,'65 and over',6,'total',0,7972,15477,1042539
42,2012,'$200000 or more',7,'65 and over',6,'total',0,2212,4310,1162471
43,2012,'$1 under $10000',1,'under 26',1,'non-migrant',1,9930,14144,62330
