id,dest_year,origin_fips,dest_fips,returns,exempt,agi
1,1996,1,1,87739,201062,4058471
2,1996,1,3,21,49,573
3,1996,1,5,102,211,2334
4,1996,1,7,5,9,89
5,1996,1,9,5,9,89
6,1996,1,11,12,46,269
7,1996,1,13,67,114,2153
8,1996,1,15,90,205,3120
9,1996,1,17,11,25,315
10,1996,1,19,58,139,1250
11,1996,1,21,5,9,89
12,1996,1,23,5,9,89
13,1996,1,25,5,9,89
14,1996,1,27,986,2186,29656
15,1996,1,29,5,9,89
16,1996,1,31,26,60,599
17,1996,1,33,5,9,89
18,1996,1,35,5,9,89
19,1996,1,37,19,30,284
20,1996,1,39,97,208,2149
21,1996,1,41,5,9,89
22,1996,1,43,5,9,89
23,1996,1,45,115,255,3563
24,1996,1,47,30,61,796
25,1996,1,49,26,55,762
26,1996,1,51,5,9,89
27,1996,1,53,28,65,919
28,1996,1,55,74,162,2301
29,1996,1,57,89,165,1700
30,1996,1,59,5,9,89
31,1996,1,61,5,9,89
32,1996,1,63,5,9,89
33,1996,1,65,5,9,89
34,1996,1,67,26,51,466
35,1996,1,69,33,62,803
36,1996,1,71,5,9,89
37,1996,1,73,43,100,1420
38,1996,1,75,65,123,1439
39,1996,1,77,5,9,89
40,1996,1,79,12,32,412
41,1996,1,81,5,9,89
42,1996,1,83,128,253,2884
43,1996,1,85,91,189,2729
44,1996,1,87,25,45,641
45,1996,3,1,21,40,544
46,1996,3,3,1118,2735,28448
47,1996,3,5,2,5,53
48,1996,3,7,2,5,53
49,1996,3,9,2,5,53
50,1996,3,11,2,5,53
51,1996,3,13,2,5,53
52,1996,3,15,2,5,53
53,1996,3,17,2,5,53
54,1996,3,19,2,5,53
55,1996,3,21,2,5,53
56,1996,3,23,2,5,53
57,1996,3,25,2,5,53
58,1996,3,27,2,5,53
59,1996,3,29,2,5,53
60,1996,3,31,2,5,53
61,1996,3,33,2,5,53
62,1996,3,35,2,5,53
63,1996,3,37,2,5,53
64,1996,3,39,2,5,53
65,1996,3,41,2,5,53
66,1996,3,43,2,5,53
67,1996,3,45,2,5,53
68,1996,3,47,2,5,53
69,1996,3,49,2,5,53
70,1996,3,51,2,5,53
71,1996,3,53,2,5,53
72,1996,3,55,2,5,53
73,1996,3,57,2,5,53
74,1996,3,59,2,5,53
75,1996,3,61,2,5,53
76,1996,3,63,2,5,53
77,1996,3,65,2,5,53
78,1996,3,67,2,5,53
79,1996,3,69,2,5,53
80,1996,3,71,2,5,53
81,1996,3,73,2,5,53
82,1996,3,75,10,24,159
83,1996,3,77,2,5,53
84,1996,3,79,2,5,53
85,1996,3,81,2,5,53
86,1996,3,83,2,5,53
87,1996,3,85,11,30,297
88,1996,3,87,2,5,53
89,1996,5,1,170,355,4521
90,1996,5,3,4,9,88
91,1996,5,5,21665,55101,763250
92,1996,5,7,4,9,88
93,1996,5,9,4,9,88
94,1996,5,11,110,307,2491
95,1996,5,13,10,18,182
96,1996,5,15,4,9,88
97,1996,5,17,4,9,88
98,1996,5,19,105,235,2574
99,1996,5,21,4,9,88
100,1996,5,23,4,9,88
101,1996,5,25,4,9,88
102,1996,5,27,29,68,964
103,1996,5,29,16,39,363
104,1996,5,31,16,44,247
105,1996,5,33,4,9,88
106,1996,5,35,4,9,88
107,1996,5,37,10,33,321
108,1996,5,39,4,9,88
109,1996,5,41,16,43,433
110,1996,5,43,13,21,271
111,1996,5,45,4,9,88
112,1996,5,47,4,9,88
113,1996,5,49,4,9,88
114,1996,5,51,4,9,88
115,1996,5,53,4,9,88
116,1996,5,55,4,9,88
117,1996,5,57,15,32,276
118,1996,5,59,10,20,239
119,1996,5,61,4,9,88
120,1996,5,63,4,9,88
121,1996,5,65,21,39,383
122,1996,5,67,4,9,88
123,1996,5,69,4,9,88
124,1996,5,71,4,9,88
125,1996,5,73,4,9,88
126,1996,5,75,4,9,88
127,1996,5,77,36,90,961
128,1996,5,79,4,9,88
129,1996,5,81,4,9,88
130,1996,5,83,51,114,958
131,1996,5,85,4,9,88
132,1996,5,87,4,9,88
133,1996,7,1,1,3,23
134,1996,7,3,1,3,23
135,1996,7,5,12,27,358
136,1996,7,7,1786,5325,52331
137,1996,7,9,1,3,23
138,1996,7,11,1,3,23
139,1996,7,13,1,3,23
140,1996,7,15,1,3,23
141,1996,7,17,1,3,23
142,1996,7,19,1,3,23
143,1996,7,21,1,3,23
144,1996,7,23,1,3,23
145,1996,7,25,1,3,23
146,1996,7,27,1,3,23
147,1996,7,29,1,3,23
148,1996,7,31,1,3,23
149,1996,7,33,1,3,23
150,1996,7,35,1,3,23
151,1996,7,37,1,3,23
152,1996,7,39,1,3,23
153,1996,7,41,1,3,23
154,1996,7,43,1,3,23
155,1996,7,45,1,3,23
156,1996,7,47,1,3,23
157,1996,7,49,1,3,23
158,1996,7,51,1,3,23
159,1996,7,53,1,3,23
160,1996,7,55,1,3,23
161,1996,7,57,1,3,23
162,1996,7,59,1,3,23
163,1996,7,61,1,3,23
164,1996,7,63,1,3,23
165,1996,7,65,1,3,23
166,1996,7,67,1,3,23
167,1996,7,69,1,3,23
168,1996,7,71,1,3,23
169,1996,7,73,1,3,23
170,1996,7,75,1,3,23
171,1996,7,77,1,3,23
172,1996,7,79,1,3,23
173,1996,7,81,1,3,23
174,1996,7,83,1,3,23
175,1996,7,85,1,3,23
176,1996,7,87,1,3,23
177,1996,9,1,1,2,16
178,1996,9,3,1,2,16
179,1996,9,5,1,2,16
180,1996,9,7,1,2,16
181,1996,9,9,2815,7021,86662
182,1996,9,11,1,2,16
183,1996,9,13,1,2,16
184,1996,9,15,1,2,16
185,1996,9,17,1,2,16
186,1996,9,19,1,2,16
187,1996,9,21,1,2,16
188,1996,9,23,1,2,16
189,1996,9,25,1,2,16
190,1996,9,27,1,2,16
191,1996,9,29,1,2,16
192,1996,9,31,1,2,16
193,1996,9,33,1,2,16
194,1996,9,35,1,2,16
195,1996,9,37,1,2,16
196,1996,9,39,1,2,16
197,1996,9,41,1,2,16
198,1996,9,43,1,2,16
199,1996,9,45,1,2,16
200,1996,9,47,1,2,16
201,1996,9,49,1,2,16
202,1996,9,51,1,2,16
203,1996,9,53,1,2,16
204,1996,9,55,44,112,1064
205,1996,9,57,13,30,254
206,1996,9,59,1,2,16
207,1996,9,61,1,2,16
208,1996,9,63,1,2,16
209,1996,9,65,1,2,16
210,1996,9,67,1,2,16
211,1996,9,69,1,2,16
212,1996,9,71,1,2,16
213,1996,9,73,1,2,16
214,1996,9,75,1,2,16
215,1996,9,77,1,2,16
216,1996,9,79,11,27,258
217,1996,9,81,1,2,16
218,1996,9,83,1,2,16
219,1996,9,85,1,2,16
220,1996,9,87,1,2,16
221,1996,11,1,44,90,1080
222,1996,11,3,3,7,56
223,1996,11,5,179,384,3566
224,1996,11,7,3,7,56
225,1996,11,9,3,7,56
226,1996,11,11,11867,35053,388006
227,1996,11,13,3,7,56
228,1996,11,15,3,7,56
229,1996,11,17,3,7,56
230,1996,11,19,196,461,4173
231,1996,11,21,3,7,56
232,1996,11,23,3,7,56
233,1996,11,25,3,7,56
234,1996,11,27,3,7,56
235,1996,11,29,3,7,56
236,1996,11,31,10,25,253
237,1996,11,33,3,7,56
238,1996,11,35,3,7,56
239,1996,11,37,3,7,56
240,1996,11,39,3,7,56
241,1996,11,41,3,7,56
242,1996,11,43,3,7,56
243,1996,11,45,3,7,56
244,1996,11,47,3,7,56
245,1996,11,49,3,7,56
246,1996,11,51,21,53,533
247,1996,11,53,3,7,56
248,1996,11,55,3,7,56
249,1996,11,57,3,7,56
250,1996,11,59,3,7,56
251,1996,11,61,3,7,56
252,1996,11,63,3,7,56
253,1996,11,65,3,7,56
254,1996,11,67,3,7,56
255,1996,11,69,3,7,56
256,1996,11,71,3,7,56
257,1996,11,73,3,7,56
258,1996,11,75,3,7,56
259,1996,11,77,19,50,651
260,1996,11,79,3,7,56
261,1996,11,81,3,7,56
262,1996,11,83,16,41,366
263,1996,11,85,3,7,56
264,1996,11,87,3,7,56
265,1996,13,1,63,107,1707
266,1996,13,3,2,5,50
267,1996,13,5,2,5,50
268,1996,13,7,2,5,50
269,1996,13,9,2,5,50
270,1996,13,11,2,5,50
271,1996,13,13,5952,12304,287940
272,1996,13,15,2,5,50
273,1996,13,17,2,5,50
274,1996,13,19,2,5,50
275,1996,13,21,2,5,50
276,1996,13,23,2,5,50
277,1996,13,25,2,5,50
278,1996,13,27,2,5,50
279,1996,13,29,2,5,50
280,1996,13,31,2,5,50
281,1996,13,33,2,5,50
282,1996,13,35,2,5,50
283,1996,13,37,2,5,50
284,1996,13,39,2,5,50
285,1996,13,41,2,5,50
286,1996,13,43,2,5,50
287,1996,13,45,2,5,50
288,1996,13,47,11,28,298
289,1996,13,49,2,5,50
290,1996,13,51,2,5,50
291,1996,13,53,14,33,363
292,1996,13,55,2,5,50
293,1996,13,57,10,11,111
294,1996,13,59,2,5,50
295,1996,13,61,2,5,50
296,1996,13,63,16,39,360
297,1996,13,65,2,5,50
298,1996,13,67,2,5,50
299,1996,13,69,2,5,50
300,1996,13,71,2,5,50
301,1996,13,73,2,5,50
302,1996,13,75,2,5,50
303,1996,13,77,2,5,50
304,1996,13,79,2,5,50
305,1996,13,81,2,5,50
306,1996,13,83,35,70,674
307,1996,13,85,2,5,50
308,1996,13,87,2,5,50
309,1996,15,1,84,164,1867
310,1996,15,3,1,2,15
311,1996,15,5,1,2,15
312,1996,15,7,1,2,15
313,1996,15,9,1,2,15
314,1996,15,11,1,2,15
315,1996,15,13,1,2,15
316,1996,15,15,1113,2649,34774
317,1996,15,17,1,2,15
318,1996,15,19,1,2,15
319,1996,15,21,1,2,15
320,1996,15,23,1,2,15
321,1996,15,25,1,2,15
322,1996,15,27,13,26,239
323,1996,15,29,1,2,15
324,1996,15,31,1,2,15
325,1996,15,33,1,2,15
326,1996,15,35,1,2,15
327,1996,15,37,1,2,15
328,1996,15,39,1,2,15
329,1996,15,41,1,2,15
330,1996,15,43,1,2,15
331,1996,15,45,1,2,15
332,1996,15,47,1,2,15
333,1996,15,49,1,2,15
334,1996,15,51,1,2,15
335,1996,15,53,1,2,15
336,1996,15,55,1,2,15
337,1996,15,57,1,2,15
338,1996,15,59,1,2,15
339,1996,15,61,1,2,15
340,1996,15,63,1,2,15
341,1996,15,65,1,2,15
342,1996,15,67,1,2,15
343,1996,15,69,1,2,15
344,1996,15,71,1,2,15
345,1996,15,73,1,2,15
346,1996,15,75,1,2,15
347,1996,15,77,1,2,15
348,1996,15,79,1,2,15
349,1996,15,81,1,2,15
350,1996,15,83,1,2,15
351,1996,15,85,1,2,15
352,1996,15,87,1,2,15
353,1996,17,1,26,47,673
354,1996,17,3,2,3,29
355,1996,17,5,2,3,29
356,1996,17,7,2,3,29
357,1996,17,9,2,3,29
358,1996,17,11,2,3,29
359,1996,17,13,2,3,29
360,1996,17,15,2,3,29
361,1996,17,17,9934,23566,300986
362,1996,17,19,2,3,29
363,1996,17,21,25,59,647
364,1996,17,23,2,3,29
365,1996,17,25,2,3,29
366,1996,17,27,2,3,29
367,1996,17,29,2,3,29
368,1996,17,31,2,3,29
369,1996,17,33,2,3,29
370,1996,17,35,2,3,29
371,1996,17,37,2,3,29
372,1996,17,39,2,3,29
373,1996,17,41,2,3,29
374,1996,17,43,2,3,29
375,1996,17,45,2,3,29
376,1996,17,47,2,3,29
377,1996,17,49,2,3,29
378,1996,17,51,2,3,29
379,1996,17,53,2,3,29
380,1996,17,55,133,267,3237
381,1996,17,57,20,30,358
382,1996,17,59,2,3,29
383,1996,17,61,2,3,29
384,1996,17,63,2,3,29
385,1996,17,65,2,3,29
386,1996,17,67,2,3,29
387,1996,17,69,2,3,29
388,1996,17,71,2,3,29
389,1996,17,73,2,3,29
390,1996,17,75,2,3,29
391,1996,17,77,2,3,29
392,1996,17,79,2,3,29
393,1996,17,81,2,3,29
394,1996,17,83,2,3,29
395,1996,17,85,2,3,29
396,1996,17,87,2,3,29
397,1996,19,1,147,300,4025
398,1996,19,3,2,5,49
399,1996,19,5,107,211,2201
400,1996,19,7,2,5,49
401,1996,19,9,2,5,49
402,1996,19,11,180,433,4988
