id,year,dest_fips,origin_fips,origin_state,origin_name,in_returns,in_exempt,in_agi
1,2012,1,96,AL,AL Total Migration US and Foreign,50357,103106,2167719
2,2012,1,97,AL,AL Total Migration US,49341,100777,2118535
3,2012,1,98,AL,AL Total Migration Foreign,1016,2329,49184
4,2012,1,1,AL,AL Non-migrants,1584665,3603439,87222478
5,2012,1,13,GA,GEORGIA,9726,19988,334270
6,2012,1,12,FL,FLORIDA,8039,14729,279695
7,2012,1,47,TN,TENNESSEE,3661,7576,155251
8,2012,1,48,TX,TEXAS,3166,6773,168283
9,2012,1,28,MS,MISSISSIPPI,2792,6016,112949
10,2012,1,6,CA,CALIFORNIA,1701,3451,80533
11,2012,1,37,NC,NORTH CAROLINA,1603,3542,70304
12,2012,1,51,VA,VIRGINIA,1490,3264,98155
13,2012,1,22,LA,LOUISIANA,1323,2743,66179
14,2012,1,36,NY,NEW YORK,1175,2350,47715
15,2012,1,26,MI,MICHIGAN,1063,2099,38535
16,2012,1,39,OH,OHIO,1031,2036,41821
17,2012,1,57,FR,Foreign,1016,2329,49184
18,2012,1,17,IL,ILLINOIS,1011,1905,52113
19,2012,1,45,SC,SOUTH CAROLINA,971,2108,43175
20,2012,1,21,KY,KENTUCKY,931,2133,39704
21,2012,1,18,IN,INDIANA,748,1578,31040
22,2012,1,42,PA,PENNSYLVANIA,641,1231,28554
23,2012,1,29,MO,MISSOURI,636,1328,29570
24,2012,1,8,CO,COLORADO,624,1335,37114
25,2012,1,53,WA,WASHINGTON,591,1263,29368
26,2012,1,24,MD,MARYLAND,557,1065,33861
27,2012,1,4,AZ,ARIZONA,515,1054,29965
28,2012,1,5,AR,ARKANSAS,507,1080,26362
29,2012,1,40,OK,OKLAHOMA,444,989,28273
30,2012,1,34,NJ,NEW JERSEY,417,811,20986
31,2012,1,20,KS,KANSAS,388,976,16998
32,2012,1,55,WI,WISCONSIN,291,543,24791
33,2012,1,15,HI,HAWAII,270,665,12070
34,2012,1,25,MA,MASSACHUSETTS,251,438,11867
35,2012,1,32,NV,NEVADA,236,464,12379
36,2012,1,27,MN,MINNESOTA,230,428,11236
37,2012,1,2,AK,ALASKA,227,553,10230
38,2012,1,9,CT,CONNECTICUT,224,451,10054
39,2012,1,35,NM,NEW MEXICO,219,495,9985
40,2012,1,19,IA,IOWA,208,407,9393
41,2012,1,54,WV,WEST VIRGINIA,165,349,7830
42,2012,1,49,UT,UTAH,162,388,6823
43,2012,1,31,NE,NEBRASKA,139,331,6823
44,2012,1,41,OR,OREGON,121,223,4191
45,2012,1,11,DC,DISTRICT OF COLUMBIA,115,164,6765
46,2012,1,16,ID,IDAHO,98,225,3713
47,2012,1,56,WY,WYOMING,90,179,3867
48,2012,1,23,ME,MAINE,87,164,4759
49,2012,1,30,MT,MONTANA,84,151,3114
50,2012,1,33,NH,NEW HAMPSHIRE,78,141,3898
51,2012,1,10,DE,DELAWARE,74,183,4034
52,2012,1,46,SD,SOUTH DAKOTA,72,126,3436
53,2012,1,38,ND,NORTH DAKOTA,58,108,2631
54,2012,1,44,RI,RHODE ISLAND,51,115,1876
55,2012,1,50,VT,VERMONT,40,63,2001
56,2012,2,96,AK,AK Total Migration US and Foreign,18130,34228,742719
57,2012,2,97,AK,AK Total Migration US,17417,32832,712778
58,2012,2,98,AK,AK Total Migration Foreign,713,1396,29941
59,2012,2,2,AK,AK Non-migrants,258223,547464,18646593
60,2012,2,12,FL,FLORIDA,1699,2424,53449
