id,year,origin_fips,dest_fips,dest_state,dest_name,out_returns,out_exempt,out_agi
1,2012,1,96,AL,AL Total Migration US and Foreign,51971,107304,2109108
2,2012,1,97,AL,AL Total Migration US,50940,105006,2059642
3,2012,1,98,AL,AL Total Migration Foreign,1031,2298,49465
4,2012,1,1,AL,AL Non-migrants,1584665,3603439,87222478
5,2012,1,13,GA,GEORGIA,9920,19470,329213
6,2012,1,12,FL,FLORIDA,7550,14398,296043
7,2012,1,47,TN,TENNESSEE,4237,9014,180439
8,2012,1,48,TX,TEXAS,4121,8950,177351
9,2012,1,28,MS,MISSISSIPPI,2868,6433,106796
10,2012,1,6,CA,CALIFORNIA,1902,3593,80336
11,2012,1,37,NC,NORTH CAROLINA,1881,4010,79090
12,2012,1,22,LA,LOUISIANA,1514,3210,64656
13,2012,1,51,VA,VIRGINIA,1378,2990,74722
14,2012,1,45,SC,SOUTH CAROLINA,1096,2538,61022
15,2012,1,57,FR,Foreign,1031,2298,49465
16,2012,1,17,IL,ILLINOIS,979,2126,38224
17,2012,1,26,MI,MICHIGAN,976,1946,33224
18,2012,1,39,OH,OHIO,955,1995,38206
19,2012,1,36,NY,NEW YORK,924,1744,35229
20,2012,1,21,KY,KENTUCKY,829,1891,36402
21,2012,1,8,CO,COLORADO,725,1489,37232
22,2012,1,53,WA,WASHINGTON,718,1617,34658
23,2012,1,18,IN,INDIANA,707,1545,23747
24,2012,1,29,MO,MISSOURI,629,1297,22810
25,2012,1,42,PA,PENNSYLVANIA,572,1150,26202
26,2012,1,4,AZ,ARIZONA,548,1121,24245
27,2012,1,24,MD,MARYLAND,531,1039,25979
28,2012,1,5,AR,ARKANSAS,494,1123,22667
29,2012,1,40,OK,OKLAHOMA,470,1083,19193
30,2012,1,20,KS,KANSAS,424,1029,17875
31,2012,1,32,NV,NEVADA,331,563,18510
32,2012,1,25,MA,MASSACHUSETTS,328,595,13109
33,2012,1,55,WI,WISCONSIN,309,722,13449
34,2012,1,34,NJ,NEW JERSEY,286,575,11648
35,2012,1,27,MN,MINNESOTA,214,430,8834
36,2012,1,41,OR,OREGON,213,431,8961
37,2012,1,15,HI,HAWAII,212,485,10166
38,2012,1,19,IA,IOWA,212,475,8642
39,2012,1,2,AK,ALASKA,201,456,8516
40,2012,1,35,NM,NEW MEXICO,193,395,8701
41,2012,1,49,UT,UTAH,184,446,8976
42,2012,1,31,NE,NEBRASKA,173,452,6919
43,2012,1,54,WV,WEST VIRGINIA,166,354,6093
44,2012,1,9,CT,CONNECTICUT,148,280,6520
45,2012,1,56,WY,WYOMING,121,220,5274
46,2012,1,16,ID,IDAHO,90,188,3706
47,2012,1,11,DC,DISTRICT OF COLUMBIA,89,131,4499
48,2012,1,46,SD,SOUTH DAKOTA,79,149,2488
