"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"< 1 year"	"1"	26	4680	555.6	362.9	814.0	109.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"1-4 years"	"1-4"	Suppressed	17816	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"5-9 years"	"5-9"	Suppressed	22392	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"10-14 years"	"10-14"	Suppressed	22149	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"15-19 years"	"15-19"	12	22265	Unreliable	27.8	94.1	15.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"20-24 years"	"20-24"	10	21822	Unreliable	22.0	84.3	14.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"25-29 years"	"25-29"	14	22942	Unreliable	33.4	102.4	16.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"30-34 years"	"30-34"	22	23037	95.5	59.8	144.6	20.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"35-39 years"	"35-39"	28	25216	111.0	73.8	160.5	21.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"40-44 years"	"40-44"	37	24709	149.7	105.4	206.4	24.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"45-49 years"	"45-49"	58	21809	265.9	201.9	343.8	34.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"50-54 years"	"50-54"	63	17557	358.8	275.7	459.1	45.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"55-59 years"	"55-59"	73	12199	598.4	469.1	752.4	70.0	0.0%
