"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"< 1 year"	"1"	26	4680	555.6	362.9	814.0	109.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"1-4 years"	"1-4"	Suppressed	17816	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"5-14 years"	"5-14"	Suppressed	44541	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"15-24 years"	"15-24"	22	44087	49.9	31.3	75.6	10.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"25-34 years"	"25-34"	36	45979	78.3	54.8	108.4	13.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"35-44 years"	"35-44"	65	49925	130.2	100.5	165.9	16.1	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"45-54 years"	"45-54"	121	39366	307.4	252.6	362.1	27.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"55-64 years"	"55-64"	156	20930	745.3	628.4	862.3	59.7	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"65-74 years"	"65-74"	264	13730	1922.8	1690.9	2154.7	118.3	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"75-84 years"	"75-84"	529	9874	5357.5	4901.0	5814.1	232.9	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"85+ years"	"85+"	489	3364	14536.3	13247.9	15824.7	657.4	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"< 1 year"	"1"	34	4764	713.7	494.2	997.3	122.4	0.0%
