"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Idaho"	"16"	"1999"	"1999"	"< 1 year"	"1"	134	19493	687.4	571.0	803.8	59.4	0.1%
	"Idaho"	"16"	"1999"	"1999"	"1-4 years"	"1-4"	29	76693	37.8	25.3	54.3	7.0	0.0%
	"Idaho"	"16"	"1999"	"1999"	"5-9 years"	"5-9"	24	99729	24.1	15.4	35.8	4.9	0.0%
	"Idaho"	"16"	"1999"	"1999"	"10-14 years"	"10-14"	33	103979	31.7	21.8	44.6	5.5	0.0%
	"Idaho"	"16"	"1999"	"1999"	"15-19 years"	"15-19"	96	111587	86.0	69.7	105.1	8.8	0.0%
	"Idaho"	"16"	"1999"	"1999"	"20-24 years"	"20-24"	80	92437	86.5	68.6	107.7	9.7	0.0%
	"Idaho"	"16"	"1999"	"1999"	"25-29 years"	"25-29"	70	82840	84.5	65.9	106.8	10.1	0.0%
	"Idaho"	"16"	"1999"	"1999"	"30-34 years"	"30-34"	87	81995	106.1	85.0	130.9	11.4	0.0%
	"Idaho"	"16"	"1999"	"1999"	"35-39 years"	"35-39"	145	95958	151.1	126.5	175.7	12.5	0.1%
	"Idaho"	"16"	"1999"	"1999"	"40-44 years"	"40-44"	163	97538	167.1	141.5	192.8	13.1	0.1%
	"Idaho"	"16"	"1999"	"1999"	"45-49 years"	"45-49"	233	90083	258.7	225.4	291.9	16.9	0.1%
	"Idaho"	"16"	"1999"	"1999"	"50-54 years"	"50-54"	310	74530	415.9	369.6	462.2	23.6	0.1%
	"Idaho"	"16"	"1999"	"1999"	"55-59 years"	"55-59"	381	58108	655.7	589.8	721.5	33.6	0.1%
	"Idaho"	"16"	"1999"	"1999"	"60-64 years "	"60-64"	492	46544	1057.1	963.7	1150.5	47.7	0.2%
	"Idaho"	"16"	"1999"	"1999"	"65-69 years"	"65-69"	722	39821	1813.1	1680.9	1945.4	67.5	0.3%
	"Idaho"	"16"	"1999"	"1999"	"70-74 years"	"70-74"	918	35543	2582.8	2415.7	2749.9	85.2	0.4%
	"Idaho"	"16"	"1999"	"1999"	"75-79 years"	"75-79"	1342	30157	4450.0	4212.0	4688.1	121.5	0.5%
	"Idaho"	"16"	"1999"	"1999"	"80-84 years"	"80-84"	1518	21095	7196.0	6834.0	7558.0	184.7	0.6%
	"Idaho"	"16"	"1999"	"1999"	"85-89 years"	"85-89"	1497	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"1999"	"1999"	"90-94 years"	"90-94"	892	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.3%
	"Idaho"	"16"	"1999"	"1999"	"95-99 years"	"95-99"	345	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"1999"	"1999"	"100+ years"	"100+"	67	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"1999"	"1999"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"< 1 year"	"1"	153	19700	776.6	653.6	899.7	62.8	0.1%
	"Idaho"	"16"	"2000"	"2000"	"1-4 years"	"1-4"	19	77943	Unreliable	14.7	38.1	5.6	0.0%
	"Idaho"	"16"	"2000"	"2000"	"5-9 years"	"5-9"	22	100756	21.8	13.7	33.1	4.7	0.0%
	"Idaho"	"16"	"2000"	"2000"	"10-14 years"	"10-14"	22	104608	21.0	13.2	31.8	4.5	0.0%
	"Idaho"	"16"	"2000"	"2000"	"15-19 years"	"15-19"	70	110858	63.1	49.2	79.8	7.5	0.0%
