"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Idaho"	"16"	"1999"	"1999"	"< 1 year"	"0"	134	19493	687.4	571.0	803.8	59.4	0.1%
	"Idaho"	"16"	"1999"	"1999"	"1 year"	"1"	12	19381	Unreliable	32.0	108.2	17.9	0.0%
	"Idaho"	"16"	"1999"	"1999"	"2 years"	"2"	Suppressed	18859	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"1999"	"1999"	"3 years"	"3"	Suppressed	19267	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"1999"	"1999"	"4 years"	"4"	Suppressed	19186	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"1999"	"1999"	"5 years"	"5"	Suppressed	19113	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"1999"	"1999"	"6 years"	"6"	Suppressed	19755	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"1999"	"1999"	"7 years"	"7"	Suppressed	20089	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"1999"	"1999"	"8 years"	"8"	Suppressed	19894	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"1999"	"1999"	"9 years"	"9"	Suppressed	20878	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"1999"	"1999"	"10 years"	"10"	Suppressed	20770	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"1999"	"1999"	"11 years"	"11"	Suppressed	20325	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"1999"	"1999"	"12 years"	"12"	Suppressed	20624	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"1999"	"1999"	"13 years"	"13"	Suppressed	20880	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"1999"	"1999"	"14 years"	"14"	Suppressed	21380	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"1999"	"1999"	"15 years"	"15"	19	21819	Unreliable	52.4	136.0	20.0	0.0%
	"Idaho"	"16"	"1999"	"1999"	"16 years"	"16"	15	22495	Unreliable	37.3	110.0	17.2	0.0%
	"Idaho"	"16"	"1999"	"1999"	"17 years"	"17"	19	22481	Unreliable	50.9	132.0	19.4	0.0%
	"Idaho"	"16"	"1999"	"1999"	"18 years"	"18"	26	22666	114.7	74.9	168.1	22.5	0.0%
	"Idaho"	"16"	"1999"	"1999"	"19 years"	"19"	17	22126	Unreliable	44.8	123.0	18.6	0.0%
	"Idaho"	"16"	"1999"	"1999"	"20 years"	"20"	24	19576	122.6	78.6	182.4	25.0	0.0%
	"Idaho"	"16"	"1999"	"1999"	"21 years"	"21"	17	19031	Unreliable	52.0	143.0	21.7	0.0%
	"Idaho"	"16"	"1999"	"1999"	"22 years"	"22"	11	18891	Unreliable	29.1	104.2	17.6	0.0%
	"Idaho"	"16"	"1999"	"1999"	"23 years"	"23"	11	17821	Unreliable	30.8	110.4	18.6	0.0%
	"Idaho"	"16"	"1999"	"1999"	"24 years"	"24"	17	17118	Unreliable	57.9	159.0	24.1	0.0%
	"Idaho"	"16"	"1999"	"1999"	"25 years"	"25"	15	16363	Unreliable	51.3	151.2	23.7	0.0%
	"Idaho"	"16"	"1999"	"1999"	"26 years"	"26"	13	16112	Unreliable	43.0	138.0	22.4	0.0%
	"Idaho"	"16"	"1999"	"1999"	"27 years"	"27"	14	16797	Unreliable	45.6	139.8	22.3	0.0%
