"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	% of Total Deaths
	"Idaho"	"16"	"2018"	"2018"	"< 1 year"	"0"	109	0.1%
	"Idaho"	"16"	"2018"	"2018"	"1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"2018"	"2018"	"2 years"	"2"	Suppressed	Suppressed
	"Idaho"	"16"	"2018"	"2018"	"3 years"	"3"	Suppressed	Suppressed
	"Idaho"	"16"	"2018"	"2018"	"4 years"	"4"	Suppressed	Suppressed
	"Idaho"	"16"	"2018"	"2018"	"5 years"	"5"	Suppressed	Suppressed
	"Idaho"	"16"	"2018"	"2018"	"6 years"	"6"	Suppressed	Suppressed
	"Idaho"	"16"	"2018"	"2018"	"7 years"	"7"	Suppressed	Suppressed
	"Idaho"	"16"	"2018"	"2018"	"8 years"	"8"	Suppressed	Suppressed
	"Idaho"	"16"	"2018"	"2018"	"9 years"	"9"	Suppressed	Suppressed
	"Idaho"	"16"	"2018"	"2018"	"10 years"	"10"	Suppressed	Suppressed
	"Idaho"	"16"	"2018"	"2018"	"11 years"	"11"	Suppressed	Suppressed
	"Idaho"	"16"	"2018"	"2018"	"12 years"	"12"	Suppressed	Suppressed
	"Idaho"	"16"	"2018"	"2018"	"13 years"	"13"	Suppressed	Suppressed
	"Idaho"	"16"	"2018"	"2018"	"14 years"	"14"	Suppressed	Suppressed
	"Idaho"	"16"	"2018"	"2018"	"15 years"	"15"	13	0.0%
	"Idaho"	"16"	"2018"	"2018"	"16 years"	"16"	14	0.0%
	"Idaho"	"16"	"2018"	"2018"	"17 years"	"17"	18	0.0%
	"Idaho"	"16"	"2018"	"2018"	"18 years"	"18"	19	0.0%
	"Idaho"	"16"	"2018"	"2018"	"19 years"	"19"	23	0.0%
	"Idaho"	"16"	"2018"	"2018"	"20 years"	"20"	26	0.0%
	"Idaho"	"16"	"2018"	"2018"	"21 years"	"21"	30	0.0%
	"Idaho"	"16"	"2018"	"2018"	"22 years"	"22"	32	0.0%
	"Idaho"	"16"	"2018"	"2018"	"23 years"	"23"	30	0.0%
