"Notes"	"Residence State"	"Residence State Code"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"< 1 year"	"1"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"1-4 years"	"1-4"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"5-9 years"	"5-9"	Suppressed	30425	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"10-14 years"	"10-14"	0	34003	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"15-19 years"	"15-19"	13	32409	Unreliable	21.4	68.6	11.1	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"20-24 years"	"20-24"	23	28173	81.6	51.8	122.5	17.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"25-29 years"	"25-29"	29	33646	86.2	57.7	123.8	16.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"30-34 years"	"30-34"	21	33633	62.4	38.7	95.4	13.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"35-39 years"	"35-39"	42	34897	120.4	86.7	162.7	18.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"40-44 years"	"40-44"	39	31340	124.4	88.5	170.1	19.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"45-49 years"	"45-49"	81	31244	259.2	205.9	322.2	28.8	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"50-54 years"	"50-54"	98	28515	343.7	279.0	418.8	34.7	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"55-59 years"	"55-59"	144	29299	491.5	411.2	571.8	41.0	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"60-64 years "	"60-64"	236	27316	864.0	753.7	974.2	56.2	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"65-69 years"	"65-69"	291	23749	1225.3	1084.5	1366.1	71.8	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"70-74 years"	"70-74"	306	18278	1674.1	1486.6	1861.7	95.7	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"75-79 years"	"75-79"	338	11517	2934.8	2621.9	3247.7	159.6	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"80-84 years"	"80-84"	395	7059	5595.7	5043.9	6147.5	281.5	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"85-89 years"	"85-89"	432	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"90-94 years"	"90-94"	416	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"95-99 years"	"95-99"	182	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"100+ years"	"100+"	31	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"< 1 year"	"1"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"1-4 years"	"1-4"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"5-9 years"	"5-9"	10	30381	Unreliable	15.8	60.5	10.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"10-14 years"	"10-14"	Suppressed	33982	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"15-19 years"	"15-19"	18	32644	Unreliable	32.7	87.1	13.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"20-24 years"	"20-24"	14	28800	Unreliable	26.6	81.6	13.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"25-29 years"	"25-29"	22	34467	63.8	40.0	96.6	13.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"30-34 years"	"30-34"	22	34422	63.9	40.1	96.8	13.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"35-39 years"	"35-39"	44	35756	123.1	89.4	165.2	18.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"40-44 years"	"40-44"	43	32809	131.1	94.8	176.5	20.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"45-49 years"	"45-49"	59	31753	185.8	141.4	239.7	24.2	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"50-54 years"	"50-54"	84	29169	288.0	229.7	356.5	31.4	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"55-59 years"	"55-59"	151	29916	504.7	424.2	585.3	41.1	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"60-64 years "	"60-64"	211	28399	743.0	642.7	843.2	51.1	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"65-69 years"	"65-69"	282	24767	1138.6	1005.7	1271.5	67.8	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"70-74 years"	"70-74"	350	19778	1769.6	1584.2	1955.0	94.6	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"75-79 years"	"75-79"	393	12554	3130.5	2821.0	3440.0	157.9	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"80-84 years"	"80-84"	435	7549	5762.4	5220.8	6303.9	276.3	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"85-89 years"	"85-89"	487	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.5%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"90-94 years"	"90-94"	409	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"95-99 years"	"95-99"	184	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"100+ years"	"100+"	40	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"< 1 year"	"1"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"1-4 years"	"1-4"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"5-9 years"	"5-9"	Suppressed	30708	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"10-14 years"	"10-14"	Suppressed	34243	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"15-19 years"	"15-19"	15	33029	Unreliable	25.4	74.9	11.7	0.0%
