"Notes"	"Residence State"	"Residence State Code"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	% of Total Deaths
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"< 1 year"	"1"	18	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"15-24 years"	"15-24"	36	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"25-34 years"	"25-34"	50	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"35-44 years"	"35-44"	81	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"45-54 years"	"45-54"	179	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"55-64 years"	"55-64"	380	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"65-74 years"	"65-74"	597	0.6%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"75-84 years"	"75-84"	733	0.7%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"85+ years"	"85+"	1061	1.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"< 1 year"	"1"	19	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"5-14 years"	"5-14"	13	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"15-24 years"	"15-24"	32	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"25-34 years"	"25-34"	44	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"35-44 years"	"35-44"	87	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"45-54 years"	"45-54"	143	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"55-64 years"	"55-64"	362	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"65-74 years"	"65-74"	632	0.6%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"75-84 years"	"75-84"	828	0.8%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"85+ years"	"85+"	1120	1.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"< 1 year"	"1"	24	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"15-24 years"	"15-24"	40	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"25-34 years"	"25-34"	65	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"35-44 years"	"35-44"	97	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"45-54 years"	"45-54"	174	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"55-64 years"	"55-64"	412	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"65-74 years"	"65-74"	724	0.7%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"75-84 years"	"75-84"	964	0.9%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"85+ years"	"85+"	1305	1.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"< 1 year"	"1"	31	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"5-14 years"	"5-14"	12	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"15-24 years"	"15-24"	50	0.0%
