"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Idaho"	"16"	"2018"	"2018"	"< 1 year"	"1"	109	Not Applicable	Not Applicable
	"Idaho"	"16"	"2018"	"2018"	"1-4 years"	"1-4"	15	Not Applicable	Not Applicable
	"Idaho"	"16"	"2018"	"2018"	"5-9 years"	"5-9"	11	122965	Unreliable
	"Idaho"	"16"	"2018"	"2018"	"10-14 years"	"10-14"	26	131036	19.8
	"Idaho"	"16"	"2018"	"2018"	"15-19 years"	"15-19"	87	124506	69.9
	"Idaho"	"16"	"2018"	"2018"	"20-24 years"	"20-24"	144	114894	125.3
	"Idaho"	"16"	"2018"	"2018"	"25-29 years"	"25-29"	122	119176	102.4
	"Idaho"	"16"	"2018"	"2018"	"30-34 years"	"30-34"	118	112206	105.2
	"Idaho"	"16"	"2018"	"2018"	"35-39 years"	"35-39"	186	115383	161.2
	"Idaho"	"16"	"2018"	"2018"	"40-44 years"	"40-44"	186	104646	177.7
	"Idaho"	"16"	"2018"	"2018"	"45-49 years"	"45-49"	285	101672	280.3
	"Idaho"	"16"	"2018"	"2018"	"50-54 years"	"50-54"	453	98253	461.1
	"Idaho"	"16"	"2018"	"2018"	"55-59 years"	"55-59"	641	108608	590.2
	"Idaho"	"16"	"2018"	"2018"	"60-64 years "	"60-64"	1026	106242	965.7
	"Idaho"	"16"	"2018"	"2018"	"65-69 years"	"65-69"	1327	94545	1403.6
	"Idaho"	"16"	"2018"	"2018"	"70-74 years"	"70-74"	1490	73696	2021.8
	"Idaho"	"16"	"2018"	"2018"	"75-79 years"	"75-79"	1705	50168	3398.6
	"Idaho"	"16"	"2018"	"2018"	"80-84 years"	"80-84"	1833	30454	6018.9
	"Idaho"	"16"	"2018"	"2018"	"85-89 years"	"85-89"	1970	Not Applicable	Not Applicable
	"Idaho"	"16"	"2018"	"2018"	"90-94 years"	"90-94"	1646	Not Applicable	Not Applicable
	"Idaho"	"16"	"2018"	"2018"	"95-99 years"	"95-99"	736	Not Applicable	Not Applicable
	"Idaho"	"16"	"2018"	"2018"	"100+ years"	"100+"	145	Not Applicable	Not Applicable
	"Idaho"	"16"	"2018"	"2018"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Idaho"	"16"	"2019"	"2019"	"< 1 year"	"1"	97	Not Applicable	Not Applicable
	"Idaho"	"16"	"2019"	"2019"	"1-4 years"	"1-4"	21	Not Applicable	Not Applicable
	"Idaho"	"16"	"2019"	"2019"	"5-9 years"	"5-9"	33	123317	26.8
	"Idaho"	"16"	"2019"	"2019"	"10-14 years"	"10-14"	26	131471	19.8
	"Idaho"	"16"	"2019"	"2019"	"15-19 years"	"15-19"	58	125185	46.3
	"Idaho"	"16"	"2019"	"2019"	"20-24 years"	"20-24"	108	116434	92.8
	"Idaho"	"16"	"2019"	"2019"	"25-29 years"	"25-29"	109	121631	89.6
	"Idaho"	"16"	"2019"	"2019"	"30-34 years"	"30-34"	117	114859	101.9
	"Idaho"	"16"	"2019"	"2019"	"35-39 years"	"35-39"	170	118233	143.8
	"Idaho"	"16"	"2019"	"2019"	"40-44 years"	"40-44"	202	108939	185.4
	"Idaho"	"16"	"2019"	"2019"	"45-49 years"	"45-49"	273	102792	265.6
	"Idaho"	"16"	"2019"	"2019"	"50-54 years"	"50-54"	392	98974	396.1
	"Idaho"	"16"	"2019"	"2019"	"55-59 years"	"55-59"	676	109541	617.1
	"Idaho"	"16"	"2019"	"2019"	"60-64 years "	"60-64"	972	108819	893.2
