The Pew Charitable Trusts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read more about our sources and methodology: https://www.pewtrusts.org/en/research-and-analysis/data-visualizations/2014/fiscal-50/population-change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Change: Population Change Data ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/Region,Annual growth w/ 50-state median 2008,Annual growth w/ 50-state median 2009,Annual growth w/ 50-state median 2010,Annual growth w/ 50-state median 2011,Annual growth w/ 50-state median 2012,Annual growth w/ 50-state median 2013,Annual growth w/ 50-state median 2014,Annual growth w/ 50-state median 2015,Annual growth w/ 50-state median 2016,Annual growth w/ 50-state median 2017,Annual growth w/ 50-state median 2018,Annual growth w/ 50-state median 2019,Annual growth w/ 50-state median 2020,Annual growth w/ 50-state median 2021,Annual growth w/ 50-state median 2022,Annual growth w/ 50-state median 2023,15-yr growth w/ 50-state median ,Annual growth w/ 50-state total 2008,Annual growth w/ 50-state total 2009,Annual growth w/ 50-state total 2010,Annual growth w/ 50-state total 2011,Annual growth w/ 50-state total 2012,Annual growth w/ 50-state total 2013,Annual growth w/ 50-state total 2014,Annual growth w/ 50-state total 2015,Annual growth w/ 50-state total 2016,Annual growth w/ 50-state total 2017,Annual growth w/ 50-state total 2018,Annual growth w/ 50-state total 2019,Annual growth w/ 50-state total 2020,Annual growth w/ 50-state total 2021,Annual growth w/ 50-state total 2022,Annual growth w/ 50-state total 2023,15-yr growth w/ 50-state total ,Annual growth due to nat change 2008,Annual growth due to nat change 2009,Annual growth due to nat change 2010,Annual growth due to nat change 2011,Annual growth due to nat change 2012,Annual growth due to nat change 2013,Annual growth due to nat change 2014,Annual growth due to nat change 2015,Annual growth due to nat change 2016,Annual growth due to nat change 2017,Annual growth due to nat change 2018,Annual growth due to nat change 2019,Annual growth due to nat change 2020,Annual growth due to nat change 2021,Annual growth due to nat change 2022,Annual growth due to nat change 2023,15-yr growth due to nat change ,Annual growth due to net migr 2008,Annual growth due to net migr 2009,Annual growth due to net migr 2010,Annual growth due to net migr 2011,Annual growth due to net migr 2012,Annual growth due to net migr 2013,Annual growth due to net migr 2014,Annual growth due to net migr 2015,Annual growth due to net migr 2016,Annual growth due to net migr 2017,Annual growth due to net migr 2018,Annual growth due to net migr 2019,Annual growth due to net migr 2020,Annual growth due to net migr 2021,Annual growth due to net migr 2022,Annual growth due to net migr 2023,15-yr growth due to net migr 
Alabama,,0.008421,0.005796,0.002952,0.00354,0.003105,0.002515,0.002285,0.002476,0.002294,0.002796,0.00334,0.002764,0.00368,0.004658,0.006812,0.005312,,0.008421,0.005796,0.002952,0.00354,0.003105,0.002515,0.002285,0.002476,0.002294,0.002796,0.00334,0.002764,0.00368,0.004658,0.006812,0.005312,,0.003355,0.00286,0.00227,0.002232,0.001472,0.001903,0.001605,0.001645,0.001119,0.000842,0.000657,-0.000329,-0.002375,-0.001802,-0.000308,0.001004,,0.005066,0.002891,0.000728,0.001308,0.001633,0.000612,0.000679,0.000832,0.001175,0.001954,0.002683,0.003093,0.006055,0.00646,0.00712,0.002884813
Alaska,,0.016641,0.021587,0.011719,0.011713,0.009327,-0.000747,0.001838,0.005613,-0.002144,-0.005883,-0.004101,-0.003333,0.002673,-0.002241,0.000177,0.004323,,0.016641,0.021587,0.011719,0.011713,0.009327,-0.000747,0.001838,0.005613,-0.002144,-0.005883,-0.004101,-0.003333,0.002673,-0.002241,0.000177,0.004323,,0.012084,0.011557,0.010911,0.009972,0.010004,0.010086,0.009511,0.009287,0.008522,0.008015,0.00694,0.006112,0.005625,0.004104,0.005025,0.008467,,0.004557,0.010034,0.000804,0.001742,-0.000677,-0.010833,-0.007672,-0.003674,-0.010666,-0.013898,-0.011041,-0.009445,-0.002952,-0.006345,-0.004848,-0.00486956
Arizona,,0.009998,0.010119,0.010312,0.012811,0.01195,0.014798,0.014843,0.016385,0.014878,0.016478,0.017813,0.017768,0.011939,0.012815,0.008914,0.011282,,0.009998,0.010119,0.010312,0.012811,0.01195,0.014798,0.014843,0.016385,0.014878,0.016478,0.017813,0.017768,0.011939,0.012815,0.008914,0.011282,,0.00823,0.008197,0.005913,0.00569,0.005412,0.005409,0.005037,0.004202,0.003864,0.00311,0.002826,0.00207,-0.000638,-0.000092,0.001046,0.004114,,0.001768,0.00293,0.003392,0.007121,0.006537,0.009389,0.009806,0.012183,0.011013,0.013368,0.014987,0.015701,0.012577,0.012907,0.007869,0.009776142
Arkansas,,0.007754,0.008684,0.006516,0.004025,0.002568,0.002804,0.003696,0.004055,0.004024,0.002765,0.002929,0.003157,0.004676,0.005931,0.007001,0.004345,,0.007754,0.008684,0.006516,0.004025,0.002568,0.002804,0.003696,0.004055,0.004024,0.002765,0.002929,0.003157,0.004676,0.005931,0.007001,0.004345,,0.004371,0.004248,0.003077,0.003024,0.002375,0.002793,0.002518,0.002507,0.001794,0.001595,0.001706,0.000828,-0.001743,-0.001342,-0.000298,0.001844,,0.003382,0.0043,0.00357,0.001001,0.000193,0.000011,0.001179,0.001548,0.002231,0.00117,0.001223,0.002329,0.006419,0.007273,0.007299,0.002926327
California,,0.00975,0.009695,0.008488,0.00819,0.008149,0.008703,0.008231,0.006295,0.004817,0.002534,0.000004,-0.001763,-0.009066,-0.002668,-0.001932,0.004175,,0.00975,0.009695,0.008488,0.00819,0.008149,0.008703,0.008231,0.006295,0.004817,0.00253,0.000004,-0.001763,-0.009066,-0.002668,-0.001932,0.004175,,0.007995,0.007642,0.007266,0.006852,0.006639,0.006663,0.00639,0.005887,0.005555,0.004877,0.00443,0.003631,0.001704,0.002702,0.002854,0.005432,,0.001755,0.002859,0.000417,0.001338,0.00151,0.00204,0.00184,0.000408,-0.000738,-0.002343,-0.004426,-0.005394,-0.01077,-0.00537,-0.004786,-0.001607585
Colorado,,0.016865,0.015153,0.014732,0.01401,0.014848,0.015531,0.018998,0.016412,0.013272,0.014194,0.010765,0.00855,0.004559,0.005066,0.006261,0.012343,,0.016865,0.015153,0.014732,0.01401,0.014848,0.015531,0.018998,0.016412,0.013272,0.014194,0.010765,0.00855,0.004559,0.005066,0.006261,0.012343,,0.008099,0.007911,0.00672,0.006252,0.005998,0.006028,0.005624,0.005478,0.004983,0.004562,0.004187,0.003569,0.002706,0.002251,0.002979,0.005402,,0.008766,0.00755,0.007704,0.007758,0.00885,0.009503,0.013374,0.010934,0.008289,0.009633,0.006578,0.004981,0.001853,0.002815,0.003282,0.007731206
Connecticut,,0.004577,0.004876,0.002643,0.001833,0.000162,-0.000026,-0.001985,-0.002433,-0.001259,-0.000213,-0.002389,-0.002528,0.007297,0.001392,0.002347,0.001334,,0.004577,0.004876,0.002643,0.001833,0.000162,-0.000026,-0.001985,-0.002433,-0.001259,-0.000213,-0.002389,-0.002528,0.007297,0.001392,0.002347,0.001334,,0.003089,0.002865,0.002332,0.002171,0.001774,0.001806,0.001654,0.001618,0.001226,0.001068,0.000875,0.000219,-0.000176,0.000205,0.000586,0.00142,,0.001488,0.001421,0.000899,-0.000337,-0.001613,-0.001832,-0.003638,-0.004051,-0.002485,-0.001281,-0.003264,-0.002747,0.007473,0.001187,0.001761,-0.000476033
Delaware,,0.008888,0.008878,0.008829,0.008735,0.009332,0.009814,0.009574,0.008411,0.008372,0.00944,0.010014,0.010383,0.013126,0.014507,0.012194,0.010376,,0.008888,0.008878,0.008829,0.008735,0.009332,0.009814,0.009574,0.008411,0.008372,0.00944,0.010014,0.010383,0.013126,0.014507,0.012194,0.010376,,0.004924,0.004602,0.00381,0.003811,0.003066,0.003152,0.002658,0.002877,0.001873,0.001381,0.001046,0.000152,-0.001063,-0.000602,-0.000169,0.002131,,0.003964,0.004413,0.004882,0.004924,0.006266,0.006662,0.006916,0.005535,0.006499,0.008059,0.008968,0.010232,0.014188,0.015109,0.012362,0.008139148
Florida,,0.006765,0.010374,0.011114,0.012931,0.012935,0.015457,0.018396,0.020185,0.016961,0.013245,0.011156,0.011225,0.011088,0.019001,0.016417,0.013367,,0.006765,0.010374,0.011114,0.012931,0.012935,0.015457,0.018396,0.020185,0.016961,0.013245,0.011156,0.011225,0.011088,0.019001,0.016417,0.013367,,0.003615,0.003244,0.002054,0.002112,0.001627,0.001909,0.001544,0.0016,0.001126,0.00082,0.000453,-0.000484,-0.001966,-0.001751,-0.000342,0.001034,,0.003151,0.006979,0.009211,0.010819,0.011308,0.013548,0.016852,0.018585,0.015835,0.012425,0.010703,0.011709,0.013054,0.020752,0.016759,0.012925015
Georgia,,0.012205,0.009496,0.009413,0.010195,0.007271,0.009585,0.011136,0.012284,0.010534,0.009826,0.010327,0.007715,0.005404,0.011377,0.010636,0.009966,,0.012205,0.009496,0.009413,0.010195,0.007271,0.009585,0.011136,0.012284,0.010534,0.009826,0.010327,0.007715,0.005404,0.011377,0.010636,0.009966,,0.007694,0.007317,0.006329,0.006263,0.005436,0.005483,0.005274,0.00504,0.004554,0.004167,0.003791,0.002934,0.001097,0.00141,0.002549,0.00472,,0.004511,0.002218,0.003044,0.003932,0.001835,0.004101,0.005862,0.007243,0.00598,0.005659,0.006536,0.004781,0.004307,0.009967,0.008087,0.005443786
